,pgl_basic,game,date,age,team,opp,gameResult,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
0,1,1,2002-11-02,21-315,MIL,ORL,-10,0,3:00,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,+6
1,2,2,2002-11-16,21-329,MIL,BOS,19,0,2:00,1,2,.500,0,0,,0,0,,0,0,0,0,0,0,0,0,2,1.0,-1
2,3,3,2002-11-24,21-337,MIL,LAL,-12,0,5:00,1,1,1.000,0,0,,0,0,,1,1,2,0,0,0,0,1,2,2.3,+2
3,4,4,2002-11-25,21-338,MIL,PHO,-5,0,19:00,3,7,.429,0,0,,4,4,1.000,1,5,6,0,1,0,3,4,10,4.9,-4
4,5,5,2002-11-27,21-340,MIL,CLE,32,0,7:00,0,2,.000,0,0,,3,4,.750,0,0,0,0,0,1,0,0,3,1.9,+3
5,6,6,2002-12-03,21-346,MIL,WAS,-25,0,24:00,6,12,.500,0,1,.000,0,0,,0,0,0,0,0,1,2,4,12,3.1,-21
6,7,7,2002-12-05,21-348,MIL,ATL,-18,0,7:00,0,4,.000,0,2,.000,0,0,,0,0,0,0,0,0,0,0,0,-2.8,-5
7,8,8,2002-12-07,21-350,MIL,NOH,-6,0,7:00,0,0,,0,0,,1,2,.500,1,0,1,1,0,0,0,1,1,1.6,+3
8,9,9,2002-12-13,21-356,MIL,POR,22,0,3:00,0,2,.000,0,0,,0,0,,1,0,1,0,0,0,0,0,0,-0.7,-1
9,10,10,2002-12-20,21-363,MIL,MEM,-11,0,12:00,2,5,.400,0,0,,0,0,,1,2,3,0,0,0,0,1,4,2.2,-2
10,11,11,2002-12-21,21-364,MIL,NYK,4,0,1:00,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,0
11,12,12,2002-12-23,22-001,MIL,ORL,5,0,1:00,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,+2
12,13,13,2002-12-27,22-005,MIL,NJN,-20,0,24:00,5,7,.714,0,0,,0,1,.000,3,3,6,0,0,1,2,4,10,6.8,-7
13,14,14,2002-12-28,22-006,MIL,NJN,-8,0,22:00,3,3,1.000,1,1,1.000,2,2,1.000,0,3,3,0,0,1,2,4,9,6.1,+5
14,15,15,2002-12-30,22-008,MIL,DAL,3,0,8:00,1,3,.333,0,0,,0,0,,0,3,3,0,0,0,1,0,2,0.2,-4
15,16,16,2002-12-31,22-009,MIL,HOU,-23,0,24:00,4,7,.571,1,1,1.000,1,2,.500,1,2,3,0,0,0,0,2,10,6.8,-7
16,17,17,2003-01-07,22-016,MIL,SAC,-25,0,12:00,2,7,.286,0,0,,0,0,,1,0,1,2,0,0,0,0,4,2.0,-4
17,18,18,2003-01-25,22-034,MIL,DEN,13,0,8:00,0,2,.000,0,0,,0,0,,0,1,1,0,1,0,1,1,0,-1.5,-2
18,19,19,2003-01-27,22-036,MIL,NOH,15,0,4:00,0,1,.000,0,0,,0,0,,0,1,1,0,0,0,0,1,0,-0.8,-7
19,20,20,2003-01-28,22-037,MIL,PHI,-27,0,7:00,1,2,.500,0,1,.000,0,0,,0,0,0,1,0,0,0,0,2,1.7,+3
20,21,21,2003-02-21,22-061,MIL,SEA,-30,0,22:00,3,6,.500,0,1,.000,0,0,,1,1,2,1,0,2,1,1,6,4.7,-5
21,22,22,2003-03-02,22-070,MIL,ATL,27,0,8:00,2,3,.667,1,1,1.000,0,0,,1,0,1,0,1,2,0,0,5,6.8,+4
22,23,23,2003-03-05,22-073,MIL,ORL,-12,0,11:00,1,4,.250,0,1,.000,3,3,1.000,1,0,1,0,1,1,0,2,5,4.2,+10
23,24,24,2003-03-12,22-080,MIL,ATL,-19,0,2:00,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-2
24,25,25,2003-03-16,22-084,MIL,NYK,-9,0,1:00,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-0.4,-3
25,26,26,2003-03-19,22-087,MIL,NJN,19,0,21:00,5,7,.714,0,1,.000,2,2,1.000,0,1,1,1,0,3,2,4,12,8.6,+20
26,27,27,2003-03-21,22-089,MIL,NOH,-15,0,20:00,1,5,.200,0,1,.000,2,2,1.000,1,1,2,2,0,0,0,3,4,2.1,-2
27,28,28,2003-03-25,22-093,MIL,SAS,-13,0,5:00,1,1,1.000,0,0,,0,1,.000,0,0,0,0,0,0,0,0,2,1.3,+6
28,29,29,2003-03-26,22-094,MIL,DEN,-5,0,13:00,0,3,.000,0,0,,1,2,.500,1,0,1,0,0,0,1,2,1,-2.6,+2
29,30,30,2003-03-28,22-096,MIL,UTA,-13,0,6:00,2,2,1.000,0,0,,1,2,.500,1,0,1,0,0,0,0,0,5,4.7,+5
30,31,31,2003-03-30,22-098,MIL,MIA,22,0,5:00,2,4,.500,0,0,,0,0,,1,0,1,0,0,0,0,1,4,2.3,-11
31,32,32,2003-03-31,22-099,MIL,MIA,5,1,14:00,4,10,.400,0,0,,0,0,,0,1,1,0,0,0,0,0,8,2.9,-8
