,pgl_basic,game,date,age,team,opp,gameResult,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
0,390,3,2015-11-01,28-149,HOU,MIA,-20,1,30:53,8,16,.500,5,9,.556,0,0,,0,2,2,2,0,0,2,4,21,11.4,-15
1,391,4,2015-11-02,28-150,HOU,OKC,5,1,37:20,5,14,.357,2,6,.333,0,0,,2,5,7,1,1,0,1,1,12,7.4,+14
2,392,5,2015-11-04,28-152,HOU,ORL,5,1,29:04,8,14,.571,2,5,.400,0,0,,2,1,3,3,1,0,1,0,18,15.2,-3
3,393,6,2015-11-06,28-154,HOU,SAC,6,1,42:14,6,16,.375,4,10,.400,0,0,,4,3,7,2,1,0,1,5,16,10.3,+19
4,394,7,2015-11-07,28-155,HOU,LAC,4,1,37:31,7,15,.467,2,7,.286,0,0,,1,3,4,3,3,0,1,4,16,12.4,+5
5,395,8,2015-11-11,28-159,HOU,BRK,-8,1,34:51,9,15,.600,3,9,.333,0,0,,1,2,3,7,4,1,0,2,21,24.2,+5
6,396,9,2015-11-13,28-161,HOU,DEN,-9,0,17:55,2,8,.250,0,4,.000,0,0,,0,4,4,1,1,0,0,0,4,2.1,-17
7,397,10,2015-11-14,28-162,HOU,DAL,-12,0,18:04,1,9,.111,0,4,.000,0,0,,0,5,5,0,0,0,0,0,2,-2.4,-9
8,398,11,2015-11-16,28-164,HOU,BOS,-16,0,12:00,3,8,.375,2,4,.500,0,0,,0,0,0,1,1,0,0,1,8,4.9,+3
9,399,12,2015-11-18,28-166,HOU,POR,5,0,15:01,1,7,.143,1,5,.200,0,0,,1,1,2,1,0,0,0,0,3,0.2,-5
10,400,13,2015-11-20,28-168,HOU,MEM,-12,0,21:43,2,12,.167,1,5,.200,0,0,,2,1,3,0,1,0,0,2,5,-0.7,-5
11,401,14,2015-11-21,28-169,HOU,NYK,-5,0,19:02,5,9,.556,2,4,.500,0,0,,0,2,2,0,0,0,1,2,12,6.5,+10
12,402,15,2015-11-25,28-173,HOU,MEM,-9,0,14:39,1,3,.333,0,2,.000,0,2,.000,0,0,0,1,0,0,0,1,2,-0.2,-3
13,403,16,2015-11-27,28-175,HOU,PHI,2,0,8:38,3,5,.600,0,1,.000,0,0,,0,2,2,0,0,0,1,1,6,2.9,-9
14,404,17,2015-11-29,28-177,HOU,NYK,5,0,20:37,6,11,.545,2,5,.400,4,4,1.000,0,0,0,1,1,0,1,0,18,13.4,+10
15,405,18,2015-11-30,28-178,HOU,DET,-11,0,21:44,5,13,.385,4,8,.500,4,4,1.000,2,4,6,1,2,0,2,2,18,13.4,-3
16,406,19,2015-12-02,28-180,HOU,NOP,7,0,11:28,3,5,.600,0,1,.000,0,0,,1,2,3,0,0,0,2,2,6,2.2,-10
17,407,20,2015-12-04,28-182,HOU,DAL,4,0,5:58,1,2,.500,0,0,,0,0,,2,0,2,0,0,0,0,0,2,2.4,-1
18,408,21,2015-12-05,28-183,HOU,SAC,7,0,4:58,1,5,.200,1,2,.500,0,0,,0,2,2,2,0,0,0,0,3,1.9,-1
19,409,22,2015-12-08,28-186,HOU,BRK,-5,0,26:01,12,18,.667,5,8,.625,3,3,1.000,0,6,6,3,3,0,1,0,32,30.1,+14
20,410,23,2015-12-09,28-187,HOU,WAS,6,0,19:50,4,10,.400,1,5,.200,0,0,,0,1,1,1,1,0,2,1,9,3.2,-6
21,411,24,2015-12-12,28-190,HOU,LAL,29,0,16:29,7,13,.538,4,8,.500,0,0,,0,3,3,3,0,0,0,0,18,14.7,+25
22,412,25,2015-12-14,28-192,HOU,DEN,-6,0,20:46,4,8,.500,3,4,.750,2,2,1.000,0,1,1,2,0,0,1,3,13,8.5,-23
23,413,26,2015-12-15,28-193,HOU,SAC,-10,0,6:12,0,3,.000,0,2,.000,0,0,,0,0,0,1,1,0,0,1,0,-0.8,+3
24,414,28,2015-12-19,28-197,HOU,LAC,10,0,19:26,2,7,.286,0,2,.000,7,7,1.000,1,2,3,1,1,0,0,2,11,9.1,-5
25,415,29,2015-12-21,28-199,HOU,CHO,7,0,13:47,4,7,.571,2,4,.500,3,4,.750,0,1,1,1,1,0,2,2,13,8.5,+17
26,416,30,2015-12-23,28-201,HOU,ORL,-3,0,18:11,2,8,.250,2,6,.333,2,2,1.000,0,2,2,2,1,0,0,1,8,5.8,-3
27,417,32,2015-12-26,28-204,HOU,NOP,-2,0,10:54,3,5,.600,1,3,.333,2,2,1.000,1,2,3,0,0,0,0,1,9,7.6,+1
28,418,34,2015-12-31,28-209,HOU,GSW,-4,0,26:19,4,12,.333,2,6,.333,0,0,,0,0,0,0,0,0,2,4,10,-0.4,-4
29,419,37,2016-01-07,28-216,HOU,UTA,9,0,18:04,4,9,.444,1,4,.250,3,4,.750,0,3,3,0,2,0,4,0,12,5.8,+10
30,420,38,2016-01-10,28-219,HOU,IND,4,0,22:44,1,7,.143,0,2,.000,0,1,.000,1,2,3,1,1,0,0,1,2,-0.3,+11
31,421,39,2016-01-12,28-221,HOU,MEM,16,0,15:10,5,10,.500,3,5,.600,3,3,1.000,1,1,2,1,0,0,1,2,16,10.9,+7
32,422,40,2016-01-13,28-222,HOU,MIN,3,0,13:25,2,6,.333,0,3,.000,5,6,.833,0,0,0,1,1,0,3,3,9,2.7,+10
33,423,41,2016-01-15,28-224,HOU,CLE,-14,0,18:07,1,10,.100,0,4,.000,0,0,,1,2,3,1,0,0,1,0,2,-3.6,-13
34,424,42,2016-01-17,28-226,HOU,LAL,17,0,20:45,4,11,.364,0,3,.000,2,2,1.000,0,1,1,2,0,0,1,1,10,4.2,+7
35,425,43,2016-01-18,28-227,HOU,LAC,-8,0,21:52,9,15,.600,5,9,.556,0,0,,0,3,3,5,1,0,1,2,23,19.7,+8
36,426,44,2016-01-20,28-229,HOU,DET,-9,0,18:52,3,9,.333,0,3,.000,2,2,1.000,1,1,2,1,1,0,0,4,8,4.0,-8
37,427,45,2016-01-22,28-231,HOU,MIL,4,0,13:54,4,12,.333,2,4,.500,0,0,,0,0,0,0,0,0,0,1,10,2.8,-5
38,428,46,2016-01-24,28-233,HOU,DAL,11,0,6:31,0,3,.000,0,2,.000,0,0,,1,1,2,0,0,0,2,3,0,-4.3,-13
39,429,47,2016-01-25,28-234,HOU,NOP,1,0,17:06,4,10,.400,4,7,.571,0,0,,0,1,1,2,0,0,1,3,12,6.1,-19
40,430,48,2016-01-27,28-236,HOU,SAS,-31,0,20:54,0,6,.000,0,2,.000,2,2,1.000,2,3,5,3,0,1,0,1,2,2.5,-10
41,431,49,2016-01-29,28-238,HOU,OKC,-8,0,9:49,1,5,.200,0,3,.000,0,0,,3,1,4,2,1,0,0,0,2,3.7,+4
42,432,51,2016-02-02,28-242,HOU,MIA,13,0,22:44,7,11,.636,4,7,.571,0,0,,0,5,5,3,1,0,0,1,18,17.3,+12
43,433,52,2016-02-04,28-244,HOU,PHO,6,0,8:09,1,8,.125,0,5,.000,2,2,1.000,1,0,1,0,0,0,0,0,4,-0.5,+1
44,434,53,2016-02-06,28-246,HOU,POR,-17,0,15:16,2,7,.286,1,5,.200,0,0,,0,1,1,0,1,0,0,0,5,2.2,+4
45,435,54,2016-02-09,28-249,HOU,GSW,-13,0,25:19,5,12,.417,1,5,.200,4,4,1.000,0,1,1,3,1,1,2,4,15,9.1,+2
46,436,55,2016-02-10,28-250,HOU,POR,-13,0,14:16,2,6,.333,1,4,.250,1,2,.500,0,1,1,1,0,0,3,5,6,-1.8,+7
47,437,60,2016-03-11,28-280,WAS,UTA,-21,0,19:43,1,9,.111,0,3,.000,0,0,,0,0,0,1,1,0,0,2,2,-3.0,-19
48,438,61,2016-03-12,28-281,WAS,DEN,-16,0,19:27,3,8,.375,2,6,.333,0,0,,0,2,2,1,1,0,1,2,8,4.1,-18
49,439,62,2016-03-14,28-283,WAS,DET,43,0,5:58,2,3,.667,1,1,1.000,0,0,,1,0,1,1,0,0,0,1,5,4.7,+6
50,440,63,2016-03-16,28-285,WAS,CHI,21,0,6:33,1,1,1.000,1,1,1.000,0,0,,0,1,1,0,0,1,0,0,3,3.7,+10
51,441,64,2016-03-17,28-286,WAS,PHI,5,0,21:42,7,16,.438,2,8,.250,2,3,.667,0,5,5,0,1,0,3,3,18,7.5,+6
52,442,67,2016-03-23,28-292,WAS,ATL,-21,0,23:17,8,16,.500,5,10,.500,2,2,1.000,1,1,2,1,1,0,0,1,23,17.3,-11
53,443,68,2016-03-25,28-294,WAS,MIN,-3,0,13:43,1,3,.333,0,2,.000,1,2,.500,0,1,1,1,2,0,0,0,3,3.9,+13
54,444,69,2016-03-27,28-296,WAS,LAL,13,0,10:06,1,6,.167,1,3,.333,1,2,.500,1,1,2,1,3,0,2,1,4,2.1,+6
55,445,70,2016-03-29,28-298,WAS,GSW,-8,0,9:42,0,3,.000,0,3,.000,0,0,,0,3,3,4,0,0,0,1,0,1.2,+4
56,446,72,2016-04-01,28-301,WAS,PHO,7,0,0:31,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,0
57,447,73,2016-04-03,28-303,WAS,LAC,-5,0,4:24,1,2,.500,1,2,.500,0,0,,0,0,0,0,0,0,0,2,3,1.2,-4
58,448,76,2016-04-10,28-310,WAS,CHO,15,0,30:56,4,11,.364,2,5,.400,6,8,.750,1,4,5,4,1,0,2,2,16,12.0,+5
59,449,77,2016-04-11,28-311,WAS,BRK,9,1,31:39,7,15,.467,2,6,.333,3,3,1.000,3,5,8,2,2,0,2,1,19,15.9,+7
60,450,78,2016-04-13,28-313,WAS,ATL,11,1,25:51,6,14,.429,1,4,.250,1,1,1.000,0,5,5,3,1,0,1,1,14,9.8,+16
