,pgl_basic,game,date,age,team,opp,gameResult,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
0,360,1,1997-10-31,30-148,HOU,CLE,8,0,7:00,1,3,.333,1,3,.333,0,0,,0,2,2,1,0,0,1,0,3,1.6,
1,361,2,1997-11-02,30-150,HOU,SAC,16,0,5:00,0,3,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,1,0,-2.5,
2,362,3,1997-11-04,30-152,HOU,SEA,-24,0,13:00,3,6,.500,3,5,.600,0,0,,0,1,1,1,0,0,0,1,9,6.6,
3,363,4,1997-11-05,30-153,HOU,LAC,14,0,12:00,1,3,.333,1,3,.333,1,2,.500,0,1,1,0,0,0,0,2,4,1.4,
4,364,5,1997-11-07,30-155,HOU,POR,-1,0,3:00,0,0,,0,0,,0,0,,0,0,0,1,0,0,1,1,0,-0.7,
5,365,6,1997-11-16,30-164,HOU,PHO,-2,0,1:00,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,
6,366,7,1997-11-18,30-166,HOU,NYK,11,0,12:00,0,2,.000,0,2,.000,0,0,,0,2,2,1,0,0,0,2,0,-0.9,
7,367,8,1997-11-20,30-168,HOU,TOR,30,0,23:00,5,12,.417,2,6,.333,0,0,,0,4,4,0,1,1,0,4,12,6.9,
8,368,9,1997-11-22,30-170,HOU,GSW,6,0,27:00,4,13,.308,4,10,.400,0,0,,0,4,4,1,0,2,0,3,12,6.6,
9,369,10,1997-11-28,30-176,HOU,POR,9,0,21:00,3,6,.500,1,3,.333,0,0,,0,3,3,0,1,0,0,3,7,4.7,
10,370,11,1997-11-29,30-177,HOU,GSW,7,0,6:00,0,1,.000,0,0,,0,0,,0,0,0,1,1,0,0,1,0,0.6,
11,371,12,1997-12-02,30-180,HOU,DEN,11,1,32:00,7,14,.500,6,11,.545,0,0,,0,0,0,1,1,2,1,4,20,13.5,
12,372,13,1997-12-04,30-182,HOU,ATL,7,0,18:00,2,4,.500,1,2,.500,0,0,,0,0,0,0,1,0,0,2,5,3.2,
13,373,14,1997-12-06,30-184,HOU,DAL,2,0,18:00,4,8,.500,2,4,.500,0,0,,0,2,2,0,0,0,1,1,10,5.2,
14,374,15,1997-12-09,30-187,HOU,SAS,30,0,21:00,3,6,.500,2,3,.667,0,0,,1,4,5,2,0,3,2,3,8,7.2,
15,375,16,1997-12-12,30-190,HOU,LAL,-17,0,19:00,1,6,.167,0,3,.000,2,2,1.000,4,2,6,0,0,0,0,4,4,2.0,
16,376,17,1997-12-14,30-192,HOU,VAN,-5,0,1:00,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,1,0,0,-1.7,
17,377,18,1997-12-16,30-194,HOU,VAN,27,0,25:00,3,9,.333,2,6,.333,2,2,1.000,1,3,4,0,0,1,2,1,10,4.8,
18,378,19,1997-12-19,30-197,HOU,SAC,18,0,19:00,1,3,.333,1,3,.333,2,3,.667,0,2,2,2,0,0,0,1,5,4.5,
19,379,20,1997-12-20,30-198,HOU,SAS,-13,0,16:00,1,4,.250,1,4,.250,0,0,,0,4,4,1,1,1,0,1,3,3.8,
20,380,21,1997-12-22,30-200,HOU,LAL,-11,0,20:00,6,11,.545,1,5,.200,0,1,.000,1,4,5,1,0,0,2,5,13,5.9,
21,381,22,1997-12-25,30-203,HOU,UTA,-4,0,23:00,3,8,.375,2,5,.400,2,2,1.000,2,2,4,1,1,0,1,2,10,7.5,
22,382,23,1997-12-27,30-205,HOU,WAS,10,0,15:00,1,5,.200,1,4,.250,2,2,1.000,1,0,1,3,0,0,1,1,5,3.3,
23,383,24,1997-12-29,30-207,HOU,CHH,-19,0,22:00,5,8,.625,4,5,.800,0,0,,3,3,6,1,0,0,0,0,14,14.1,
24,384,25,1998-01-02,30-211,HOU,DEN,1,0,16:00,2,3,.667,2,3,.667,0,0,,0,5,5,2,0,4,0,3,6,9.2,
25,385,26,1998-01-03,30-212,HOU,POR,-2,0,23:00,5,7,.714,2,3,.667,0,0,,0,3,3,0,0,0,0,1,12,9.6,
26,386,27,1998-01-05,30-214,HOU,TOR,24,0,26:00,7,13,.538,5,10,.500,0,0,,1,2,3,0,1,0,2,1,19,12.6,
27,387,28,1998-01-06,30-215,HOU,CLE,-30,0,22:00,2,8,.250,0,4,.000,0,0,,0,2,2,0,2,0,2,1,4,-0.6,
28,388,29,1998-01-08,30-217,HOU,IND,-7,1,22:00,1,8,.125,0,5,.000,0,0,,0,2,2,1,0,0,2,3,2,-5.1,
29,389,30,1998-01-10,30-219,HOU,UTA,-27,0,18:00,2,4,.500,1,3,.333,1,2,.500,1,1,2,3,0,0,1,0,6,5.7,
30,390,31,1998-01-13,30-222,HOU,DAL,13,1,25:00,5,9,.556,5,7,.714,0,0,,0,2,2,3,2,0,1,3,15,13.2,
31,391,32,1998-01-16,30-225,HOU,MIN,-1,1,20:00,3,4,.750,2,2,1.000,0,0,,0,2,2,2,0,1,0,2,8,8.3,
32,392,33,1998-01-18,30-227,HOU,CHI,-6,0,9:00,1,1,1.000,1,1,1.000,3,4,.750,0,1,1,0,0,0,0,0,6,5.6,
33,393,34,1998-01-19,30-228,HOU,SEA,-34,1,20:00,1,6,.167,0,1,.000,0,0,,1,1,2,0,0,0,1,1,2,-2.2,
34,394,35,1998-01-21,30-230,HOU,NJN,-5,0,8:00,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,0,0,0.3,
35,395,36,1998-01-22,30-231,HOU,CHH,-7,0,1:00,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-0.4,
36,396,37,1998-01-24,30-233,HOU,SAS,25,1,26:00,4,6,.667,1,2,.500,0,0,,1,4,5,1,2,0,0,2,9,10.2,
37,397,38,1998-01-26,30-235,HOU,SAS,-25,1,24:00,3,7,.429,2,6,.333,0,0,,0,3,3,0,2,0,0,1,8,6.8,
38,398,39,1998-01-29,30-238,HOU,ORL,-7,0,30:00,8,14,.571,4,6,.667,0,0,,0,0,0,0,0,0,2,3,20,10.2,
39,399,40,1998-02-10,30-250,HOU,SEA,14,0,10:00,1,4,.250,0,2,.000,0,0,,0,1,1,1,1,0,0,0,2,1.6,
40,400,41,1998-02-12,30-252,HOU,VAN,9,0,7:00,1,4,.250,1,3,.333,0,0,,1,1,2,0,0,0,0,1,3,1.2,
41,401,42,1998-02-13,30-253,HOU,POR,-24,0,13:00,0,4,.000,0,3,.000,0,0,,0,1,1,2,1,0,0,2,0,-0.9,
42,402,43,1998-02-15,30-255,HOU,LAL,2,0,23:00,4,5,.800,3,4,.750,0,0,,0,3,3,0,0,0,1,2,11,8.2,
43,403,44,1998-02-16,30-256,HOU,LAC,22,1,20:00,2,4,.500,2,3,.667,0,0,,0,3,3,3,1,0,0,1,6,7.6,
44,404,45,1998-02-19,30-259,HOU,DET,10,0,23:00,5,7,.714,2,3,.667,0,0,,1,0,1,1,1,0,2,2,12,8.7,
45,405,46,1998-02-20,30-260,HOU,MIN,-5,1,35:00,4,10,.400,4,7,.571,2,3,.667,0,2,2,1,2,3,1,2,14,11.8,
46,406,47,1998-02-22,30-262,HOU,NYK,-18,1,20:00,2,3,.667,1,1,1.000,0,0,,0,4,4,1,1,0,1,1,5,5.2,
47,407,48,1998-02-24,30-264,HOU,WAS,-12,1,15:00,4,4,1.000,2,2,1.000,0,0,,0,1,1,0,0,0,1,2,10,7.3,
48,408,49,1998-02-26,30-266,HOU,MIN,20,1,20:00,4,6,.667,2,4,.500,0,0,,0,2,2,1,1,0,0,2,10,8.9,
49,409,50,1998-03-01,30-269,HOU,UTA,-6,1,14:00,1,3,.333,0,1,.000,0,0,,0,1,1,0,0,1,0,4,2,-0.3,
50,410,51,1998-03-03,30-271,HOU,LAC,10,1,16:00,1,3,.333,1,2,.500,0,0,,1,3,4,0,0,1,1,1,3,2.2,
51,411,52,1998-03-05,30-273,HOU,MIA,-24,1,18:00,3,7,.429,2,5,.400,0,0,,0,0,0,1,0,0,1,0,8,4.0,
52,412,53,1998-03-07,30-275,HOU,PHO,19,1,15:00,8,9,.889,4,5,.800,0,0,,1,1,2,0,0,0,0,0,20,17.9,
