,pgl_basic,game,date,age,team,opp,gameResult,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
0,53,1,1955-03-20,29-103,FTW,MNL,17,,,6,,,,,,1,1,1.000,,,,,,,,,13,,
1,54,2,1955-03-22,29-105,FTW,MNL,1,,,2,,,,,,2,2,1.000,,,,,,,,2,6,,
2,55,3,1955-03-23,29-106,FTW,MNL,-8,,,1,,,,,,4,4,1.000,,,,,,,,3,6,,
3,56,4,1955-03-27,29-110,FTW,MNL,9,,,2,,,,,,3,4,.750,,,,,,,,5,7,,
4,57,5,1955-03-31,29-114,FTW,SYR,-4,,,1,,,,,,0,0,,,,,,,,,0,2,,
5,58,6,1955-04-02,29-116,FTW,SYR,-3,,,3,,,,,,2,2,1.000,,,,,,,,1,8,,
6,59,7,1955-04-03,29-117,FTW,SYR,7,,,0,,,,,,0,0,,,,,,,,,4,0,,
7,60,8,1955-04-05,29-119,FTW,SYR,7,,,1,,,,,,4,5,.800,,,,,,,,2,6,,
8,61,9,1955-04-07,29-121,FTW,SYR,3,,,1,,,,,,0,1,.000,,,,,,,,1,2,,
9,62,10,1955-04-09,29-123,FTW,SYR,-5,,,1,,,,,,0,0,,,,,,,,,0,2,,
10,63,11,1955-04-10,29-124,FTW,SYR,-1,,,0,,,,,,0,0,,,,,,,,,2,0,,
