,pgl_basic,game,date,age,team,opp,gameResult,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
0,41,1,1956-10-27,23-199,STL,MNL,22,,,1,,,,,,0,0,,,,,,,,,1,2,,
1,42,2,1956-11-03,23-206,STL,SYR,-2,,,0,,,,,,0,0,,,,,,,,,0,0,,
2,43,3,1956-11-04,23-207,STL,SYR,2,,,2,8,.250,,,,0,0,,,,7,0,,,,3,4,,
3,44,4,1956-11-07,23-210,STL,NYK,6,,23:00,3,6,.500,,,,1,2,.500,,,3,,,,,3,7,,
4,45,5,1956-11-10,23-213,STL,FTW,7,,,3,,,,,,1,1,1.000,,,,,,,,4,7,,
5,46,6,1956-11-11,23-214,STL,FTW,-15,,,1,,,,,,2,4,.500,,,,,,,,1,4,,
6,47,7,1956-11-17,23-220,STL,FTW,5,,,0,,,,,,0,0,,,,,,,,,1,0,,
7,48,8,1956-11-18,23-221,STL,NYK,-33,,,0,,,,,,0,1,.000,,,,,,,,3,0,,
8,49,9,1956-11-20,23-223,STL,SYR,23,,,2,,,,,,0,0,,,,,,,,,1,4,,
9,50,10,1956-11-21,23-224,STL,ROC,-9,,,0,,,,,,1,2,.500,,,,,,,,0,1,,
10,51,11,1956-11-25,23-228,STL,MNL,1,,,0,,,,,,1,2,.500,,,,,,,,0,1,,
11,52,12,1956-11-27,23-230,STL,BOS,-12,,,1,,,,,,2,2,1.000,,,,,,,,1,4,,
12,53,13,1956-12-01,23-234,STL,PHW,-12,,,0,,,,,,2,2,1.000,,,,,,,,0,2,,
13,54,14,1956-12-04,23-237,STL,BOS,-1,,,0,,,,,,0,0,,,,,,,,,0,0,,
14,55,15,1956-12-07,23-240,STL,NYK,-6,,14:00,0,2,.000,,,,4,5,.800,,,1,,,,,1,4,,
15,56,16,1956-12-08,23-241,STL,NYK,-5,,,5,,,,,,3,3,1.000,,,,,,,,1,13,,
16,57,17,1956-12-11,23-244,STL,NYK,9,,,8,,,,,,7,7,1.000,,,,,,,,4,23,,
17,58,18,1956-12-12,23-245,STL,PHW,-16,,,2,,,,,,1,2,.500,,,,,,,,3,5,,
18,59,19,1956-12-16,23-249,STL,SYR,-10,,18:00,0,3,.000,,,,0,0,,,,5,1,,,,3,0,,
19,60,20,1956-12-22,23-255,STL,BOS,-2,,,1,,,,,,2,2,1.000,,,,,,,,0,4,,
20,61,21,1956-12-25,23-258,STL,NYK,2,,,5,,,,,,5,7,.714,,,,,,,,3,15,,
21,62,22,1956-12-27,23-260,STL,SYR,7,,,4,,,,,,3,,,,,,,,,,5,11,,
22,63,23,1956-12-29,23-262,STL,MNL,3,,,2,,,,,,2,,,,,,,,,,0,6,,
23,64,24,1956-12-30,23-263,STL,MNL,7,,,1,,,,,,0,0,,,,,,,,,2,2,,
24,65,25,1957-01-01,23-265,STL,ROC,-1,,,0,,,,,,3,4,.750,,,,,,,,6,3,,
25,66,26,1957-01-03,23-267,STL,PHW,-1,,,0,,,,,,1,1,1.000,,,,,,,,0,1,,
26,67,27,1957-01-04,23-268,STL,PHW,-4,,,0,,,,,,1,2,.500,,,,,,,,0,1,,
27,68,28,1957-01-06,23-270,STL,ROC,-7,,9:00,2,,,,,,3,4,.750,,,1,,,,,1,7,,
28,69,29,1957-01-10,23-274,STL,NYK,-5,,,1,,,,,,0,0,,,,,,,,,3,2,,
29,70,30,1957-01-12,23-276,STL,BOS,2,,,0,,,,,,0,0,,,,,,,,,2,0,,
30,71,31,1957-01-13,23-277,STL,FTW,-2,,,1,,,,,,0,0,,,,,,,,,2,2,,
31,72,32,1957-01-16,23-280,STL,ROC,2,,,5,,,,,,4,,,,,,,,,,3,14,,
32,73,33,1957-01-17,23-281,STL,FTW,24,,,5,,,,,,3,3,1.000,,,,,,,,2,13,,
33,74,34,1957-01-18,23-282,STL,BOS,-9,,,1,,,,,,0,0,,,,,,,,,3,2,,
34,75,35,1957-01-19,23-283,STL,SYR,8,,,4,,,,,,2,2,1.000,,,,,,,,5,10,,
35,76,36,1957-01-20,23-284,STL,PHW,2,,,0,,,,,,0,0,,,,,,,,,1,0,,
36,77,37,1957-01-22,23-286,STL,FTW,-10,,,1,,,,,,3,5,.600,,,,,,,,1,5,,
37,78,38,1957-01-23,23-287,STL,FTW,23,,,4,,,,,,0,0,,,,,,,,,3,8,,
38,79,39,1957-01-24,23-288,STL,PHW,-11,,,2,,,,,,2,3,.667,,,,,,,,4,6,,
39,80,40,1957-01-25,23-289,STL,ROC,1,,,0,,,,,,0,0,,,,,,,,,0,0,,
40,81,41,1957-01-27,23-291,STL,ROC,24,,29:00,3,,,,,,3,3,1.000,,,10,,,,,5,9,,
41,82,42,1957-01-29,23-293,STL,FTW,-6,,,1,,,,,,0,0,,,,0,,,,,2,2,,
42,83,43,1957-02-02,23-297,STL,MNL,9,,,1,2,.500,,,,3,5,.600,,,,,,,,3,5,,
43,84,44,1957-02-03,23-298,STL,MNL,17,,24:00,3,,,,,,0,0,,,,3,,,,,1,6,,
44,85,45,1957-02-05,23-300,STL,PHW,-14,,15:00,1,,,,,,1,2,.500,,,2,,,,,4,3,,
45,86,46,1957-02-06,23-301,STL,ROC,-3,,,0,,,,,,0,1,.000,,,,,,,,2,0,,
46,87,47,1957-02-07,23-302,STL,SYR,-2,,,0,,,,,,0,0,,,,,,,,,1,0,,
47,88,48,1957-02-08,23-303,STL,PHW,-3,,,1,,,,,,0,1,.000,,,,,,,,0,2,,
48,89,49,1957-02-10,23-305,STL,ROC,24,,29:00,3,,,,,,0,0,,,,8,,,,,3,6,,
49,90,50,1957-02-11,23-306,STL,SYR,6,,,3,,,,,,0,1,.000,,,,,,,,4,6,,
50,91,51,1957-02-12,23-307,STL,MNL,-5,,,0,,,,,,2,2,1.000,,,,,,,,0,2,,
51,92,52,1957-02-17,23-312,STL,MNL,3,,,3,,,,,,3,3,1.000,,,,,,,,3,9,,
52,93,53,1957-02-19,23-314,STL,FTW,13,,9:00,1,1,1.000,,,,0,0,,,,1,,,,,1,2,,
53,94,54,1957-02-21,23-316,STL,BOS,-13,,,5,,,,,,5,6,.833,,,,,,,,3,15,,
54,95,55,1957-02-23,23-318,STL,ROC,-15,,33:00,4,,,,,,2,2,1.000,,,4,,,,,2,10,,
55,96,56,1957-02-24,23-319,STL,PHW,1,,4:00,2,,,,,,3,3,1.000,,,1,,,,,6,7,,
56,97,57,1957-02-25,23-320,STL,MNL,16,,,8,,,,,,8,9,.889,,,,,,,,2,24,,
57,98,58,1957-02-26,23-321,STL,NYK,-31,,,0,,,,,,3,4,.750,,,,,,,,1,3,,
58,99,59,1957-02-27,23-322,STL,SYR,-15,,,3,,,,,,3,3,1.000,,,,,,,,1,9,,
59,100,60,1957-03-02,23-325,STL,NYK,-3,,,0,,,,,,1,2,.500,,,,,,,,2,1,,
60,101,61,1957-03-03,23-326,STL,FTW,10,,,1,,,,,,5,6,.833,,,,,,,,1,7,,
61,102,62,1957-03-05,23-328,STL,BOS,2,,,1,,,,,,2,4,.500,,,,,,,,1,4,,
62,103,63,1957-03-08,23-331,STL,ROC,8,,,3,,,,,,3,6,.500,,,,,,,,4,9,,
63,104,64,1957-03-09,23-332,STL,FTW,1,,,1,,,,,,1,1,1.000,,,,,,,,1,3,,
64,105,65,1957-03-10,23-333,STL,MNL,-13,,,2,,,,,,0,0,,,,,,,,,4,4,,
65,106,66,1957-03-13,23-336,STL,ROC,-5,,,1,,,,,,1,2,.500,,,,,,,,2,3,,
