,pgl_basic,game,date,age,team,opp,gameResult,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
0,313,1,2005-11-01,26-069,MIL,PHI,9,1,47:24,8,20,.400,2,5,.400,12,17,.706,1,3,4,1,1,0,3,0,30,17.5,+13
1,314,2,2005-11-02,26-070,MIL,NJN,14,1,36:52,12,20,.600,3,5,.600,14,17,.824,2,4,6,0,2,0,0,4,41,33.6,+11
2,315,3,2005-11-05,26-073,MIL,MIA,5,1,38:06,8,14,.571,2,2,1.000,5,7,.714,1,4,5,1,2,0,4,2,23,15.4,+13
3,316,4,2005-11-08,26-076,MIL,GSW,-7,1,33:09,9,17,.529,1,3,.333,2,2,1.000,1,3,4,4,2,0,3,5,21,14.1,-24
4,317,5,2005-11-12,26-080,MIL,IND,1,1,38:49,7,22,.318,1,2,.500,13,15,.867,2,4,6,1,0,0,2,4,28,14.3,+10
5,318,6,2005-11-15,26-083,MIL,LAC,-24,1,26:25,6,13,.462,1,1,1.000,2,2,1.000,1,2,3,1,0,0,2,0,15,8.3,-23
6,319,7,2005-11-16,26-084,MIL,GSW,3,1,36:51,9,19,.474,3,4,.750,6,6,1.000,1,1,2,2,1,0,3,2,27,16.9,+5
7,320,8,2005-11-18,26-086,MIL,SAC,-21,1,32:05,7,15,.467,2,5,.400,2,3,.667,2,1,3,0,1,0,2,3,18,9.4,-17
8,321,9,2005-11-21,26-089,MIL,UTA,-20,1,37:50,7,17,.412,1,3,.333,10,13,.769,1,1,2,1,2,0,3,2,25,14.6,-16
9,322,10,2005-11-23,26-091,MIL,PHI,11,1,41:28,11,25,.440,2,6,.333,8,10,.800,1,8,9,7,1,0,1,0,32,26.1,+16
10,323,11,2005-11-25,26-093,MIL,MIN,-8,1,39:04,9,23,.391,4,8,.500,6,6,1.000,0,4,4,5,1,0,1,0,28,20.2,+2
11,324,12,2005-11-26,26-094,MIL,DET,-9,1,42:07,7,20,.350,4,5,.800,5,6,.833,1,4,5,2,0,0,4,2,23,9.9,-12
12,325,13,2005-12-02,26-100,MIL,WAS,3,1,37:00,6,12,.500,1,2,.500,3,4,.750,2,3,5,4,0,0,2,2,16,11.9,-1
13,326,14,2005-12-03,26-101,MIL,ORL,20,1,39:07,11,18,.611,7,10,.700,1,2,.500,0,3,3,5,1,0,0,0,30,26.8,+14
14,327,15,2005-12-06,26-104,MIL,LAL,-19,1,36:27,7,16,.438,0,3,.000,7,7,1.000,2,4,6,2,1,0,1,4,21,15.0,-20
15,328,16,2005-12-07,26-105,MIL,PHI,3,1,42:44,8,21,.381,2,6,.333,6,6,1.000,3,4,7,0,0,0,3,4,24,11.2,+10
