,pgl_basic,game,date,age,team,opp,gameResult,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
0,371,1,2000-10-31,28-217,WAS,ORL,-11,0,26:00,3,4,.750,0,0,,3,4,.750,3,7,10,0,0,1,2,4,9,8.3,-14
1,372,2,2000-11-01,28-218,WAS,CHH,18,0,21:00,1,2,.500,0,0,,1,2,.500,2,5,7,1,0,1,1,2,3,4.1,+10
2,373,3,2000-11-03,28-220,WAS,NYK,-4,0,25:00,0,3,.000,0,0,,1,2,.500,0,9,9,0,1,0,0,2,1,1.4,-11
3,374,4,2000-11-04,28-221,WAS,TOR,-7,0,12:00,3,3,1.000,0,0,,0,0,,2,3,5,0,0,0,0,2,6,6.6,-19
4,375,5,2000-11-07,28-224,WAS,CHI,5,0,13:00,2,6,.333,0,0,,1,3,.333,6,6,12,0,0,3,0,2,5,8.1,-9
5,376,6,2000-11-08,28-225,WAS,NJN,-16,0,14:00,0,0,,0,0,,0,2,.000,0,4,4,1,1,0,2,4,0,-1.5,-18
6,377,7,2000-11-10,28-227,WAS,IND,-12,0,10:00,0,0,,0,0,,0,0,,0,2,2,1,0,1,2,1,0,-0.4,-9
7,378,8,2000-11-11,28-228,WAS,CLE,-13,0,14:00,0,2,.000,0,0,,1,2,.500,3,4,7,0,0,0,2,0,1,0.5,-19
8,379,9,2000-11-15,28-232,WAS,BOS,-7,0,4:00,0,2,.000,0,1,.000,0,4,.000,0,4,4,0,0,1,0,0,0,-1.1,-13
9,380,10,2000-11-18,28-235,WAS,BOS,20,0,16:00,0,0,,0,0,,0,0,,1,6,7,2,0,1,1,2,0,2.8,+1
10,381,11,2000-11-21,28-238,WAS,POR,-10,0,13:00,2,3,.667,0,0,,0,1,.000,2,1,3,0,0,0,1,2,4,2.2,-9
11,382,12,2000-11-24,28-241,WAS,IND,-12,0,11:00,1,2,.500,0,0,,0,0,,3,3,6,1,2,0,1,3,2,4.5,-10
12,383,13,2000-11-25,28-242,WAS,MIL,7,0,7:00,0,0,,0,0,,1,4,.250,0,0,0,0,0,0,0,0,1,-0.2,-10
13,384,14,2000-11-28,28-245,WAS,ATL,-27,0,15:00,0,1,.000,0,0,,0,0,,0,6,6,1,1,2,0,2,0,3.4,-11
14,385,15,2000-11-29,28-246,WAS,PHI,-6,0,6:00,0,1,.000,0,0,,0,0,,1,2,3,1,0,0,1,1,0,-0.1,-6
15,386,16,2000-12-02,28-249,WAS,MIA,-3,0,14:00,1,1,1.000,0,0,,0,0,,1,4,5,0,0,0,0,2,2,2.8,-6
16,387,17,2000-12-03,28-250,WAS,DET,-6,0,15:00,0,0,,0,0,,2,2,1.000,1,3,4,0,1,1,3,1,2,1.9,+3
17,388,18,2000-12-06,28-253,WAS,LAC,-5,0,8:00,2,3,.667,0,0,,2,3,.667,2,2,4,0,0,0,0,4,6,4.7,-6
18,389,19,2000-12-07,28-254,WAS,MIN,-17,0,3:00,1,1,1.000,0,0,,0,0,,2,1,3,0,0,0,0,0,2,3.4,-1
19,390,20,2000-12-09,28-256,WAS,MIL,-8,0,27:00,0,2,.000,0,0,,1,2,.500,2,5,7,1,1,0,0,1,1,3.4,-3
20,391,21,2000-12-13,28-260,WAS,PHI,-20,0,16:00,2,3,.667,0,0,,0,0,,4,5,9,1,1,0,1,0,4,7.7,-27
21,392,22,2000-12-15,28-262,WAS,CHH,-14,0,12:00,0,0,,0,0,,0,0,,0,2,2,0,1,0,0,3,0,0.4,+7
22,393,23,2000-12-17,28-264,WAS,LAC,9,0,8:00,0,0,,0,0,,0,0,,0,4,4,0,0,0,0,1,0,0.8,+4
23,394,24,2000-12-19,28-266,WAS,SAC,-34,0,16:00,1,3,.333,0,0,,0,0,,4,9,13,0,0,0,3,0,2,2.8,-16
24,395,25,2000-12-20,28-267,WAS,VAN,-14,0,14:00,3,4,.750,0,0,,2,2,1.000,3,2,5,2,1,0,1,2,8,9.7,-2
25,396,26,2000-12-22,28-269,WAS,SEA,-20,0,16:00,1,2,.500,0,0,,1,2,.500,0,2,2,1,0,0,0,1,3,2.5,-2
26,397,27,2000-12-23,28-270,WAS,POR,-17,0,18:00,0,1,.000,0,0,,1,4,.250,1,5,6,2,1,0,0,1,1,3.3,+4
27,398,28,2000-12-27,28-274,WAS,NYK,-7,0,21:00,0,3,.000,0,0,,0,0,,4,7,11,0,2,0,0,1,0,4.4,-7
28,399,29,2000-12-29,28-276,WAS,MIA,-7,0,13:00,2,3,.667,0,0,,0,0,,1,0,1,1,0,1,1,1,4,3.4,-5
29,400,30,2000-12-31,28-278,WAS,DET,14,0,21:00,1,4,.250,0,0,,0,0,,3,7,10,3,0,0,0,1,2,5.5,+7
30,401,31,2001-01-02,28-280,WAS,MIN,7,0,14:00,2,3,.667,0,0,,5,7,.714,0,1,1,0,2,0,1,2,9,7.4,-5
31,402,32,2001-01-04,28-282,WAS,CHI,-2,0,24:00,1,1,1.000,0,0,,3,6,.500,3,0,3,0,2,0,1,5,5,4.6,-9
32,403,33,2001-01-06,28-284,WAS,DAL,-18,0,10:00,0,4,.000,0,0,,0,0,,0,3,3,1,0,0,1,1,0,-2.6,-4
33,404,34,2001-01-07,28-285,WAS,NYK,-16,0,18:00,0,1,.000,0,0,,0,0,,0,1,1,2,1,0,1,3,0,-0.2,-1
34,405,35,2001-01-09,28-287,WAS,MIL,-4,0,25:00,2,3,.667,0,0,,0,0,,3,6,9,1,3,1,2,3,4,7.8,+1
35,406,36,2001-01-10,28-288,WAS,SEA,-3,0,32:00,6,8,.750,0,0,,2,3,.667,2,8,10,2,1,2,3,5,14,13.0,-2
36,407,37,2001-01-12,28-290,WAS,PHI,-4,0,28:00,1,2,.500,0,0,,2,2,1.000,4,10,14,0,1,0,0,2,4,9.0,+2
37,408,38,2001-01-15,28-293,WAS,MIL,-6,0,23:00,1,2,.500,0,0,,2,2,1.000,7,7,14,3,0,0,1,1,4,10.7,-5
38,409,39,2001-01-17,28-295,WAS,NJN,-19,1,25:00,2,5,.400,0,0,,2,4,.500,1,5,6,3,1,0,1,3,6,5.6,-12
39,410,40,2001-01-19,28-297,WAS,TOR,-22,0,10:00,0,1,.000,0,0,,1,2,.500,0,0,0,0,1,0,0,1,1,0.5,+2
40,411,41,2001-01-21,28-299,WAS,ATL,4,1,24:00,2,3,.667,0,0,,0,0,,2,4,6,2,1,1,2,2,4,5.6,-10
41,412,42,2001-01-23,28-301,WAS,CHH,2,1,32:00,4,5,.800,0,0,,1,1,1.000,2,6,8,1,0,0,0,2,9,10.2,-2
42,413,43,2001-01-26,28-304,WAS,ATL,7,1,22:00,1,2,.500,0,0,,0,0,,0,3,3,1,0,1,2,1,2,0.9,-9
43,414,44,2001-01-27,28-305,WAS,PHO,7,1,20:00,1,2,.500,0,0,,0,0,,3,5,8,1,1,1,0,0,2,7.0,-4
44,415,45,2001-01-29,28-307,WAS,CLE,6,1,20:00,2,3,.667,0,0,,0,0,,2,9,11,1,2,1,0,1,4,9.8,+10
45,416,46,2001-01-31,28-309,WAS,ORL,-4,1,31:00,3,5,.600,0,0,,2,2,1.000,4,3,7,2,3,1,3,1,8,11.1,0
46,417,47,2001-02-03,28-312,WAS,DEN,-5,1,26:00,1,5,.200,0,0,,1,2,.500,6,10,16,1,0,1,0,1,3,7.7,-12
47,418,48,2001-02-07,28-316,WAS,ORL,-9,1,18:00,2,2,1.000,0,0,,0,0,,1,4,5,0,1,1,0,1,4,6.6,+5
48,419,49,2001-02-13,28-322,WAS,HOU,-10,1,17:00,2,2,1.000,0,0,,1,2,.500,3,1,4,0,2,0,0,3,5,7.2,-1
49,420,50,2001-02-15,28-324,WAS,SAS,-24,0,24:00,1,2,.500,0,0,,2,2,1.000,2,9,11,1,0,0,2,2,4,5.0,-9
50,421,51,2001-02-17,28-326,WAS,DAL,-7,0,14:00,0,0,,0,0,,1,4,.250,4,2,6,2,0,0,1,1,1,3.2,+7
51,422,52,2001-02-18,28-327,WAS,DEN,3,0,21:00,2,3,.667,0,0,,0,0,,2,5,7,0,0,2,0,2,4,6.2,+1
52,423,53,2001-02-20,28-329,WAS,VAN,-12,0,20:00,2,2,1.000,0,0,,0,0,,3,2,5,1,1,1,0,3,4,7.3,-3
53,424,54,2001-02-22,28-331,WAS,SAC,-5,1,36:00,3,7,.429,0,0,,1,2,.500,4,4,8,5,0,3,0,2,7,11.7,+8
54,425,55,2001-02-24,28-333,WAS,TOR,-7,1,21:00,1,4,.250,0,0,,4,6,.667,4,3,7,4,0,1,0,2,6,9.2,-5
55,426,56,2001-02-25,28-334,WAS,NJN,-10,1,25:00,1,4,.250,0,0,,0,0,,4,4,8,3,1,1,0,2,2,6.6,-10
56,427,57,2001-02-27,28-336,WAS,MIA,-8,1,23:00,2,4,.500,0,0,,1,2,.500,1,7,8,2,0,0,0,3,5,5.6,-4
57,428,58,2001-03-02,28-339,WAS,PHI,-5,1,21:00,0,0,,0,0,,0,0,,3,4,7,3,1,0,0,2,0,5.6,-10
58,429,59,2001-03-04,28-341,WAS,UTA,-20,1,21:00,0,0,,0,0,,1,2,.500,3,4,7,1,2,0,0,3,1,5.4,-15
59,430,60,2001-03-07,28-344,WAS,CLE,5,1,26:00,5,6,.833,0,0,,3,4,.750,2,6,8,0,2,0,0,3,13,14.4,+14
60,431,61,2001-03-09,28-346,WAS,BOS,-32,1,28:00,3,5,.600,0,0,,3,6,.500,4,8,12,2,1,0,1,2,9,11.3,-16
61,432,62,2001-03-10,28-347,WAS,NJN,6,1,24:00,2,3,.667,0,0,,0,1,.000,2,8,10,0,0,0,1,1,4,4.7,-5
62,433,63,2001-03-14,28-351,WAS,DET,7,1,34:00,3,5,.600,0,0,,1,2,.500,5,9,14,5,1,1,3,4,7,11.1,+1
63,434,64,2001-03-16,28-353,WAS,LAL,-12,1,23:00,0,7,.000,0,0,,2,2,1.000,4,8,12,1,1,2,0,1,2,5.0,-15
64,435,65,2001-03-17,28-354,WAS,CHH,-2,1,24:00,1,3,.333,0,0,,1,3,.333,0,5,5,2,0,0,0,3,3,2.2,-2
65,436,66,2001-03-20,28-357,WAS,PHO,-14,1,33:00,0,2,.000,0,0,,3,6,.500,3,8,11,6,5,0,2,4,3,10.5,-9
66,437,67,2001-03-21,28-358,WAS,GSW,5,1,26:00,0,1,.000,0,0,,1,2,.500,3,5,8,2,0,0,0,2,1,4.1,0
67,438,68,2001-03-27,28-364,WAS,IND,-8,0,27:00,2,4,.500,0,0,,2,3,.667,1,9,10,1,1,1,0,2,6,8.6,+12
68,439,69,2001-03-29,29-001,WAS,GSW,16,0,31:00,1,2,.500,0,0,,2,4,.500,3,9,12,6,2,0,2,0,4,11.2,+20
69,440,70,2001-03-31,29-003,WAS,HOU,-10,0,15:00,0,0,,0,0,,2,4,.500,2,3,5,1,0,0,0,3,2,3.0,-19
70,441,71,2001-04-04,29-007,WAS,MIA,-2,0,25:00,1,3,.333,0,0,,5,6,.833,6,6,12,2,1,1,1,1,7,12.6,-8
71,442,72,2001-04-05,29-008,WAS,NYK,-13,0,21:00,1,1,1.000,0,0,,1,2,.500,1,4,5,0,1,0,1,2,3,3.4,-14
72,443,73,2001-04-07,29-010,WAS,BOS,-2,0,20:00,2,4,.500,0,0,,0,0,,2,5,7,1,0,1,1,4,4,3.7,-2
73,444,74,2001-04-09,29-012,WAS,IND,-22,1,30:00,0,2,.000,0,0,,0,0,,3,9,12,3,0,0,1,4,0,2.9,-10
74,445,75,2001-04-11,29-014,WAS,CHI,-4,1,28:00,3,5,.600,0,0,,4,4,1.000,4,9,13,2,1,0,2,2,10,12.8,-9
75,446,76,2001-04-13,29-016,WAS,ORL,3,0,17:00,1,3,.333,0,0,,2,2,1.000,0,3,3,2,0,1,1,1,4,3.9,-6
76,447,77,2001-04-15,29-018,WAS,CLE,-8,1,26:00,1,2,.500,0,0,,1,1,1.000,1,5,6,1,0,0,0,4,3,3.3,-8
77,448,78,2001-04-17,29-020,WAS,ATL,-3,1,32:00,1,4,.250,0,0,,5,6,.833,1,9,10,2,1,0,1,5,7,7.0,+3
78,449,79,2001-04-18,29-021,WAS,TOR,-6,1,46:00,8,12,.667,0,0,,2,6,.333,1,12,13,0,0,0,2,2,18,12.7,-3
