,pgl_basic,game,date,age,team,opp,gameResult,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
0,624,1,1979-10-13,29-087,SAS,DET,-2,,,2,,,0,,,4,5,.800,,,,,,,,,8,,
1,625,2,1979-10-16,29-090,SAS,ATL,2,,,3,,,0,,,0,0,,,,,,,,,,6,,
2,626,3,1979-10-18,29-092,SAS,CLE,-7,,,3,,,0,,,0,0,,,,,,,,,,6,,
3,627,4,1979-10-20,29-094,SAS,CLE,2,,,2,,,0,,,0,0,,,,,,,,,,4,,
4,628,5,1979-10-23,29-097,SAS,BOS,9,,,3,,,0,,,1,2,.500,,,,,,,,,7,,
5,629,6,1979-10-26,29-100,SAS,DET,16,,,3,,,0,,,0,0,,,,,,,,,,6,,
6,630,7,1979-10-27,29-101,SAS,IND,7,,,2,,,0,,,6,7,.857,,,,,,,,,10,,
7,631,8,1979-10-30,29-104,SAS,PHO,-33,,,3,,,0,,,2,3,.667,,,,,,,,,8,,
8,632,9,1979-10-31,29-105,SAS,SDC,7,,,1,,,0,,,0,0,,,,,,,,,,2,,
9,633,10,1979-11-02,29-107,SAS,SEA,-10,,,3,,,0,,,2,2,1.000,,,,,,,,,8,,
10,634,11,1979-11-04,29-109,SAS,POR,-3,,,2,,,0,,,0,0,,,,,,,,,,4,,
11,635,12,1979-11-06,29-111,SAS,NJN,13,,,4,,,0,,,0,0,,,,,,,,,,8,,
12,636,13,1979-11-07,29-112,SAS,BOS,-12,,,3,,,0,,,3,4,.750,,,,,,,,,9,,
13,637,14,1979-11-09,29-114,SAS,WSB,-9,,,4,,,1,,,2,2,1.000,,,,,,,,,11,,
14,638,15,1979-11-10,29-115,SAS,NYK,4,,,6,,,0,,,2,5,.400,,,,,,,,,14,,
15,639,16,1979-11-13,29-118,SAS,GSW,4,,,0,,,0,,,7,8,.875,,,,,,,,,7,,
16,640,17,1979-11-15,29-120,SAS,NYK,4,,,2,,,0,,,4,4,1.000,,,,,,,,,8,,
17,641,18,1979-11-16,29-121,SAS,PHI,1,,,3,,,0,,,0,0,,,,,,,,,,6,,
18,642,19,1979-11-18,29-123,SAS,NJN,-2,,,2,,,0,,,1,1,1.000,,,,,,,,,5,,
19,643,20,1979-11-20,29-125,SAS,PHI,-4,,,1,,,0,,,2,2,1.000,,,,,,,,,4,,
20,644,21,1979-11-23,29-128,SAS,WSB,20,,,5,,,0,,,2,2,1.000,,,,,,,,,12,,
21,645,22,1979-11-27,29-132,SAS,ATL,-23,,,2,,,0,,,1,2,.500,,,,,,,,,5,,
22,646,23,1979-11-30,29-135,SAS,POR,7,,,1,,,0,,,0,0,,,,,,,,,,2,,
23,647,24,1979-12-04,29-139,SAS,LAL,-6,,,7,,,1,,,1,2,.500,,,,,,,,,16,,
24,648,25,1979-12-05,29-140,SAS,PHI,-12,,,0,,,0,,,0,0,,,,,,,,,,0,,
25,649,26,1979-12-07,29-142,SAS,MIL,12,,,2,,,0,,,2,4,.500,,,,,,,,,6,,
26,650,27,1979-12-08,29-143,SAS,HOU,9,,,6,,,0,,,4,4,1.000,,,,,,,,,16,,
27,651,28,1979-12-11,29-146,SAS,DEN,-6,,,4,,,0,,,1,2,.500,,,,,,,,6,9,,
28,652,29,1979-12-13,29-148,SAS,UTA,-30,,,5,,,0,,,1,2,.500,,,,,,,,,11,,
29,653,30,1979-12-15,29-150,SAS,GSW,1,,,1,,,0,,,1,1,1.000,,,,,,,,,3,,
30,654,31,1979-12-16,29-151,SAS,LAL,-2,,,1,,,0,,,0,0,,,,,,,,,,2,,
31,655,32,1979-12-19,29-154,SAS,IND,4,,,6,,,0,,,3,4,.750,,,,,,,,,15,,
32,656,33,1979-12-21,29-156,SAS,BOS,-19,,,4,,,0,,,4,4,1.000,,,,,,,,6,12,,
33,657,34,1979-12-22,29-157,SAS,DET,29,,,8,,,0,,,6,6,1.000,,,,,,,,,22,,
34,658,35,1979-12-26,29-161,SAS,HOU,-33,,,1,,,0,,,1,1,1.000,,,,,,,,,3,,
35,659,36,1980-01-22,29-188,SAS,SDC,20,,,1,,,0,,,0,0,,,,,,,,,,2,,
36,660,37,1980-01-23,29-189,SAS,IND,14,,,0,,,0,,,0,0,,,,,,,,,,0,,
37,661,38,1980-01-27,29-193,SAS,ATL,-7,,,1,,,0,,,2,2,1.000,,,,,,,,,4,,
38,662,39,1980-01-30,29-196,SAS,HOU,7,,,0,,,0,,,0,0,,,,,,,,,,0,,
39,663,40,1980-02-05,29-202,SAS,NJN,-8,,,4,,,0,,,2,2,1.000,,,,,,,,,10,,
40,664,41,1980-02-09,29-206,SAS,IND,-4,,,0,,,0,,,0,0,,,,,,,,,,0,,
41,665,42,1980-02-10,29-207,SAS,UTA,20,,,1,,,0,,,0,0,,,,,,,,,,2,,
42,666,43,1980-02-12,29-209,SAS,HOU,-2,,,2,,,0,,,0,0,,,,,,,,,,4,,
43,667,44,1980-02-14,29-211,SAS,NYK,-4,,,0,,,0,,,2,2,1.000,,,,,,,,,2,,
44,668,45,1980-02-15,29-212,SAS,CHI,7,,,1,,,0,,,4,4,1.000,,,,,,,,,6,,
45,669,46,1980-02-17,29-214,SAS,MIL,1,,,4,,,0,,,2,2,1.000,,,,,,,,,10,,
46,670,47,1980-02-20,29-217,SAS,CHI,8,,,5,,,0,,,2,2,1.000,,,,,,,,,12,,
47,671,48,1980-02-22,29-219,SAS,WSB,-6,,,0,,,0,,,0,0,,,,,,,,,,0,,
48,672,49,1980-02-24,29-221,SAS,NJN,-6,,,6,,,0,,,0,0,,,,,,,,,,12,,
49,673,50,1980-02-27,29-224,SAS,BOS,-5,,,2,,,0,,,0,0,,,,,,,,,,4,,
50,674,51,1980-02-28,29-225,SAS,NYK,-9,,,3,,,0,,,0,0,,,,,,,,,,6,,
51,675,52,1980-03-02,29-228,SAS,CLE,-4,,,4,,,0,,,0,2,.000,,,,,,,,,8,,
52,676,53,1980-03-04,29-230,SAS,BOS,-29,,,3,,,0,,,0,0,,,,,,,,,,6,,
53,677,54,1980-03-07,29-233,SAS,NYK,-6,,,2,,,0,,,3,4,.750,,,,,,,,,7,,
54,678,55,1980-03-09,29-235,SAS,PHI,-16,,,1,,,0,,,4,4,1.000,,,,,,,,,6,,
55,679,56,1980-03-11,29-237,SAS,WSB,7,,,1,,,0,,,0,0,,,,,,,,,,2,,
56,680,57,1980-03-14,29-240,SAS,DET,11,,,6,,,0,,,2,2,1.000,,,,,,,,,14,,
57,681,58,1980-03-15,29-241,SAS,CLE,-2,,,0,,,0,,,0,0,,,,,,,,,,0,,
58,682,59,1980-03-16,29-242,SAS,NJN,13,,,1,,,0,,,4,7,.571,,,,,,,,,6,,
59,683,60,1980-03-18,29-244,SAS,WSB,6,,,0,,,0,,,0,0,,,,,,,,,,0,,
60,684,61,1980-03-19,29-245,SAS,PHI,6,,,2,,,0,,,2,2,1.000,,,,,,,,,6,,
61,685,62,1980-03-21,29-247,SAS,IND,7,,,6,,,0,,,0,0,,,,,,,,,,12,,
62,686,63,1980-03-23,29-249,SAS,ATL,-8,,,1,,,0,,,3,4,.750,,,,,,,,,5,,
63,687,64,1980-03-25,29-251,SAS,HOU,19,,,5,,,0,,,0,0,,,,,,,,,,10,,
64,688,65,1980-03-26,29-252,SAS,HOU,-12,,,1,,,0,,,0,0,,,,,,,,,,2,,
65,689,66,1980-03-28,29-254,SAS,IND,-5,,,3,,,0,,,0,0,,,,,,,,,,6,,
66,690,67,1980-03-30,29-256,SAS,DET,20,,,0,,,0,,,2,2,1.000,,,,,,,,,2,,
