,pgl_basic,game,date,age,team,opp,gameResult,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
0,1,1,2000-11-12,25-349,LAL,HOU,6,0,9:00,1,3,.333,0,1,.000,0,0,,0,0,0,1,0,0,0,0,2,1.0,-2
1,2,2,2000-11-14,25-351,LAL,DEN,16,0,18:00,3,8,.375,1,3,.333,0,0,,1,3,4,5,0,0,0,1,7,7.3,+10
2,3,3,2000-11-16,25-353,LAL,SAC,2,0,19:00,1,5,.200,0,2,.000,0,0,,0,0,0,2,0,0,1,1,2,-1.1,-11
3,4,4,2000-11-18,25-355,LAL,DEN,-1,0,15:00,0,2,.000,0,0,,0,0,,0,3,3,4,1,0,1,2,0,1.5,+14
4,5,5,2000-11-19,25-356,LAL,CHI,8,0,26:00,5,8,.625,3,5,.600,0,0,,1,2,3,2,0,0,0,1,13,11.7,+1
5,6,6,2000-11-22,25-359,LAL,GSW,20,0,23:00,5,8,.625,3,5,.600,2,2,1.000,0,2,2,3,1,0,1,1,15,13.7,0
6,7,7,2000-11-24,25-361,LAL,MIN,7,0,27:00,2,8,.250,2,5,.400,2,2,1.000,0,3,3,4,2,0,2,4,8,5.3,+1
7,8,8,2000-11-27,25-364,LAL,LAC,15,0,21:00,3,4,.750,1,2,.500,0,0,,0,0,0,2,1,0,0,1,7,7.4,+17
8,9,9,2000-11-28,25-365,LAL,IND,17,0,20:00,2,8,.250,2,6,.333,0,0,,0,0,0,2,0,0,0,3,6,1.4,-7
9,10,10,2000-11-30,26-001,LAL,SEA,-33,0,10:00,0,1,.000,0,1,.000,0,0,,0,0,0,0,1,0,1,1,0,-1.1,-24
10,11,11,2000-12-01,26-002,LAL,SAS,9,0,15:00,1,3,.333,1,3,.333,0,0,,0,1,1,2,1,0,1,0,3,3.0,+8
11,12,12,2000-12-03,26-004,LAL,DAL,2,0,3:00,0,0,,0,0,,0,0,,0,0,0,0,1,0,1,0,0,0.0,+1
12,13,13,2000-12-05,26-006,LAL,PHI,11,0,8:00,1,2,.500,0,1,.000,0,0,,0,0,0,0,0,0,1,2,2,-0.8,-6
13,14,14,2000-12-06,26-007,LAL,GSW,-3,0,28:00,4,7,.571,2,5,.400,0,0,,0,0,0,2,1,0,1,1,10,7.7,-7
14,15,15,2000-12-08,26-009,LAL,SEA,-8,0,12:00,3,6,.500,2,4,.500,0,0,,2,1,3,0,0,1,0,0,8,7.4,0
15,16,16,2000-12-10,26-011,LAL,DET,24,0,32:00,4,7,.571,2,5,.400,2,2,1.000,1,3,4,2,0,0,1,1,12,10.3,+8
16,17,17,2000-12-12,26-013,LAL,MIL,-4,0,24:00,7,7,1.000,2,2,1.000,0,0,,0,2,2,2,1,0,0,3,16,15.7,0
17,18,18,2000-12-13,26-014,LAL,POR,-10,0,18:00,3,4,.750,2,3,.667,0,0,,0,1,1,2,0,0,1,3,8,5.9,-3
18,19,19,2000-12-15,26-016,LAL,VAN,22,0,26:00,2,6,.333,1,3,.333,0,0,,0,2,2,1,1,0,1,2,5,2.1,+2
19,20,20,2000-12-17,26-018,LAL,TOR,3,0,18:00,1,6,.167,1,4,.250,0,0,,0,0,0,0,0,0,0,3,3,-2.0,0
20,21,21,2000-12-19,26-020,LAL,MIA,2,0,9:00,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,1,0,0,-1.7,-7
21,22,22,2000-12-21,26-022,LAL,HOU,5,0,8:00,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,+2
22,23,23,2000-12-22,26-023,LAL,DAL,5,0,8:00,2,4,.500,1,3,.333,0,0,,0,0,0,1,0,0,0,1,5,3.3,+4
23,24,24,2000-12-25,26-026,LAL,POR,-5,0,14:00,0,3,.000,0,3,.000,0,0,,0,2,2,0,1,0,0,0,0,-0.5,-2
24,25,25,2000-12-28,26-029,LAL,PHO,37,0,17:00,4,7,.571,1,3,.333,0,0,,1,2,3,2,0,0,1,0,9,7.4,+13
25,26,26,2000-12-30,26-031,LAL,LAC,2,0,14:00,1,2,.500,1,2,.500,0,0,,0,0,0,1,0,0,0,1,3,2.3,0
26,27,27,2001-01-03,26-035,LAL,UTA,11,0,14:00,1,3,.333,1,2,.500,0,0,,0,0,0,1,1,1,0,2,3,2.9,+10
27,28,28,2001-01-07,26-039,LAL,LAC,-23,0,10:00,0,2,.000,0,2,.000,2,2,1.000,0,1,1,1,0,0,2,0,2,-0.4,-15
28,29,29,2001-02-20,26-083,LAL,DAL,10,0,26:00,4,9,.444,3,5,.600,0,0,,1,3,4,2,1,0,2,0,11,8.3,+6
29,30,30,2001-02-21,26-084,LAL,SAS,2,0,28:00,3,5,.600,2,2,1.000,2,3,.667,0,1,1,0,1,0,1,3,10,6.4,+2
30,31,31,2001-02-23,26-086,LAL,ATL,7,0,31:00,4,4,1.000,3,3,1.000,5,6,.833,1,1,2,2,1,0,0,0,16,17.8,+10
31,32,32,2001-02-25,26-088,LAL,ORL,6,0,27:00,0,6,.000,0,5,.000,2,2,1.000,0,0,0,0,1,0,3,3,2,-5.4,+6
32,33,33,2001-02-28,26-091,LAL,DEN,-6,0,20:00,3,5,.600,1,2,.500,0,0,,0,2,2,2,0,0,1,1,7,5.3,-13
33,34,34,2001-03-03,26-094,LAL,VAN,10,0,13:00,1,3,.333,1,1,1.000,0,0,,0,1,1,1,0,0,0,1,3,1.9,-1
34,35,35,2001-03-04,26-095,LAL,GSW,15,0,20:00,1,8,.125,0,5,.000,0,0,,0,2,2,1,0,0,1,1,2,-3.3,-9
35,36,36,2001-03-06,26-097,LAL,GSW,12,0,15:00,0,3,.000,0,2,.000,0,0,,0,2,2,2,0,0,1,0,0,-1.1,+1
36,37,37,2001-03-07,26-098,LAL,TOR,12,0,8:00,0,2,.000,0,0,,0,0,,0,0,0,0,1,0,1,0,0,-1.4,-8
37,38,38,2001-03-09,26-100,LAL,SAS,-4,0,10:00,1,2,.500,0,1,.000,0,0,,0,0,0,1,0,0,1,0,2,0.7,+8
38,39,39,2001-03-11,26-102,LAL,SEA,-12,0,22:00,3,9,.333,3,7,.429,2,2,1.000,0,3,3,0,0,0,1,1,11,5.4,-16
39,40,40,2001-03-23,26-114,LAL,WAS,13,0,12:00,0,3,.000,0,2,.000,0,0,,0,1,1,1,0,0,1,1,0,-2.5,+1
40,41,41,2001-03-25,26-116,LAL,SAC,12,0,13:00,1,3,.333,1,2,.500,0,1,.000,0,3,3,2,0,0,0,0,3,3.2,+11
41,42,42,2001-03-26,26-117,LAL,PHO,-21,0,13:00,2,6,.333,0,2,.000,2,2,1.000,1,0,1,1,0,0,0,4,6,2.4,-7
42,43,43,2001-03-28,26-119,LAL,SAC,-24,0,14:00,1,6,.167,1,5,.200,0,0,,0,1,1,1,0,0,0,1,3,-0.2,-12
43,44,44,2001-03-30,26-121,LAL,DAL,9,0,5:00,1,1,1.000,1,1,1.000,1,1,1.000,0,1,1,0,1,0,0,0,4,5.0,+5
44,45,45,2001-04-01,26-123,LAL,NYK,-1,0,7:00,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,1,0,-1.1,-2
45,46,46,2001-04-03,26-125,LAL,UTA,8,0,25:00,3,4,.750,3,4,.750,1,1,1.000,0,1,1,5,0,0,1,1,10,10.8,+13
46,47,47,2001-04-05,26-127,LAL,CHI,12,0,17:00,1,3,.333,1,3,.333,0,0,,0,0,0,3,0,0,2,0,3,1.4,-4
47,48,48,2001-04-06,26-128,LAL,BOS,4,0,15:00,3,4,.750,2,2,1.000,3,3,1.000,0,1,1,0,0,0,0,1,11,9.3,-6
48,49,49,2001-04-08,26-130,LAL,MIN,5,0,10:00,0,3,.000,0,2,.000,0,0,,0,0,0,1,1,0,0,3,0,-1.6,-12
49,50,50,2001-04-10,26-132,LAL,PHO,26,0,9:00,1,2,.500,1,1,1.000,0,0,,0,0,0,0,2,0,0,0,3,4.0,+3
50,51,51,2001-04-12,26-134,LAL,MIN,17,0,7:00,2,2,1.000,2,2,1.000,0,0,,1,0,1,1,0,0,0,0,6,6.8,+1
51,52,52,2001-04-15,26-137,LAL,POR,5,0,1:00,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-2
52,53,53,2001-04-17,26-139,LAL,DEN,17,0,17:00,1,3,.333,1,3,.333,2,2,1.000,0,2,2,3,0,0,1,1,5,4.6,-4
