,pgl_basic,game,date,age,team,opp,gameResult,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
0,315,1,1992-11-06,27-129,SAC,SAS,8,1,45:00,9,23,.391,3,5,.600,5,5,1.000,1,2,3,6,3,0,1,2,26,20.2,
1,316,2,1992-11-08,27-131,SAC,LAL,10,1,45:00,11,18,.611,1,2,.500,6,6,1.000,0,2,2,8,0,0,4,2,29,22.2,
2,317,3,1992-11-10,27-133,SAC,LAC,2,1,42:00,9,19,.474,0,3,.000,3,4,.750,1,4,5,9,0,0,2,2,21,16.3,
3,318,4,1992-11-11,27-134,SAC,LAC,-8,1,27:00,3,10,.300,0,3,.000,2,2,1.000,0,3,3,2,1,0,4,2,8,0.7,
4,319,5,1992-11-14,27-137,SAC,SEA,-16,1,31:00,7,11,.636,0,2,.000,4,6,.667,0,3,3,3,2,0,2,5,18,13.3,
5,320,6,1992-11-15,27-138,SAC,CLE,2,1,47:00,12,21,.571,3,4,.750,4,4,1.000,0,8,8,6,1,1,2,1,31,27.0,
6,321,7,1992-11-17,27-140,SAC,HOU,-7,1,40:00,4,14,.286,0,5,.000,0,2,.000,0,5,5,6,0,1,2,4,8,1.8,
7,322,8,1992-11-18,27-141,SAC,PHO,-16,1,29:00,5,15,.333,0,3,.000,4,5,.800,0,1,1,2,1,0,4,5,14,1.8,
8,323,9,1992-11-20,27-143,SAC,POR,-5,1,32:00,6,16,.375,1,2,.500,8,8,1.000,0,5,5,1,1,0,5,5,21,8.4,
9,324,10,1992-11-23,27-146,SAC,SEA,4,1,45:00,9,18,.500,2,4,.500,9,10,.900,0,2,2,9,1,0,7,0,29,20.5,
10,325,11,1992-11-25,27-148,SAC,DEN,-15,1,33:00,6,22,.273,0,2,.000,8,10,.800,0,1,1,3,3,1,3,2,20,8.5,
11,326,12,1992-11-28,27-151,SAC,NJN,-5,1,33:00,10,17,.588,0,2,.000,6,9,.667,0,3,3,6,0,0,2,4,26,18.4,
12,327,13,1992-11-29,27-152,SAC,POR,-8,1,44:00,10,24,.417,1,4,.250,2,4,.500,0,2,2,4,0,0,4,3,23,7.6,
13,328,14,1992-12-01,27-154,SAC,LAL,7,1,44:00,7,15,.467,1,2,.500,6,8,.750,0,6,6,7,0,0,2,2,21,16.4,
14,329,15,1992-12-04,27-157,SAC,CHH,-1,1,39:00,7,13,.538,1,3,.333,12,14,.857,0,5,5,8,1,1,6,3,27,21.5,
15,330,16,1992-12-08,27-161,SAC,WSB,-8,1,44:00,14,24,.583,1,2,.500,6,6,1.000,0,2,2,10,2,0,3,5,35,28.4,
16,331,17,1992-12-10,27-163,SAC,IND,-7,1,43:00,5,18,.278,0,2,.000,4,4,1.000,0,4,4,9,0,0,2,3,14,7.7,
17,332,18,1992-12-12,27-165,SAC,GSW,-4,1,35:00,10,19,.526,0,0,,7,7,1.000,1,5,6,3,1,0,2,5,27,19.0,
18,333,19,1992-12-15,27-168,SAC,MIA,-8,1,38:00,8,16,.500,1,3,.333,6,6,1.000,0,5,5,3,3,0,6,2,23,14.8,
19,334,20,1992-12-17,27-170,SAC,ORL,-21,1,36:00,9,17,.529,1,2,.500,0,0,,0,4,4,4,1,0,3,2,19,11.9,
20,335,21,1992-12-18,27-171,SAC,CLE,-11,1,30:00,7,14,.500,0,0,,2,2,1.000,0,0,0,7,2,0,4,3,16,10.7,
21,336,22,1992-12-20,27-173,SAC,NJN,-6,1,40:00,9,20,.450,0,0,,0,0,,1,2,3,7,0,0,2,2,18,11.0,
22,337,23,1992-12-22,27-175,SAC,MIL,3,1,42:00,7,17,.412,1,2,.500,6,6,1.000,0,1,1,4,4,0,0,3,21,17.8,
23,338,24,1992-12-23,27-176,SAC,MIN,6,1,47:00,11,20,.550,2,3,.667,6,8,.750,0,6,6,2,1,0,1,2,30,22.0,
24,339,25,1992-12-27,27-180,SAC,BOS,16,1,41:00,4,6,.667,0,0,,8,10,.800,0,2,2,5,2,0,1,3,16,16.5,
25,340,26,1992-12-29,27-182,SAC,DAL,58,1,21:00,9,11,.818,2,2,1.000,2,2,1.000,0,0,0,6,3,0,0,1,22,24.7,
26,341,27,1993-01-02,27-186,SAC,PHI,56,1,25:00,8,9,.889,2,2,1.000,0,1,.000,1,0,1,6,2,0,1,2,18,19.6,
27,342,28,1993-01-05,27-189,SAC,DEN,20,1,35:00,11,17,.647,0,0,,3,3,1.000,1,3,4,4,0,0,4,1,25,17.5,
28,343,29,1993-01-08,27-192,SAC,LAL,-3,1,40:00,3,15,.200,1,5,.200,9,10,.900,0,4,4,4,3,0,5,2,16,7.5,
29,344,30,1993-01-09,27-193,SAC,MIA,14,1,44:00,10,19,.526,4,7,.571,8,9,.889,1,5,6,5,1,0,1,3,32,26.8,
30,345,31,1993-01-12,27-196,SAC,NYK,-11,1,45:00,7,22,.318,2,6,.333,5,5,1.000,2,1,3,4,1,0,2,6,21,9.5,
31,346,32,1993-01-14,27-198,SAC,PHO,-10,1,28:00,6,16,.375,0,3,.000,0,1,.000,0,1,1,3,1,1,3,6,12,1.5,
32,347,33,1993-01-16,27-200,SAC,UTA,-1,1,44:00,7,15,.467,1,3,.333,1,1,1.000,0,3,3,9,2,0,3,1,16,14.1,
33,348,34,1993-01-18,27-202,SAC,GSW,4,1,37:00,9,19,.474,1,4,.250,2,5,.400,3,2,5,2,1,0,3,4,21,10.6,
