,pgl_basic,game,date,age,team,opp,gameResult,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
0,760,1,2016-10-26,31-000,IND,DAL,9,1,44:01,7,11,.636,1,2,.500,4,4,1.000,0,7,7,7,3,0,3,3,19,19.9,+24
1,761,2,2016-10-28,31-002,IND,BRK,-9,1,32:57,5,12,.417,0,0,,1,2,.500,1,1,2,4,2,0,4,5,11,4.0,-5
2,762,3,2016-10-29,31-003,IND,CHI,-17,1,27:36,1,6,.167,0,1,.000,0,0,,0,2,2,5,0,0,3,0,2,-0.7,-15
3,763,4,2016-11-01,31-006,IND,LAL,7,1,37:59,6,14,.429,2,5,.400,3,4,.750,0,2,2,3,0,2,2,2,17,10.5,+2
4,764,5,2016-11-03,31-008,IND,MIL,-18,1,33:39,2,4,.500,0,2,.000,2,2,1.000,0,3,3,10,3,0,1,1,6,13.5,-8
5,765,6,2016-11-05,31-010,IND,CHI,17,1,32:23,1,2,.500,0,1,.000,0,0,,0,7,7,8,2,0,1,1,2,9.3,+22
6,766,7,2016-11-07,31-012,IND,CHO,-22,1,17:26,3,4,.750,1,2,.500,0,0,,0,0,0,0,0,0,2,5,7,1.4,-26
7,767,8,2016-11-09,31-014,IND,PHI,7,1,39:30,4,9,.444,1,2,.500,0,0,,0,5,5,3,1,0,6,3,9,1.7,-5
8,768,9,2016-11-11,31-016,IND,PHI,-4,0,36:18,8,19,.421,0,2,.000,3,3,1.000,0,6,6,5,4,0,2,2,19,15.4,+2
9,769,10,2016-11-12,31-017,IND,BOS,-6,1,34:25,5,10,.500,1,3,.333,4,7,.571,0,4,4,4,1,1,3,4,15,9.9,-1
10,770,11,2016-11-14,31-019,IND,ORL,19,1,36:22,6,11,.545,0,4,.000,1,1,1.000,0,2,2,2,0,1,2,3,13,7.2,+9
11,771,12,2016-11-16,31-021,IND,CLE,10,1,34:30,3,6,.500,1,3,.333,0,0,,1,5,6,4,1,5,1,2,7,11.7,-5
12,772,13,2016-11-18,31-023,IND,PHO,-20,1,33:47,2,10,.200,0,1,.000,5,5,1.000,1,2,3,4,2,1,2,2,9,6.8,-12
13,773,14,2016-11-20,31-025,IND,OKC,4,1,41:42,5,10,.500,1,2,.500,1,1,1.000,0,4,4,7,2,0,8,2,12,6.3,+19
14,774,15,2016-11-21,31-026,IND,GSW,-37,1,23:19,2,8,.250,1,3,.333,0,0,,0,2,2,1,0,1,4,3,5,-3.0,-25
15,775,16,2016-11-23,31-028,IND,ATL,-11,1,33:48,8,16,.500,2,4,.500,1,2,.500,0,3,3,3,1,0,3,2,19,10.8,+10
16,776,17,2016-11-25,31-030,IND,BRK,21,1,26:07,6,6,1.000,2,2,1.000,0,0,,0,3,3,3,1,0,0,3,14,15.0,+25
17,777,18,2016-11-27,31-032,IND,LAC,21,1,35:19,2,12,.167,1,4,.250,0,0,,0,6,6,2,1,1,1,3,5,0.1,+12
18,778,19,2016-11-30,31-035,IND,POR,-22,1,25:09,1,5,.200,0,1,.000,2,2,1.000,0,1,1,3,0,0,2,2,4,0.5,-14
19,779,20,2016-12-04,31-039,IND,LAC,9,1,35:14,5,11,.455,0,1,.000,4,5,.800,0,4,4,1,1,0,0,0,14,10.8,+13
20,780,21,2016-12-05,31-040,IND,GSW,-36,1,28:21,3,5,.600,0,0,,3,3,1.000,0,1,1,2,2,0,3,3,9,6.2,-26
21,781,22,2016-12-07,31-042,IND,PHO,15,1,22:27,1,4,.250,1,2,.500,2,2,1.000,0,4,4,1,0,0,2,1,5,2.1,-1
22,782,23,2016-12-09,31-044,IND,DAL,-8,1,22:13,0,5,.000,0,2,.000,0,0,,0,2,2,2,0,0,1,3,0,-3.7,-14
23,783,24,2016-12-10,31-045,IND,POR,7,1,18:40,2,3,.667,0,1,.000,6,7,.857,0,0,0,5,0,0,0,1,10,11.4,-3
24,784,33,2016-12-28,31-063,IND,WAS,-6,0,17:42,1,5,.200,0,2,.000,2,2,1.000,0,1,1,1,0,0,1,4,4,-0.7,-5
25,785,34,2016-12-30,31-065,IND,CHI,10,0,13:22,1,2,.500,0,0,,0,0,,0,1,1,1,2,0,0,1,2,3.6,-11
26,786,35,2017-01-01,31-067,IND,ORL,13,0,15:44,2,3,.667,0,0,,0,0,,0,4,4,4,1,1,0,0,4,8.4,+4
27,787,36,2017-01-03,31-069,IND,DET,5,0,20:29,6,6,1.000,0,0,,4,5,.800,0,1,1,3,0,0,1,1,16,14.8,+15
28,788,37,2017-01-05,31-071,IND,BRK,12,0,20:51,1,3,.333,0,0,,0,0,,0,1,1,1,0,0,1,2,2,-0.5,-18
29,789,38,2017-01-07,31-073,IND,NYK,14,0,20:31,2,5,.400,1,2,.500,4,4,1.000,0,2,2,2,0,0,2,0,9,6.3,+2
30,790,39,2017-01-12,31-078,IND,DEN,-28,0,26:50,4,9,.444,0,3,.000,4,4,1.000,1,1,2,1,2,0,2,0,12,9.0,-6
