,pgl_basic,game,date,age,team,opp,gameResult,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
0,436,1,2002-12-04,31-057,PHI,BOS,6,0,13:00,2,4,.500,0,1,.000,3,4,.750,0,1,1,2,0,1,0,2,7,6.2,-1
1,437,2,2002-12-06,31-059,PHI,SAS,-5,0,13:00,2,5,.400,0,0,,2,2,1.000,0,3,3,0,2,0,2,0,6,4.2,+5
2,438,3,2002-12-07,31-060,PHI,HOU,-25,1,26:00,2,10,.200,0,1,.000,1,2,.500,2,3,5,3,1,0,1,2,5,2.0,-8
3,439,4,2002-12-11,31-064,PHI,SEA,-4,1,18:00,2,4,.500,0,0,,0,0,,0,3,3,5,0,0,1,3,4,4.2,+16
4,440,5,2003-02-19,31-134,PHI,CHI,28,0,14:00,4,4,1.000,0,0,,1,1,1.000,0,1,1,0,0,0,0,3,9,6.9,+11
5,441,6,2003-02-21,31-136,PHI,CLE,20,0,16:00,1,4,.250,0,0,,1,2,.500,1,3,4,2,0,0,1,2,3,1.4,+1
6,442,7,2003-02-23,31-138,PHI,CLE,13,0,5:00,1,1,1.000,0,0,,0,0,,1,0,1,3,0,0,0,1,2,4.1,+3
7,443,8,2003-03-12,31-155,PHI,IND,3,0,3:00,0,1,.000,0,0,,2,2,1.000,0,0,0,0,0,0,1,0,2,0.3,+5
8,444,9,2003-03-16,31-159,PHI,NJN,5,0,7:00,1,2,.500,0,0,,0,0,,1,0,1,0,1,0,0,0,2,2.7,+5
9,445,10,2003-03-18,31-161,PHI,MIA,20,0,6:00,1,1,1.000,0,0,,0,1,.000,1,2,3,1,0,0,1,1,2,1.9,+8
10,446,11,2003-03-20,31-163,PHI,DET,-28,0,8:00,1,3,.333,0,0,,2,2,1.000,0,0,0,1,0,1,0,0,4,3.7,-3
11,447,12,2003-03-26,31-169,PHI,IND,6,0,4:00,0,3,.000,0,0,,0,0,,1,0,1,0,1,0,1,0,0,-1.4,0
12,448,13,2003-03-29,31-172,PHI,ATL,21,0,19:00,4,7,.571,0,0,,2,2,1.000,2,3,5,1,0,0,3,3,10,5.5,+6
13,449,14,2003-03-31,31-174,PHI,ORL,5,0,18:00,0,1,.000,0,0,,3,4,.750,1,4,5,1,0,0,0,5,3,2.5,+1
14,450,15,2003-04-02,31-176,PHI,CHI,7,0,9:00,1,4,.250,0,0,,0,2,.000,0,1,1,0,1,0,1,1,2,-1.3,+1
15,451,16,2003-04-04,31-178,PHI,HOU,-9,0,18:00,3,3,1.000,0,0,,0,0,,1,1,2,2,1,1,1,1,6,7.8,+1
16,452,17,2003-04-06,31-180,PHI,SAC,-16,0,21:00,3,9,.333,0,0,,1,2,.500,0,2,2,1,2,0,1,1,7,3.4,-13
17,453,18,2003-04-10,31-184,PHI,BOS,21,0,10:00,1,2,.500,0,0,,2,2,1.000,0,1,1,3,0,1,0,2,4,5.3,+9
18,454,19,2003-04-11,31-185,PHI,NYK,-5,0,18:00,3,8,.375,0,0,,0,0,,1,2,3,0,1,0,0,1,6,3.5,-2
19,455,20,2003-04-13,31-187,PHI,NOH,-5,0,20:00,1,1,1.000,0,0,,2,2,1.000,0,3,3,0,1,1,3,5,4,1.3,-2
20,456,21,2003-04-15,31-189,PHI,CHI,-9,0,10:00,1,3,.333,0,0,,2,2,1.000,0,0,0,1,1,0,0,0,4,4.0,+6
