,pgl_basic,game,date,age,team,opp,gameResult,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
0,321,1,1991-11-01,26-296,CHH,BOS,-3,0,28:00,3,6,.500,1,1,1.000,2,4,.500,0,3,3,3,1,0,1,2,9,7.4,
1,322,2,1991-11-02,26-297,CHH,NJN,-8,0,30:00,5,9,.556,0,0,,0,0,,0,2,2,8,0,0,2,3,10,8.7,
2,323,3,1991-11-05,26-300,CHH,DET,-24,0,28:00,5,8,.625,0,0,,1,2,.500,0,1,1,4,0,0,3,1,11,6.7,
3,324,4,1991-11-06,26-301,CHH,ATL,10,0,30:00,5,6,.833,0,0,,0,1,.000,2,4,6,10,4,1,0,2,10,20.9,
4,325,5,1991-11-08,26-303,CHH,MIL,-3,0,40:00,1,3,.333,0,0,,2,2,1.000,0,1,1,11,1,0,5,4,4,4.7,
5,326,6,1991-11-09,26-304,CHH,NYK,-5,0,20:00,2,6,.333,0,0,,0,0,,1,1,2,7,1,0,1,3,4,5.3,
6,327,7,1991-11-12,26-307,CHH,ATL,-18,0,29:00,0,2,.000,0,0,,2,2,1.000,0,3,3,8,0,0,3,0,2,4.1,
7,328,8,1991-11-13,26-308,CHH,CHI,-22,1,41:00,1,5,.200,0,0,,0,0,,0,1,1,14,1,0,3,1,2,6.6,
8,329,9,1991-11-15,26-310,CHH,MIA,-15,0,28:00,2,6,.333,0,1,.000,4,4,1.000,0,3,3,5,2,0,4,1,8,6.6,
9,330,10,1991-11-16,26-311,CHH,BOS,9,0,23:00,0,4,.000,0,0,,0,0,,0,3,3,9,0,0,1,2,0,2.6,
10,331,11,1991-11-19,26-314,CHH,MIL,-23,0,17:00,1,2,.500,0,1,.000,2,2,1.000,0,1,1,9,1,0,1,2,4,8.8,
11,332,12,1991-11-20,26-315,CHH,CLE,1,1,42:00,4,8,.500,0,1,.000,0,0,,2,4,6,14,4,0,1,2,8,18.6,
12,333,13,1991-11-22,26-317,CHH,IND,2,1,41:00,7,9,.778,0,0,,4,5,.800,1,1,2,8,1,0,1,2,18,19.9,
13,334,14,1991-11-26,26-321,CHH,DEN,-6,1,38:00,1,6,.167,0,0,,0,0,,2,2,4,7,3,0,1,4,2,5.5,
14,335,15,1991-11-27,26-322,CHH,UTA,-6,1,37:00,6,11,.545,0,0,,0,0,,0,2,2,7,1,0,2,3,12,10.0,
15,336,16,1991-11-29,26-324,CHH,PHO,-20,1,32:00,5,6,.833,0,0,,1,2,.500,1,1,2,9,4,1,2,4,11,16.8,
16,337,17,1991-11-30,26-325,CHH,LAC,-18,1,31:00,6,9,.667,0,0,,0,2,.000,2,1,3,3,1,0,3,2,12,8.3,
17,338,18,1991-12-02,26-327,CHH,NYK,-2,1,29:00,0,5,.000,0,0,,2,2,1.000,2,2,4,10,4,0,3,4,2,6.9,
18,339,19,1991-12-04,26-329,CHH,LAL,18,1,39:00,4,8,.500,0,0,,7,8,.875,0,5,5,16,1,0,2,3,15,21.1,
19,340,20,1991-12-06,26-331,CHH,CHI,-18,1,32:00,1,4,.250,0,0,,0,0,,0,0,0,5,0,0,3,2,2,-0.7,
20,341,21,1991-12-07,26-332,CHH,ORL,14,1,41:00,2,3,.667,0,0,,0,0,,0,2,2,12,1,0,2,2,4,9.9,
21,342,22,1991-12-11,26-336,CHH,DAL,-3,1,43:00,6,10,.600,0,0,,0,0,,0,3,3,17,0,0,0,2,12,19.4,
22,343,23,1991-12-13,26-338,CHH,MIA,-4,1,33:00,2,7,.286,0,0,,2,2,1.000,0,2,2,9,1,0,1,1,6,8.4,
23,344,24,1991-12-14,26-339,CHH,NJN,7,1,29:00,3,5,.600,0,0,,4,8,.500,0,1,1,6,3,0,2,4,10,10.0,
24,345,25,1991-12-17,26-342,CHH,UTA,-20,1,28:00,5,14,.357,0,1,.000,0,0,,0,1,1,5,0,0,0,2,10,5.2,
25,346,26,1991-12-18,26-343,CHH,DET,-20,1,29:00,3,8,.375,0,0,,0,0,,1,0,1,8,2,0,1,1,6,8.5,
26,347,27,1991-12-20,26-345,CHH,HOU,-4,1,38:00,4,13,.308,0,0,,0,0,,2,2,4,7,3,0,1,0,8,9.4,
27,348,28,1991-12-21,26-346,CHH,CLE,-9,1,28:00,4,8,.500,0,1,.000,0,0,,1,0,1,9,2,0,1,0,8,12.0,
