,pgl_basic,game,date,age,team,opp,gameResult,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
0,534,1,1993-11-06,29-095,SEA,LAL,28,0,29:00,7,9,.778,1,3,.333,0,1,.000,0,6,6,11,1,0,3,5,15,16.6,
1,535,2,1993-11-08,29-097,SEA,UTA,1,0,19:00,1,4,.250,0,0,,1,2,.500,1,2,3,1,0,0,3,3,3,-2.0,
2,536,3,1993-11-09,29-098,SEA,DEN,32,0,29:00,2,7,.286,0,3,.000,0,0,,0,6,6,3,0,0,3,2,4,0.0,
3,537,4,1993-11-11,29-100,SEA,CLE,13,0,25:00,2,3,.667,1,2,.500,2,2,1.000,0,5,5,6,4,1,4,4,7,10.5,
4,538,5,1993-11-13,29-102,SEA,ATL,8,0,32:00,1,4,.250,1,3,.333,0,0,,1,2,3,8,4,1,0,4,3,10.6,
5,539,6,1993-11-16,29-105,SEA,CHI,1,0,28:00,3,6,.500,1,2,.500,0,0,,0,2,2,10,4,1,4,1,7,11.9,
6,540,7,1993-11-19,29-108,SEA,DAL,29,0,23:00,1,2,.500,1,1,1.000,0,0,,0,2,2,4,2,0,0,3,3,6.2,
7,541,8,1993-11-20,29-109,SEA,GSW,15,0,32:00,7,9,.778,3,4,.750,2,3,.667,0,8,8,7,3,0,2,4,19,21.8,
8,542,9,1993-11-24,29-113,SEA,SAC,27,1,37:00,5,7,.714,1,1,1.000,2,2,1.000,0,2,2,11,8,1,2,3,13,23.9,
9,543,10,1993-11-26,29-115,SEA,MIN,18,1,33:00,4,8,.500,0,2,.000,0,0,,0,5,5,11,5,0,2,3,8,15.0,
10,544,11,1993-11-27,29-116,SEA,CLE,-11,1,30:00,1,7,.143,1,2,.500,2,4,.500,1,4,5,7,3,0,0,5,5,7.5,
11,545,12,1993-11-30,29-119,SEA,PHI,12,0,34:00,5,12,.417,1,3,.333,0,0,,1,5,6,4,3,0,4,5,11,6.6,
12,546,13,1993-12-02,29-121,SEA,WSB,10,0,27:00,7,8,.875,1,1,1.000,1,4,.250,1,1,2,3,3,1,2,5,16,14.8,
13,547,14,1993-12-04,29-123,SEA,MIN,17,0,25:00,5,11,.455,2,4,.500,0,2,.000,2,1,3,2,6,0,0,3,12,13.4,
14,548,15,1993-12-06,29-125,SEA,WSB,7,0,33:00,5,9,.556,1,3,.333,0,1,.000,1,3,4,7,4,3,3,3,11,14.7,
15,549,16,1993-12-08,29-127,SEA,SAS,2,0,28:00,2,4,.500,2,2,1.000,0,0,,3,3,6,7,3,0,2,3,6,11.7,
16,550,17,1993-12-09,29-128,SEA,DAL,32,0,24:00,2,4,.500,2,2,1.000,0,0,,0,3,3,7,3,0,2,2,6,10.0,
17,551,18,1993-12-11,29-130,SEA,HOU,-7,0,35:00,3,8,.375,0,2,.000,1,2,.500,1,3,4,3,4,0,0,5,7,7.9,
18,552,19,1993-12-14,29-133,SEA,ORL,24,0,23:00,5,7,.714,1,1,1.000,0,0,,0,2,2,8,4,1,4,3,11,13.8,
19,553,20,1993-12-17,29-136,SEA,MIL,30,0,27:00,2,5,.400,2,3,.667,0,0,,0,3,3,7,5,1,1,4,6,12.2,
20,554,21,1993-12-18,29-137,SEA,GSW,15,0,28:00,4,8,.500,2,4,.500,0,0,,1,4,5,7,2,0,3,4,10,10.2,
21,555,22,1993-12-21,29-140,SEA,IND,3,0,30:00,0,4,.000,0,2,.000,0,0,,1,2,3,7,4,0,3,2,0,3.6,
22,556,23,1993-12-23,29-142,SEA,PHO,-1,0,30:00,6,15,.400,1,6,.167,0,0,,1,3,4,8,5,0,1,2,13,15.3,
23,557,24,1993-12-28,29-147,SEA,HOU,15,0,22:00,0,3,.000,0,0,,0,0,,0,2,2,9,2,0,2,0,0,4.8,
24,558,25,1993-12-29,29-148,SEA,LAL,7,0,22:00,0,3,.000,0,1,.000,1,2,.500,0,3,3,5,1,1,3,4,1,0.0,
25,559,26,1994-01-04,29-154,SEA,PHO,6,0,24:00,1,2,.500,0,1,.000,2,2,1.000,1,8,9,3,4,0,0,2,4,11.4,
26,560,27,1994-01-05,29-155,SEA,LAC,8,0,17:00,3,6,.500,0,0,,0,0,,0,2,2,3,2,0,0,2,6,6.9,
27,561,28,1994-01-07,29-157,SEA,SAC,9,0,24:00,5,6,.833,2,2,1.000,0,0,,1,5,6,6,5,0,2,4,12,17.6,
28,562,29,1994-01-08,29-158,SEA,UTA,21,0,29:00,4,7,.571,0,1,.000,0,0,,1,7,8,10,5,0,2,4,8,15.9,
29,563,30,1994-01-11,29-161,SEA,POR,-9,0,22:00,1,3,.333,0,0,,1,2,.500,1,2,3,2,1,0,2,1,3,2.2,
