,pgl_basic,game,date,age,team,opp,gameResult,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
0,448,1,1995-11-03,27-287,ORL,CLE,11,1,41:00,6,16,.375,0,3,.000,2,4,.500,3,4,7,4,0,1,2,4,14,7.6,
1,449,2,1995-11-04,27-288,ORL,ATL,-33,1,35:00,5,10,.500,0,2,.000,6,7,.857,2,2,4,1,1,2,3,2,16,11.9,
2,450,3,1995-11-06,27-290,ORL,WSB,10,1,41:00,5,13,.385,2,5,.400,3,4,.750,2,6,8,4,4,1,1,4,15,15.6,
3,451,4,1995-11-08,27-292,ORL,NJN,8,1,53:00,5,19,.263,2,8,.250,5,6,.833,3,12,15,5,6,1,2,2,17,18.4,
4,452,5,1995-11-10,27-294,ORL,BOS,16,1,35:00,4,11,.364,0,5,.000,4,6,.667,2,5,7,3,2,2,3,2,12,9.7,
5,453,6,1995-11-11,27-295,ORL,MIA,1,1,42:00,5,14,.357,3,8,.375,3,8,.375,1,5,6,3,3,0,6,3,16,6.3,
6,454,7,1995-11-14,27-298,ORL,CHI,6,1,30:00,3,7,.429,1,3,.333,9,14,.643,0,7,7,1,0,1,2,4,16,10.2,
7,455,8,1995-11-16,27-300,ORL,IND,9,1,38:00,6,18,.333,4,11,.364,0,0,,1,6,7,3,2,0,2,0,16,10.4,
8,456,9,1995-11-18,27-302,ORL,MIA,-3,1,43:00,2,11,.182,1,6,.167,3,4,.750,2,9,11,2,3,0,4,1,8,4.8,
9,457,10,1995-11-20,27-304,ORL,GSW,6,1,34:00,8,18,.444,0,6,.000,4,4,1.000,2,7,9,5,1,1,5,0,20,14.3,
10,458,11,1995-11-22,27-306,ORL,VAN,2,1,38:00,5,12,.417,0,1,.000,4,5,.800,7,4,11,3,3,0,0,2,14,17.6,
11,459,12,1995-11-24,27-308,ORL,MIN,11,1,39:00,12,22,.545,4,9,.444,6,7,.857,1,2,3,6,2,0,1,2,34,28.7,
12,460,13,1995-11-25,27-309,ORL,WSB,2,1,38:00,7,15,.467,5,7,.714,6,7,.857,0,6,6,4,1,0,1,4,25,19.9,
13,461,14,1995-11-27,27-311,ORL,DET,1,1,39:00,9,17,.529,7,11,.636,6,6,1.000,2,3,5,0,0,1,4,2,31,20.9,
14,462,15,1995-11-30,27-314,ORL,DAL,14,1,27:00,5,8,.625,4,4,1.000,0,0,,0,4,4,1,0,0,4,1,14,7.9,
15,463,16,1995-12-02,27-316,ORL,SAC,-3,1,38:00,4,9,.444,3,6,.500,6,9,.667,2,2,4,2,4,1,1,3,17,17.0,
