,pgl_basic,game,date,age,team,opp,gameResult,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
0,1,1,2014-10-29,21-022,SAC,GSW,-18,0,25:59,3,10,.300,2,7,.286,1,1,1.000,0,0,0,0,0,0,1,3,9,1.0,-19
1,2,2,2014-10-31,21-024,SAC,POR,9,0,16:17,0,4,.000,0,1,.000,0,0,,1,1,2,0,1,0,0,1,0,-1.2,+6
2,3,3,2014-11-02,21-026,SAC,LAC,6,0,20:40,1,3,.333,1,3,.333,0,0,,0,0,0,1,0,3,1,1,3,2.7,+2
3,4,4,2014-11-03,21-027,SAC,DEN,5,0,1:33,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,3,0,-1.2,+1
4,5,5,2014-11-05,21-029,SAC,DEN,22,0,16:26,2,5,.400,1,3,.333,0,0,,0,0,0,2,0,0,0,3,5,2.5,-17
5,6,6,2014-11-07,21-031,SAC,PHO,2,0,28:39,4,7,.571,1,4,.250,0,0,,0,3,3,2,0,0,0,3,9,6.8,+14
6,7,7,2014-11-09,21-033,SAC,OKC,-8,0,15:32,0,2,.000,0,2,.000,0,0,,0,0,0,1,0,0,1,2,0,-2.5,-21
7,8,8,2014-11-11,21-035,SAC,DAL,-8,0,8:50,0,1,.000,0,1,.000,0,0,,0,0,0,1,0,0,0,0,0,0.0,0
8,9,9,2014-11-13,21-037,SAC,MEM,-1,0,10:44,1,2,.500,1,1,1.000,0,0,,0,1,1,1,0,0,0,0,3,3.0,-7
9,10,10,2014-11-15,21-039,SAC,SAS,3,0,8:26,0,2,.000,0,2,.000,0,0,,0,0,0,0,0,0,0,0,0,-1.4,-5
10,11,11,2014-11-18,21-042,SAC,NOP,-6,0,19:00,2,4,.500,1,1,1.000,0,0,,0,1,1,1,0,0,0,1,5,3.6,-15
11,12,12,2014-11-20,21-044,SAC,CHI,15,0,0:25,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,+2
12,13,13,2014-11-22,21-046,SAC,MIN,12,0,7:03,0,3,.000,0,3,.000,0,0,,0,1,1,1,0,0,0,0,0,-1.1,-5
13,14,14,2014-11-25,21-049,SAC,NOP,10,0,23:50,4,6,.667,1,3,.333,0,0,,1,2,3,1,1,2,0,2,9,10.0,-9
