,pgl_basic,game,date,age,team,opp,gameResult,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
0,165,1,2010-10-27,22-356,MEM,ATL,-15,1,33:31,4,9,.444,1,2,.500,0,0,,1,1,2,0,0,0,2,3,9,2.1,-3
1,166,2,2010-10-29,22-358,MEM,DAL,1,1,36:52,6,17,.353,4,9,.444,4,4,1.000,1,3,4,2,3,1,1,2,20,15.4,+4
2,167,3,2010-10-30,22-359,MEM,MIN,20,1,39:37,11,21,.524,5,9,.556,2,2,1.000,0,7,7,5,3,1,4,2,29,23.2,+26
3,168,4,2010-11-02,22-362,MEM,LAL,-19,1,26:50,3,11,.273,1,4,.250,1,1,1.000,0,1,1,0,2,0,2,2,8,1.0,-2
4,169,5,2010-11-03,22-363,MEM,GSW,-6,1,36:52,9,20,.450,3,5,.600,2,2,1.000,0,2,2,5,1,1,2,1,23,16.0,-7
5,170,6,2010-11-05,23-000,MEM,PHO,-5,1,51:10,6,17,.353,3,8,.375,8,10,.800,1,4,5,3,1,1,4,2,23,13.6,-1
6,171,7,2010-11-06,23-001,MEM,SAC,9,1,35:27,6,12,.500,2,4,.500,0,3,.000,0,4,4,1,1,0,3,4,14,5.1,+9
7,172,8,2010-11-08,23-003,MEM,PHO,10,1,30:43,7,14,.500,1,2,.500,1,1,1.000,0,3,3,4,0,1,1,2,16,11.6,+9
8,173,9,2010-11-10,23-005,MEM,DAL,-15,1,28:49,1,8,.125,0,3,.000,2,2,1.000,1,2,3,3,0,0,2,0,4,0.2,-15
9,174,10,2010-11-13,23-008,MEM,BOS,-6,1,33:20,5,14,.357,0,3,.000,2,3,.667,0,2,2,1,1,1,2,3,12,3.6,-18
10,175,11,2010-11-15,23-010,MEM,ORL,-17,1,28:49,4,9,.444,1,5,.200,2,3,.667,1,2,3,1,1,0,1,3,11,6.7,-3
11,176,12,2010-11-16,23-011,MEM,POR,-1,1,33:17,7,13,.538,3,6,.500,0,0,,0,3,3,2,1,1,3,1,17,11.3,-1
12,177,13,2010-11-19,23-014,MEM,WAS,-3,1,29:29,1,11,.091,1,4,.250,0,0,,1,2,3,1,0,0,0,4,3,-3.9,-12
13,178,14,2010-11-20,23-015,MEM,MIA,2,0,21:42,1,7,.143,0,3,.000,0,0,,0,0,0,1,0,1,2,0,2,-3.1,-3
14,179,15,2010-11-24,23-019,MEM,DET,21,0,22:53,4,11,.364,1,2,.500,0,0,,1,0,1,2,0,1,0,0,9,5.7,+5
15,180,16,2010-11-26,23-021,MEM,GSW,5,0,26:49,8,14,.571,2,5,.400,5,5,1.000,0,3,3,2,1,1,1,0,23,19.4,+9
16,181,17,2010-11-27,23-022,MEM,CLE,-6,0,25:45,6,12,.500,1,3,.333,0,0,,0,3,3,1,0,0,0,3,13,7.4,+7
17,182,18,2010-11-30,23-025,MEM,LAL,2,0,24:45,5,11,.455,1,2,.500,0,1,.000,1,1,2,1,1,2,0,1,11,8.6,-7
18,183,19,2010-12-01,23-026,MEM,ATL,-3,0,24:23,4,8,.500,1,2,.500,1,1,1.000,1,1,2,2,0,0,1,1,10,7.0,+2
19,184,20,2010-12-03,23-028,MEM,HOU,-16,0,24:25,1,5,.200,1,3,.333,0,0,,0,0,0,0,1,0,0,1,3,0.5,-6
20,185,21,2010-12-05,23-030,MEM,DEN,-1,0,15:38,1,4,.250,1,2,.500,0,0,,0,3,3,1,0,0,2,3,3,-1.0,-8
21,186,22,2010-12-06,23-031,MEM,UTA,-9,0,23:24,3,9,.333,0,2,.000,0,1,.000,1,2,3,2,1,0,1,1,6,2.8,-4
22,187,23,2010-12-08,23-033,MEM,PHO,6,0,24:16,1,4,.250,0,1,.000,4,4,1.000,0,3,3,0,1,0,1,2,6,3.7,-4
