,pgl_basic,game,date,age,team,opp,gameResult,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
0,321,1,1991-11-01,26-345,LAC,SAC,-4,1,24:00,3,6,.500,0,0,,0,3,.000,2,4,6,0,1,0,0,1,6,5.0,
1,322,2,1991-11-02,26-346,LAC,CLE,1,1,33:00,1,3,.333,0,0,,6,6,1.000,3,7,10,1,1,0,1,2,8,10.4,
2,323,3,1991-11-05,26-349,LAC,LAL,5,1,30:00,6,11,.545,0,0,,1,2,.500,6,8,14,1,0,0,2,5,13,10.6,
3,324,4,1991-11-06,26-350,LAC,PHO,24,1,23:00,10,12,.833,0,0,,3,4,.750,4,1,5,0,0,0,0,0,23,21.3,
4,325,5,1991-11-08,26-352,LAC,DEN,24,1,24:00,5,9,.556,0,0,,6,9,.667,1,6,7,0,2,0,0,4,16,13.4,
5,326,6,1991-11-09,26-353,LAC,UTA,-17,1,25:00,2,3,.667,0,0,,0,0,,0,5,5,1,1,1,2,4,4,3.0,
6,327,7,1991-11-11,26-355,LAC,IND,9,1,27:00,3,8,.375,0,0,,0,0,,3,4,7,1,1,0,0,3,6,5.4,
7,328,8,1991-11-13,26-357,LAC,SAS,-14,1,29:00,4,6,.667,0,0,,2,2,1.000,3,2,5,1,0,2,1,0,10,11.2,
8,329,9,1991-11-14,26-358,LAC,DAL,-7,1,27:00,4,7,.571,0,0,,6,7,.857,2,3,5,0,0,0,2,2,14,9.8,
9,330,10,1991-11-16,26-360,LAC,GSW,-18,1,26:00,1,4,.250,0,0,,1,2,.500,4,5,9,0,1,0,2,3,3,2.3,
10,331,11,1991-11-19,26-363,LAC,POR,-20,1,26:00,3,4,.750,0,0,,0,0,,3,5,8,1,0,0,3,4,6,4.1,
11,332,12,1991-11-21,27-000,LAC,POR,-15,1,31:00,2,6,.333,0,0,,4,6,.667,1,3,4,3,1,1,2,2,8,6.4,
12,333,13,1991-11-22,27-001,LAC,PHO,-8,1,36:00,5,7,.714,0,0,,8,12,.667,6,7,13,2,0,1,2,3,18,18.7,
13,334,14,1991-11-24,27-003,LAC,SEA,3,1,46:00,3,10,.300,0,1,.000,5,6,.833,5,5,10,3,3,1,2,2,11,12.8,
14,335,15,1991-11-26,27-005,LAC,CHI,-37,1,35:00,6,11,.545,0,0,,4,6,.667,4,6,10,1,1,1,0,2,16,16.1,
15,336,16,1991-11-29,27-008,LAC,WSB,-7,1,27:00,3,7,.429,0,0,,2,2,1.000,3,5,8,2,2,2,1,2,8,10.9,
16,337,17,1991-11-30,27-009,LAC,CHH,18,1,27:00,3,6,.500,0,0,,9,11,.818,1,3,4,0,0,0,1,3,15,10.6,
17,338,18,1991-12-04,27-013,LAC,SAS,11,1,34:00,6,10,.600,0,0,,3,3,1.000,2,6,8,2,1,0,2,3,15,12.8,
18,339,19,1991-12-06,27-015,LAC,DEN,2,1,30:00,4,5,.800,0,0,,3,6,.500,1,6,7,0,0,0,3,4,11,5.8,
19,340,20,1991-12-07,27-016,LAC,MIN,14,1,32:00,5,10,.500,0,0,,1,2,.500,2,9,11,0,0,0,1,3,11,7.5,
20,341,21,1991-12-10,27-019,LAC,GSW,10,1,31:00,3,7,.429,0,0,,3,3,1.000,7,6,13,1,0,0,2,2,9,9.9,
21,342,22,1991-12-11,27-020,LAC,DET,5,1,24:00,3,8,.375,0,0,,0,0,,3,6,9,2,0,0,0,3,6,5.7,
22,343,23,1991-12-13,27-022,LAC,UTA,1,1,33:00,0,3,.000,0,0,,2,4,.500,1,8,9,1,2,0,1,3,2,2.7,
23,344,24,1991-12-15,27-024,LAC,ORL,15,1,26:00,6,9,.667,0,0,,3,6,.500,4,1,5,1,1,0,0,0,15,14.7,
24,345,25,1991-12-17,27-026,LAC,SEA,-17,1,24:00,1,2,.500,0,0,,1,2,.500,1,2,3,1,2,0,2,1,3,3.2,
25,346,26,1991-12-18,27-027,LAC,GSW,-4,1,29:00,6,11,.545,0,0,,2,5,.400,4,5,9,0,0,2,1,2,14,11.4,
26,347,27,1991-12-21,27-030,LAC,MIN,13,1,32:00,6,7,.857,0,0,,0,0,,3,7,10,1,1,0,1,2,12,13.6,
27,348,28,1991-12-25,27-034,LAC,LAL,-10,1,23:00,4,12,.333,0,0,,0,3,.000,5,3,8,0,0,0,1,2,8,2.6,
28,349,29,1991-12-26,27-035,LAC,UTA,-8,1,21:00,2,5,.400,0,0,,1,2,.500,4,4,8,1,0,0,1,3,5,4.4,
29,350,30,1991-12-28,27-037,LAC,PHI,7,1,26:00,4,9,.444,0,0,,0,0,,4,12,16,0,0,1,1,3,8,8.2,
30,351,31,1991-12-30,27-039,LAC,BOS,-11,1,24:00,3,6,.500,0,0,,2,4,.500,4,5,9,0,0,0,0,3,8,7.3,
31,352,32,1992-01-02,27-042,LAC,CHH,7,1,21:00,2,4,.500,0,0,,2,2,1.000,2,3,5,0,0,0,1,3,6,4.1,
32,353,33,1992-01-04,27-044,LAC,ATL,-2,1,36:00,3,8,.375,0,0,,1,7,.143,4,4,8,0,2,0,4,2,7,1.4,
33,354,34,1992-01-06,27-046,LAC,NJN,-15,1,22:00,2,3,.667,0,0,,0,0,,1,8,9,0,0,0,0,2,4,5.0,
34,355,35,1992-01-08,27-048,LAC,IND,2,1,22:00,3,4,.750,0,0,,0,0,,1,2,3,0,1,0,0,1,6,6.3,
35,356,36,1992-01-10,27-050,LAC,PHI,-12,1,38:00,4,6,.667,0,0,,0,2,.000,2,10,12,0,0,0,1,4,8,6.4,
36,357,37,1992-01-13,27-053,LAC,SEA,4,1,29:00,7,10,.700,0,0,,2,4,.500,6,8,14,0,0,0,1,2,16,15.8,
37,358,38,1992-01-16,27-056,LAC,SEA,-3,1,32:00,4,11,.364,0,0,,1,1,1.000,4,1,5,1,0,0,1,3,9,4.5,
38,359,39,1992-01-17,27-057,LAC,ATL,4,1,23:00,1,4,.250,0,0,,2,2,1.000,1,4,5,3,1,0,2,1,4,4.2,
39,360,40,1992-01-21,27-061,LAC,SAS,-14,1,26:00,6,8,.750,0,0,,2,2,1.000,1,2,3,0,1,0,1,2,14,11.3,
40,361,41,1992-01-23,27-063,LAC,HOU,-13,1,27:00,1,6,.167,0,0,,1,2,.500,3,14,17,1,0,0,3,2,3,2.0,
41,362,42,1992-01-25,27-065,LAC,NYK,-7,1,28:00,4,6,.667,0,0,,1,2,.500,3,6,9,0,0,0,2,4,9,6.3,
42,363,43,1992-01-31,27-071,LAC,SAC,-3,1,27:00,5,10,.500,0,0,,2,2,1.000,7,10,17,0,0,0,2,3,12,11.7,
43,364,44,1992-02-01,27-072,LAC,NJN,11,1,30:00,5,7,.714,0,0,,1,2,.500,6,7,13,0,0,0,0,2,11,13.2,
44,365,45,1992-02-04,27-075,LAC,DAL,17,1,35:00,1,5,.200,0,0,,2,4,.500,2,8,10,1,0,1,1,1,4,3.9,
45,366,46,1992-02-05,27-076,LAC,LAL,-5,1,38:00,5,10,.500,0,0,,4,5,.800,5,6,11,0,0,1,0,4,14,13.0,
46,367,47,1992-02-12,27-083,LAC,HOU,2,1,28:00,3,5,.600,0,0,,3,4,.750,5,8,13,0,0,0,3,4,9,7.6,
47,368,48,1992-02-14,27-085,LAC,PHO,7,1,19:00,0,1,.000,0,0,,1,2,.500,0,3,3,0,0,1,2,1,1,-0.9,
48,369,49,1992-02-16,27-087,LAC,POR,1,1,28:00,4,6,.667,0,0,,0,0,,5,7,12,1,3,0,1,2,8,12.9,
49,370,50,1992-02-17,27-088,LAC,SAS,14,1,22:00,4,7,.571,0,0,,0,2,.000,2,3,5,0,0,0,0,2,8,5.4,
50,371,51,1992-02-19,27-090,LAC,LAL,31,1,22:00,6,8,.750,0,0,,0,0,,4,2,6,0,0,1,1,3,12,10.7,
51,372,52,1992-02-21,27-092,LAC,POR,-7,1,27:00,3,6,.500,0,0,,0,1,.000,3,3,6,0,0,0,2,2,6,2.8,
52,373,53,1992-02-22,27-093,LAC,PHO,-18,1,20:00,2,7,.286,0,0,,5,6,.833,3,1,4,1,2,0,0,2,9,8.8,
53,374,54,1992-02-25,27-096,LAC,UTA,-5,1,28:00,4,8,.500,0,0,,0,0,,3,4,7,1,0,0,1,4,8,5.4,
54,375,55,1992-02-28,27-099,LAC,MIA,16,1,25:00,2,6,.333,0,0,,4,5,.800,2,7,9,1,3,0,3,4,8,6.8,
55,376,56,1992-03-01,27-101,LAC,ORL,5,1,30:00,3,9,.333,0,0,,4,5,.800,5,6,11,1,2,1,2,2,10,10.4,
56,377,57,1992-03-03,27-103,LAC,MIA,1,1,29:00,6,10,.600,0,0,,0,1,.000,4,3,7,1,2,0,2,4,12,9.8,
57,378,58,1992-03-05,27-105,LAC,NYK,-10,1,27:00,3,6,.500,0,0,,2,3,.667,0,1,1,0,1,0,1,5,8,2.9,
58,379,59,1992-03-06,27-106,LAC,BOS,-17,1,18:00,2,5,.400,0,0,,0,0,,0,5,5,1,0,0,1,1,4,2.1,
59,380,60,1992-03-08,27-108,LAC,GSW,1,1,19:00,2,5,.400,0,0,,2,3,.667,0,7,7,1,1,0,0,1,6,6.3,
60,381,61,1992-03-10,27-110,LAC,SAC,11,1,23:00,5,5,1.000,0,0,,0,0,,3,2,5,0,1,0,3,4,10,7.6,
61,382,62,1992-03-11,27-111,LAC,SEA,-8,1,17:00,4,6,.667,0,0,,0,0,,1,5,6,0,0,0,0,0,8,7.6,
62,383,63,1992-03-13,27-113,LAC,DAL,8,1,16:00,2,6,.333,0,0,,1,2,.500,1,2,3,0,1,0,1,0,5,2.5,
