,pgl_basic,game,date,age,team,opp,gameResult,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
0,257,1,2013-10-30,25-130,HOU,CHA,13,0,20:24,2,6,.333,0,2,.000,0,0,,1,3,4,2,0,1,1,2,4,2.5,+8
1,258,2,2013-11-01,25-132,HOU,DAL,8,0,21:14,4,8,.500,3,3,1.000,1,2,.500,1,1,2,2,1,0,1,3,12,8.8,+17
2,259,4,2013-11-04,25-135,HOU,LAC,-19,0,28:06,6,12,.500,3,6,.500,4,5,.800,2,7,9,4,2,0,4,3,19,15.7,+4
3,260,5,2013-11-05,25-136,HOU,POR,15,0,23:48,2,4,.500,0,2,.000,3,4,.750,1,7,8,5,0,0,0,2,7,10.1,+3
4,261,6,2013-11-07,25-138,HOU,LAL,-1,0,20:25,1,5,.200,1,3,.333,2,2,1.000,0,3,3,1,1,0,1,1,5,3.1,+9
5,262,7,2013-11-09,25-140,HOU,LAC,-13,0,17:49,1,5,.200,1,4,.250,0,0,,0,3,3,2,0,0,0,0,3,2.2,+8
6,263,8,2013-11-11,25-142,HOU,TOR,6,0,26:14,1,4,.250,0,2,.000,3,6,.500,2,4,6,3,1,1,2,1,5,5.4,+16
7,264,9,2013-11-13,25-144,HOU,PHI,-6,0,23:47,7,13,.538,2,6,.333,0,0,,0,2,2,1,2,1,2,4,16,10.1,-9
8,265,10,2013-11-14,25-145,HOU,NYK,3,0,16:51,1,3,.333,1,2,.500,1,2,.500,0,0,0,0,0,0,0,2,4,1.1,+10
9,266,11,2013-11-16,25-147,HOU,DEN,11,0,18:23,3,9,.333,1,3,.333,0,0,,0,4,4,0,1,1,1,1,7,3.4,+7
10,267,12,2013-11-19,25-150,HOU,BOS,24,0,24:47,2,6,.333,1,3,.333,0,0,,0,4,4,1,3,1,2,2,5,4.4,+6
11,268,13,2013-11-20,25-151,HOU,DAL,-3,0,15:19,5,5,1.000,1,1,1.000,0,0,,1,2,3,0,1,0,1,3,11,9.6,-4
12,269,14,2013-11-23,25-154,HOU,MIN,11,0,16:30,2,8,.250,1,4,.250,0,0,,0,5,5,1,1,0,2,1,5,1.0,+8
13,270,15,2013-11-25,25-156,HOU,MEM,7,0,22:30,4,6,.667,2,3,.667,6,6,1.000,0,3,3,0,1,0,1,2,16,13.5,+11
14,271,16,2013-11-27,25-158,HOU,ATL,29,0,25:42,3,5,.600,1,1,1.000,2,2,1.000,1,4,5,2,1,0,2,3,9,7.8,+16
15,272,17,2013-11-29,25-160,HOU,BRK,19,0,22:07,6,9,.667,3,3,1.000,1,2,.500,1,4,5,3,0,0,4,0,16,11.7,-3
16,273,18,2013-11-30,25-161,HOU,SAS,6,0,17:10,4,8,.500,0,3,.000,0,0,,0,3,3,1,0,1,0,1,8,5.9,-5
17,274,19,2013-12-02,25-163,HOU,UTA,-6,0,30:11,5,8,.625,2,4,.500,1,3,.333,1,5,6,0,2,0,0,2,13,12.0,+8
18,275,20,2013-12-04,25-165,HOU,PHO,-9,0,30:50,6,13,.462,2,3,.667,0,0,,3,4,7,1,1,0,5,3,14,6.1,+9
19,276,21,2013-12-06,25-167,HOU,GSW,22,0,16:56,1,4,.250,0,2,.000,0,0,,0,2,2,1,1,0,2,3,2,-1.3,+3
20,277,22,2013-12-08,25-169,HOU,ORL,10,0,22:59,2,5,.400,0,2,.000,2,2,1.000,0,6,6,1,0,1,0,2,6,5.7,+3
21,278,23,2013-12-12,25-173,HOU,POR,-7,0,16:07,2,6,.333,0,2,.000,2,2,1.000,1,2,3,0,0,1,0,3,6,3.4,+7
22,279,24,2013-12-13,25-174,HOU,GSW,4,0,20:54,3,8,.375,1,3,.333,3,5,.600,1,1,2,1,3,1,1,0,10,9.2,0
23,280,25,2013-12-15,25-176,HOU,SAC,-15,0,15:15,1,5,.200,1,3,.333,1,2,.500,0,0,0,2,0,0,0,2,4,1.1,-12
24,281,26,2013-12-18,25-179,HOU,CHI,15,0,21:15,3,7,.429,1,4,.250,4,4,1.000,2,1,3,0,1,0,1,2,11,8.2,+7
25,282,27,2013-12-20,25-181,HOU,IND,-33,0,20:39,1,10,.100,1,7,.143,0,0,,1,1,2,1,2,0,1,1,3,-1.3,-16
26,283,28,2013-12-21,25-182,HOU,DET,17,0,30:30,5,9,.556,1,2,.500,2,2,1.000,0,6,6,7,0,0,1,3,13,13.2,+6
27,284,29,2013-12-23,25-184,HOU,DAL,-7,0,18:55,1,2,.500,0,0,,1,2,.500,0,3,3,2,0,0,1,3,3,1.7,-11
28,285,30,2013-12-25,25-186,HOU,SAS,13,0,18:51,3,9,.333,1,4,.250,0,0,,0,1,1,2,0,0,0,0,7,3.6,-11
