,pgl_basic,game,date,age,team,opp,gameResult,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
0,156,1,1979-10-12,23-307,KCK,MIL,2,,,13,,,0,,,0,0,,,,,,,,,,26,,
1,157,2,1979-10-17,23-312,KCK,GSW,-13,,,8,,,0,,,2,3,.667,,,,,,,,,18,,
2,158,3,1979-10-19,23-314,KCK,DEN,23,,,9,,,0,,,5,8,.625,,,,,,,,,23,,
3,159,4,1979-10-21,23-316,KCK,PHO,37,,,10,,,0,,,0,0,,,,,,,,,,20,,
4,160,5,1979-10-23,23-318,KCK,POR,-2,,,11,,,3,,,4,6,.667,,,,,,,,,29,,
5,161,6,1979-10-24,23-319,KCK,SEA,-13,,,3,,,0,,,3,4,.750,,,,,,,,,9,,
6,162,7,1979-10-26,23-321,KCK,LAL,-12,,,15,,,0,,,5,8,.625,,,,,,,,,35,,
7,163,8,1979-10-27,23-322,KCK,GSW,-6,,,9,,,0,,,3,4,.750,,,,,,,,,21,,
8,164,9,1979-10-28,23-323,KCK,SDC,5,,,4,,,0,,,5,11,.455,,,,,,,,,13,,
9,165,10,1979-10-31,23-326,KCK,UTA,17,,,11,,,0,,,9,10,.900,,,,,,,,,31,,
10,166,11,1979-11-02,23-328,KCK,NYK,-1,,,7,,,0,,,0,0,,,,,,,,,,14,,
11,167,12,1979-11-03,23-329,KCK,CLE,-13,,,12,,,0,,,0,0,,,,,,,,,,24,,
12,168,13,1979-11-04,23-330,KCK,NJN,-3,,,5,,,0,,,2,3,.667,,,,,,,,,12,,
13,169,14,1979-11-07,23-333,KCK,PHI,-8,,,14,,,0,,,7,10,.700,,,,,,,,,35,,
14,170,15,1979-11-09,23-335,KCK,BOS,-8,,,11,,,0,,,10,11,.909,,,,,,,,,32,,
15,171,16,1979-11-11,23-337,KCK,POR,-3,,,6,,,0,,,4,4,1.000,,,,,,,,,16,,
16,172,17,1979-11-13,23-339,KCK,PHI,7,,,2,,,0,,,2,2,1.000,,,,,,,,,6,,
