,pgl_basic,game,date,age,team,opp,gameResult,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
0,520,1,1975-10-23,29-057,NOJ,ATL,-18,,,0,,,,,,0,0,,,,,,,,,,0,,
1,521,2,1975-10-24,29-058,NOJ,DET,8,,,6,,,,,,2,4,.500,,,,,,,,,14,,
2,522,3,1975-10-26,29-060,NOJ,NYK,11,,,6,,,,,,3,3,1.000,,,,,,,,,15,,
3,523,4,1975-10-28,29-062,NOJ,POR,9,1,21:00,1,7,.143,,,,1,2,.500,5,5,10,2,1,2,,1,3,,
4,524,5,1975-10-31,29-065,NOJ,MIL,15,,31:00,6,14,.429,,,,2,4,.500,,,12,1,,1,,2,14,,
5,525,6,1975-11-01,29-066,NOJ,CLE,12,,,5,,,,,,0,0,,,,,,,,,,10,,
6,526,7,1975-11-05,29-070,NOJ,LAL,3,,34:00,7,16,.438,,,,2,2,1.000,,,15,4,,,,5,16,,
7,527,8,1975-11-07,29-072,NOJ,CLE,-4,,,5,,,,,,0,0,,,,,,,,,,10,,
8,528,9,1975-11-09,29-074,NOJ,SEA,-14,,,4,,,,,,4,7,.571,,,,,,,,,12,,
9,529,10,1975-11-11,29-076,NOJ,POR,-2,1,34:00,3,9,.333,,,,0,0,,2,3,5,4,0,0,,5,6,,
10,530,11,1975-11-12,29-077,NOJ,LAL,-16,,23:00,1,10,.100,,,,0,2,.000,,,10,4,,,,5,2,,
11,531,12,1975-11-15,29-080,NOJ,HOU,-2,,,2,,,,,,0,0,,,,,,,,,,4,,
12,532,13,1975-11-18,29-083,NOJ,GSW,-8,,,6,,,,,,5,6,.833,,,,,,,,,17,,
13,533,14,1975-11-22,29-087,NOJ,ATL,4,,,4,,,,,,2,4,.500,,,,,,,,,10,,
14,534,15,1975-11-26,29-091,NOJ,ATL,-5,,,7,,,,,,1,4,.250,,,,,,,,,15,,
15,535,16,1975-11-28,29-093,NOJ,KCK,-1,,,3,,,,,,2,2,1.000,,,,,,,,,8,,
16,536,17,1975-11-30,29-095,NOJ,PHI,-17,,41:00,4,,,,,,0,0,,4,21,25,5,,7,,,8,,
17,537,18,1975-12-02,29-097,NOJ,BUF,12,,,7,,,,,,0,0,,,,,,,,,,14,,
18,538,19,1975-12-03,29-098,NOJ,PHI,-8,,20:00,2,,,,,,1,2,.500,,,1,0,,,,,5,,
19,539,20,1975-12-05,29-100,NOJ,BOS,-11,,34:00,9,12,.750,,,,0,1,.000,,,7,4,,,,,18,,
20,540,21,1975-12-09,29-104,NOJ,PHO,-15,,,4,,,,,,0,0,,,,,,,,,,8,,
21,541,22,1975-12-11,29-106,NOJ,WSB,-8,,,2,,,,,,2,4,.500,,,,,,,,,6,,
22,542,23,1975-12-13,29-108,NOJ,CLE,-22,,,4,9,.444,,,,1,2,.500,,,,,,,,3,9,,
23,543,24,1975-12-14,29-109,NOJ,BOS,-9,,22:00,2,4,.500,,,,0,0,,,,9,1,,,,,4,,
24,544,25,1975-12-17,29-112,NOJ,WSB,17,,,9,,,,,,2,2,1.000,6,14,20,,,5,,,20,,
25,545,26,1975-12-19,29-114,NOJ,SEA,-11,,,7,,,,,,6,9,.667,,,,,,,,,20,,
26,546,27,1975-12-20,29-115,NOJ,POR,8,1,42:00,4,9,.444,,,,8,11,.727,2,11,13,7,2,2,,2,16,,
27,547,28,1975-12-21,29-116,NOJ,PHO,13,,,5,,,,,,0,0,,,,,,,,,,10,,
28,548,29,1975-12-23,29-118,NOJ,GSW,-8,,37:00,7,12,.583,,,,0,0,,,,11,4,,5,,1,14,,
29,549,30,1975-12-25,29-120,NOJ,HOU,2,,,3,,,,,,1,2,.500,,,,,,,,,7,,
30,550,31,1975-12-27,29-122,NOJ,NYK,-7,,41:00,6,14,.429,,,,3,5,.600,,,11,2,,,,2,15,,
31,551,32,1976-01-02,29-128,NOJ,ATL,16,,,2,,,,,,3,5,.600,,,,,,,,,7,,
32,552,33,1976-01-03,29-129,NOJ,KCK,25,,32:00,1,,,,,,1,4,.250,,,17,6,1,6,,,3,,
33,553,34,1976-01-06,29-132,NOJ,CHI,6,,32:00,2,7,.286,,,,3,5,.600,,,9,4,,,,2,7,,
34,554,35,1976-01-08,29-134,NOJ,KCK,10,,29:00,2,,,,,,0,2,.000,,,17,1,2,0,,,4,,
35,555,36,1976-01-10,29-136,NOJ,DET,5,,,0,,,,,,3,7,.429,,,,,,,,,3,,
36,556,37,1976-01-14,29-140,NOJ,PHI,-5,,,1,,,,,,1,2,.500,,,,,,,,,3,,
37,557,38,1976-01-16,29-142,NOJ,MIL,2,,33:00,2,5,.400,,,,0,0,,,,7,4,,5,,3,4,,
38,558,39,1976-01-17,29-143,NOJ,HOU,6,,,5,,,,,,1,1,1.000,,,,,,,,,11,,
39,559,40,1976-01-21,29-147,NOJ,CHI,-9,,21:00,2,6,.333,,,,2,2,1.000,,,5,0,,,,2,6,,
40,560,41,1976-01-22,29-148,NOJ,WSB,-23,,,2,,,,,,1,2,.500,,,,,,,,,5,,
41,561,42,1976-01-27,29-153,NOJ,BUF,-24,,,0,,,,,,0,0,,,,,,,,,,0,,
42,562,43,1976-01-30,29-156,NOJ,NYK,22,,35:00,8,11,.727,,,,0,0,,,,8,4,,,,3,16,,
43,563,44,1976-01-31,29-157,NOJ,ATL,13,,,3,,,,,,7,8,.875,,,,,,,,,13,,
44,564,45,1976-02-01,29-158,NOJ,CLE,1,,,4,,,,,,2,2,1.000,,,,,,,,,10,,
45,565,46,1976-02-05,29-162,NOJ,HOU,3,,,4,,,,,,0,0,,,,,,,,,,8,,
46,566,47,1976-02-06,29-163,NOJ,KCK,7,,,7,,,,,,0,0,,,,,,,,,,14,,
47,567,48,1976-02-08,29-165,NOJ,CHI,-4,,29:00,2,9,.222,,,,0,0,,,,11,4,2,,,3,4,,
48,568,49,1976-02-10,29-167,NOJ,GSW,6,,42:00,6,9,.667,,,,8,13,.615,,,14,2,,,,3,20,,
49,569,50,1976-02-11,29-168,NOJ,SEA,-3,,,3,,,,,,2,2,1.000,,,,,,,,6,8,,
50,570,51,1976-02-13,29-170,NOJ,LAL,-14,,28:00,5,10,.500,,,,4,8,.500,,,10,4,,,,5,14,,
51,571,52,1976-02-14,29-171,NOJ,PHO,-19,,,5,,,,,,2,4,.500,,,,,,,,,12,,
52,572,53,1976-02-17,29-174,NOJ,LAL,-14,,34:00,4,12,.333,,,,2,3,.667,,,8,3,,,,2,10,,
53,573,54,1976-02-20,29-177,NOJ,PHO,-1,,,3,,,,,,3,6,.500,,,,,,,,,9,,
54,574,55,1976-02-21,29-178,NOJ,NYK,-4,,32:00,6,12,.500,,,,5,6,.833,,,11,2,,,,4,17,,
55,575,56,1976-02-22,29-179,NOJ,ATL,8,,,2,,,,,,0,0,,,,,,,,,,4,,
56,576,57,1976-02-25,29-182,NOJ,WSB,1,,31:00,0,0,,,,,6,9,.667,,,7,4,,,,5,6,,
57,577,58,1976-02-26,29-183,NOJ,WSB,-10,,16:00,4,7,.571,,,,2,3,.667,,,6,0,,,,5,10,,
58,578,59,1976-02-28,29-185,NOJ,MIL,-13,,35:00,4,10,.400,,,,2,2,1.000,,,13,2,1,2,,2,10,,
59,579,60,1976-03-02,29-188,NOJ,MIL,-2,,38:00,5,11,.455,,,,2,2,1.000,,,11,5,0,4,,4,12,,
60,580,61,1976-03-03,29-189,NOJ,HOU,-8,,,0,,,,,,0,0,,,,,,,,,,0,,
61,581,62,1976-03-05,29-191,NOJ,BOS,-5,,26:00,3,9,.333,,,,1,1,1.000,,,9,1,,,,6,7,,
62,582,63,1976-03-07,29-193,NOJ,SEA,18,,,5,,,,,,1,2,.500,,,,,,,,,11,,
