,pgl_basic,game,date,age,team,opp,gameResult,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
0,925,1,2005-11-01,36-018,NOK,SAC,26,1,31:29,9,12,.750,0,0,,2,2,1.000,3,7,10,2,0,0,2,2,20,18.0,+20
1,926,2,2005-11-02,36-019,NOK,CLE,-22,1,26:11,2,7,.286,0,0,,0,0,,3,1,4,1,0,0,0,3,4,1.8,-23
2,927,3,2005-11-05,36-022,NOK,HOU,7,1,39:56,8,14,.571,0,0,,2,3,.667,7,6,13,1,1,2,1,3,18,18.6,+13
3,928,4,2005-11-09,36-026,NOK,ORL,-5,1,39:21,4,9,.444,0,0,,1,1,1.000,1,9,10,2,1,1,1,1,9,9.4,+3
4,929,5,2005-11-12,36-029,NOK,DAL,-6,1,35:04,2,8,.250,0,0,,0,0,,3,4,7,2,0,0,1,2,4,2.1,+7
5,930,6,2005-11-15,36-032,NOK,MIA,-7,1,43:01,11,16,.688,0,0,,2,2,1.000,5,7,12,1,2,0,1,3,24,23.3,-5
6,931,7,2005-11-16,36-033,NOK,DEN,-10,1,36:48,3,9,.333,0,0,,2,2,1.000,1,8,9,2,1,0,3,4,8,3.8,-15
7,932,8,2005-11-21,36-038,NOK,PHI,-12,1,22:31,1,5,.200,0,0,,0,0,,1,2,3,1,0,1,0,3,2,0.4,-2
8,933,9,2005-11-23,36-040,NOK,MIN,4,1,43:49,4,6,.667,0,0,,5,5,1.000,3,7,10,0,1,1,0,2,13,15.5,+11
9,934,10,2005-11-26,36-043,NOK,SEA,6,1,36:51,4,9,.444,0,0,,2,2,1.000,2,4,6,1,1,1,4,5,10,4.3,+8
10,935,11,2005-11-28,36-045,NOK,GSW,-16,1,21:48,4,5,.800,0,0,,1,1,1.000,1,3,4,0,1,0,1,4,9,7.1,-3
11,936,12,2005-11-30,36-047,NOK,DEN,7,1,35:55,3,9,.333,0,0,,4,5,.800,3,9,12,0,0,3,1,2,10,9.6,+8
12,937,13,2005-12-02,36-049,NOK,PHI,2,1,36:22,5,8,.625,0,0,,2,2,1.000,3,11,14,1,0,2,0,4,12,14.3,+7
13,938,14,2005-12-03,36-050,NOK,DAL,-9,1,34:26,2,6,.333,0,0,,1,1,1.000,1,5,6,1,0,1,1,3,5,3.0,-24
14,939,15,2005-12-06,36-053,NOK,MEM,-16,1,28:31,1,6,.167,0,0,,0,0,,3,5,8,2,0,0,0,2,2,2.4,-16
15,940,16,2005-12-07,36-054,NOK,BOS,-14,1,33:18,2,7,.286,0,0,,2,2,1.000,3,2,5,3,0,0,1,3,6,4.5,-15
16,941,17,2005-12-09,36-056,NOK,POR,-3,1,39:44,0,4,.000,0,0,,0,0,,0,6,6,1,0,0,1,3,0,-2.5,-6
17,942,18,2005-12-11,36-058,NOK,SAC,-10,1,40:59,6,11,.545,0,0,,5,6,.833,4,4,8,0,0,0,3,3,17,11.1,-15
18,943,19,2005-12-12,36-059,NOK,PHO,4,1,32:57,1,5,.200,0,0,,0,0,,1,3,4,3,1,0,1,2,2,1.8,+17
19,944,20,2005-12-14,36-061,NOK,LAC,13,1,37:27,4,8,.500,0,0,,6,6,1.000,1,4,5,4,0,1,0,2,14,14.6,+9
20,945,21,2005-12-16,36-063,NOK,PHO,-13,1,39:02,8,11,.727,0,0,,4,6,.667,4,9,13,0,0,1,2,1,20,18.5,-14
21,946,22,2005-12-18,36-065,NOK,SAS,13,1,29:43,3,11,.273,0,0,,0,1,.000,4,2,6,1,2,0,0,4,6,3.6,+10
22,947,23,2005-12-21,36-068,NOK,MIN,-19,1,30:20,3,7,.429,0,0,,0,2,.000,3,6,9,0,1,0,2,3,6,3.2,-23
23,948,24,2005-12-23,36-070,NOK,MIL,-7,1,35:55,3,6,.500,0,0,,2,2,1.000,2,5,7,2,0,0,1,4,8,6.7,+8
24,949,25,2005-12-28,36-075,NOK,HOU,2,1,37:32,2,7,.286,0,0,,0,0,,2,5,7,2,2,0,2,5,4,2.2,+4
25,950,26,2005-12-29,36-076,NOK,SAS,-27,1,27:28,3,6,.500,0,0,,3,4,.750,3,3,6,2,0,0,0,2,9,9.2,-3
26,951,27,2005-12-31,36-078,NOK,DAL,-5,1,36:36,5,10,.500,0,0,,0,0,,2,4,6,1,0,1,3,1,10,5.6,+1
27,952,28,2006-01-02,36-080,NOK,CHA,17,1,39:11,5,10,.500,0,0,,6,8,.750,4,3,7,0,0,0,2,3,16,10.7,+8
28,953,29,2006-01-04,36-082,NOK,MIA,15,1,29:15,2,4,.500,0,0,,2,2,1.000,1,4,5,1,1,0,2,5,6,3.6,+20
29,954,30,2006-01-06,36-084,NOK,POR,10,1,33:03,2,10,.200,0,0,,1,2,.500,2,5,7,0,1,0,2,2,5,-0.5,-4
30,955,31,2006-01-07,36-085,NOK,ATL,-8,1,34:02,4,5,.800,0,0,,0,0,,3,2,5,1,1,0,0,2,8,9.7,-13
31,956,32,2006-01-10,36-088,NOK,DET,-10,1,35:06,1,5,.200,0,0,,1,1,1.000,2,7,9,2,0,0,2,3,3,1.6,-13
32,957,33,2006-01-13,36-091,NOK,SAC,14,1,30:28,4,7,.571,0,0,,0,0,,2,5,7,0,2,0,1,2,8,7.8,+12
33,958,34,2006-01-14,36-092,NOK,HOU,6,1,43:48,5,10,.500,0,0,,3,5,.600,4,6,10,3,1,3,1,1,13,15.6,+4
34,959,35,2006-01-16,36-094,NOK,CHA,15,1,29:34,6,11,.545,0,0,,0,0,,1,6,7,1,0,5,3,6,12,8.0,+6
35,960,36,2006-01-18,36-096,NOK,MEM,8,1,36:47,7,10,.700,0,0,,1,2,.500,3,3,6,2,1,1,1,3,15,14.3,+6
36,961,37,2006-01-20,36-098,NOK,WAS,-11,1,32:25,4,9,.444,0,0,,0,1,.000,4,2,6,1,0,0,3,1,8,3.6,-8
37,962,38,2006-01-21,36-099,NOK,NYK,11,1,37:19,3,14,.214,0,0,,2,2,1.000,1,8,9,1,1,1,0,5,8,2.9,0
38,963,39,2006-01-23,36-101,NOK,BOS,-13,1,23:16,1,6,.167,0,0,,3,4,.750,3,5,8,1,0,1,1,3,5,3.6,-17
39,964,40,2006-01-25,36-103,NOK,SAS,-16,1,33:30,1,4,.250,0,0,,3,4,.750,2,7,9,0,0,2,1,2,5,5.3,-11
40,965,41,2006-01-28,36-106,NOK,MEM,9,1,39:36,6,9,.667,0,0,,6,6,1.000,3,6,9,1,1,1,0,4,18,18.8,+6
41,966,42,2006-01-30,36-108,NOK,MIL,1,1,39:19,2,10,.200,0,0,,4,4,1.000,3,9,12,3,0,0,3,5,8,3.7,+1
