,pgl_basic,game,date,age,team,opp,gameResult,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
0,1,5,2013-01-15,24-187,HOU,LAC,-8,0,1:45,1,1,1.000,1,1,1.000,0,0,,0,0,0,1,1,0,0,0,3,4.4,+6
1,2,6,2013-01-16,24-188,HOU,DAL,-5,0,13:06,3,3,1.000,1,1,1.000,0,0,,0,1,1,2,0,1,1,3,7,6.3,+3
2,3,7,2013-01-18,24-190,HOU,IND,-10,0,16:34,3,8,.375,2,2,1.000,0,0,,0,3,3,2,3,1,1,1,8,8.2,+3
3,4,8,2013-01-19,24-191,HOU,MIN,-13,0,17:11,0,4,.000,0,3,.000,2,4,.500,3,0,3,2,0,0,3,5,2,-3.1,+3
4,5,9,2013-01-21,24-193,HOU,CHA,6,0,23:49,3,6,.500,2,5,.400,2,3,.667,2,1,3,2,0,0,2,3,10,6.5,+17
5,6,10,2013-01-23,24-195,HOU,DEN,-10,0,13:29,0,3,.000,0,3,.000,0,0,,1,2,3,5,2,1,1,0,0,4.4,+3
6,7,11,2013-01-25,24-197,HOU,NOH,18,0,0:57,0,1,.000,0,0,,2,2,1.000,0,0,0,0,0,0,0,0,2,1.3,+2
7,8,12,2013-01-26,24-198,HOU,BRK,13,0,1:15,0,2,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0,-1.4,-3
8,9,13,2013-01-28,24-200,HOU,UTA,45,0,12:00,1,1,1.000,1,1,1.000,0,0,,1,0,1,3,2,1,0,1,3,7.8,+11
9,10,16,2013-02-05,24-208,HOU,GSW,31,0,5:49,2,3,.667,1,2,.500,6,8,.750,0,0,0,1,0,0,0,0,11,9.6,+8
10,11,18,2013-02-08,24-211,HOU,POR,15,0,20:12,0,2,.000,0,2,.000,2,2,1.000,0,4,4,6,2,0,1,2,2,6.2,+4
11,12,19,2013-02-10,24-213,HOU,SAC,-6,0,18:46,3,6,.500,0,2,.000,0,0,,3,2,5,8,0,1,2,3,6,8.8,-5
