,pgl_basic,game,date,age,team,opp,gameResult,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
0,585,1,2009-11-19,29-136,LAL,CHI,15,1,35:10,9,15,.600,0,0,,6,6,1.000,7,6,13,3,0,1,2,3,24,23.4,+11
1,586,2,2009-11-22,29-139,LAL,OKC,16,1,28:43,5,13,.385,0,0,,5,6,.833,4,4,8,5,0,1,0,1,15,15.3,+23
2,587,3,2009-11-24,29-141,LAL,NYK,10,1,27:49,5,9,.556,0,0,,1,1,1.000,5,11,16,2,0,2,3,0,11,13.3,+21
3,588,4,2009-11-28,29-145,LAL,GSW,33,1,32:27,9,11,.818,0,0,,4,5,.800,2,10,12,3,0,3,3,2,22,22.3,+17
4,589,5,2009-11-29,29-146,LAL,NJN,19,1,37:04,8,13,.615,0,0,,4,5,.800,3,6,9,7,1,1,1,3,20,22.0,+21
5,590,6,2009-12-01,29-148,LAL,NOH,11,1,28:33,3,6,.500,0,0,,8,9,.889,1,4,5,2,0,1,1,2,14,12.8,+12
6,591,7,2009-12-04,29-151,LAL,MIA,1,1,42:18,8,16,.500,0,0,,6,6,1.000,4,4,8,4,1,1,0,4,22,20.9,+10
7,592,8,2009-12-06,29-153,LAL,PHO,20,1,33:18,6,10,.600,0,0,,2,2,1.000,0,4,4,3,0,1,0,0,14,13.4,+27
8,593,9,2009-12-09,29-156,LAL,UTA,24,1,32:36,7,10,.700,0,0,,5,5,1.000,4,8,12,4,0,1,3,2,19,19.7,+17
9,594,10,2009-12-11,29-158,LAL,MIN,12,1,37:57,8,14,.571,0,0,,1,1,1.000,8,12,20,7,1,1,5,2,17,20.4,+8
10,595,11,2009-12-12,29-159,LAL,UTA,-8,1,42:50,6,11,.545,0,0,,4,5,.800,9,11,20,5,2,1,3,2,16,22.3,0
11,596,12,2009-12-15,29-162,LAL,CHI,9,1,39:23,3,8,.375,0,0,,4,4,1.000,4,12,16,2,0,2,2,2,10,12.0,0
