,pgl_basic,game,date,age,team,opp,gameResult,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
0,43,1,1987-04-24,30-111,MIL,PHI,3,0,11:00,1,2,.500,0,0,,2,2,1.000,0,0,0,0,0,0,0,3,4,1.8,
1,44,2,1987-04-26,30-113,MIL,PHI,-3,0,13:00,2,4,.500,0,1,.000,0,0,,0,3,3,0,0,0,0,2,4,2.1,
2,45,3,1987-04-29,30-116,MIL,PHI,1,0,9:00,0,2,.000,0,0,,0,0,,3,2,5,0,0,0,4,1,0,-3.1,
3,46,4,1987-05-01,30-118,MIL,PHI,-6,0,5:00,0,4,.000,0,0,,0,0,,2,1,3,1,0,0,0,2,0,-1.2,
4,47,5,1987-05-03,30-120,MIL,PHI,13,0,7:00,0,1,.000,0,0,,2,2,1.000,1,1,2,0,1,0,1,0,2,2.3,
5,48,6,1987-05-05,30-122,MIL,BOS,-13,0,5:00,1,1,1.000,0,0,,0,0,,0,0,0,0,0,1,0,0,2,2.4,
6,49,7,1987-05-06,30-123,MIL,BOS,-2,0,14:00,1,2,.500,0,0,,3,3,1.000,2,2,4,0,0,0,0,2,5,5.2,
7,50,8,1987-05-08,30-125,MIL,BOS,5,0,15:00,0,2,.000,0,0,,0,2,.000,1,2,3,0,1,0,0,2,0,-0.7,
8,51,9,1987-05-10,30-127,MIL,BOS,-1,0,12:00,1,2,.500,0,0,,4,4,1.000,1,1,2,0,1,1,0,6,6,5.3,
9,52,10,1987-05-13,30-130,MIL,BOS,5,0,12:00,2,2,1.000,0,0,,1,2,.500,0,3,3,1,0,0,0,2,5,4.8,
10,53,11,1987-05-15,30-132,MIL,BOS,10,0,1:00,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,0,0,0.3,
11,54,12,1987-05-17,30-134,MIL,BOS,-6,0,3:00,0,0,,0,0,,0,0,,2,1,3,0,0,0,0,2,0,0.9,
