,pgl_basic,game,date,age,team,opp,gameResult,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
0,232,1,1964-10-16,26-260,PHI,DET,12,,,5,,,,,,10,10,1.000,,,,,,,,,20,,
1,233,2,1964-10-22,26-266,PHI,BAL,-3,,,6,,,,,,4,8,.500,,,,,,,,,16,,
2,234,3,1964-10-24,26-268,PHI,STL,-40,,19:00,3,,,,,,3,3,1.000,,,2,2,,,,,9,,
3,235,4,1964-10-25,26-269,PHI,CIN,-2,,,2,,,,,,2,2,1.000,,,,,,,,,6,,
4,236,5,1964-10-27,26-271,PHI,STL,19,,19:00,2,,,,,,3,4,.750,,,2,2,,,,,7,,
5,237,6,1964-10-30,26-274,PHI,NYK,-4,,,1,,,,,,5,6,.833,,,,,,,,,7,,
6,238,7,1964-10-31,26-275,PHI,NYK,11,,,7,,,,,,4,4,1.000,,,,,,,,,18,,
7,239,8,1964-11-07,26-282,PHI,CIN,2,,,7,,,,,,2,3,.667,,,,,,,,,16,,
8,240,9,1964-11-10,26-285,PHI,SFW,-11,,,3,,,,,,4,4,1.000,,,,,,,,,10,,
9,241,10,1964-11-11,26-286,PHI,BAL,9,,,3,,,,,,7,8,.875,,,,,,,,,13,,
10,242,11,1964-11-12,26-287,PHI,BOS,1,,,7,,,,,,1,1,1.000,,,,,,,,,15,,
11,243,12,1964-11-14,26-289,PHI,BOS,-11,,,3,,,,,,6,6,1.000,,,,,,,,,12,,
12,244,13,1964-11-18,26-293,PHI,DET,-13,,,6,,,,,,4,4,1.000,,,,,,,,,16,,
13,245,14,1964-11-20,26-295,PHI,STL,-3,,,3,,,,,,4,5,.800,,,,,,,,,10,,
14,246,15,1964-11-21,26-296,PHI,BOS,12,,,2,,,,,,3,4,.750,,,,,,,,,7,,
15,247,16,1964-11-25,26-300,PHI,NYK,31,,,8,,,,,,2,2,1.000,,,,,,,,,18,,
16,248,17,1964-11-26,26-301,PHI,SFW,11,,,7,,,,,,2,3,.667,,,,,,,,,16,,
17,249,18,1964-11-27,26-302,PHI,CIN,-21,,,6,,,,,,6,8,.750,,,,,,,,,18,,
18,250,19,1964-11-28,26-303,PHI,DET,8,,,5,,,,,,6,6,1.000,,,,,,,,,16,,
19,251,20,1964-11-29,26-304,PHI,STL,3,,,6,,,,,,1,2,.500,,,,,,,,,13,,
20,252,21,1964-12-01,26-306,PHI,LAL,-1,,,3,,,,,,2,2,1.000,,,,,,,,,8,,
21,253,22,1964-12-04,26-309,PHI,DET,13,,,8,,,,,,9,11,.818,,,,,,,,,25,,
22,254,23,1964-12-05,26-310,PHI,BAL,17,,,5,,,,,,9,9,1.000,,,,,,,,,19,,
23,255,24,1964-12-06,26-311,PHI,LAL,-5,,,8,,,,,,7,8,.875,,,,,,,,,23,,
24,256,25,1964-12-08,26-313,PHI,BAL,5,,,2,,,,,,2,2,1.000,,,,,,,,,6,,
25,257,26,1964-12-11,26-316,PHI,BOS,-9,,,4,,,,,,0,0,,,,,,,,,,8,,
26,258,27,1964-12-12,26-317,PHI,NYK,-27,,,9,,,,,,6,9,.667,,,,,,,,,24,,
27,259,28,1964-12-13,26-318,PHI,NYK,6,,,2,,,,,,0,0,,,,,,,,,,4,,
28,260,29,1964-12-14,26-319,PHI,SFW,7,,,2,,,,,,4,4,1.000,,,,,,,,,8,,
29,261,30,1964-12-16,26-321,PHI,BAL,-20,,,9,,,,,,3,4,.750,,,,,,,,,21,,
30,262,31,1964-12-18,26-323,PHI,SFW,-6,,,7,,,,,,3,5,.600,,,,,,,,,17,,
31,263,32,1964-12-19,26-324,PHI,LAL,27,,,8,15,.533,,,,1,2,.500,,,3,10,,,,4,17,,
32,264,33,1964-12-20,26-325,PHI,SFW,2,,,5,,,,,,4,5,.800,,,,,,,,,14,,
33,265,34,1964-12-23,26-328,PHI,LAL,-18,,,8,,,,,,3,5,.600,,,,,,,,6,19,,
34,266,35,1964-12-26,26-331,PHI,CIN,-10,,,9,,,,,,4,8,.500,,,,,,,,,22,,
35,267,36,1964-12-30,26-335,PHI,LAL,2,,,3,,,,,,2,2,1.000,,,,,,,,,8,,
36,268,37,1965-01-06,26-342,PHI,SFW,19,,,8,,,,,,1,1,1.000,,,,,,,,,17,,
37,269,38,1965-01-08,26-344,PHI,CIN,-7,,,6,,,,,,1,4,.250,,,,,,,,,13,,
38,270,39,1965-01-09,26-345,PHI,STL,2,,,6,,,,,,8,10,.800,,,,,,,,,20,,
39,271,40,1965-01-11,26-347,PHI,STL,-10,,,9,,,,,,0,0,,,,,,,,,,18,,
40,272,41,1965-01-15,26-351,SFW,NYK,-2,,,1,,,,,,2,3,.667,,,,,,,,,4,,
41,273,42,1965-01-16,26-352,SFW,NYK,-13,,,3,,,,,,0,0,,,,,,,,,,6,,
42,274,43,1965-01-21,26-357,SFW,PHI,-9,,,1,,,,,,1,1,1.000,,,,,,,,,3,,
43,275,44,1965-01-22,26-358,SFW,BOS,-10,,29:00,2,6,.333,,,,0,1,.000,,,6,4,,,,2,4,,
44,276,45,1965-01-24,26-360,SFW,CIN,-21,,,2,,,,,,1,2,.500,,,,,,,,,5,,
45,277,46,1965-01-26,26-362,SFW,CIN,-8,,,5,,,,,,4,5,.800,,,,,,,,,14,,
46,278,47,1965-01-28,26-364,SFW,CIN,15,,,5,,,,,,2,2,1.000,,,,,,,,,12,,
47,279,48,1965-01-30,27-000,SFW,LAL,-10,,,8,13,.615,,,,2,2,1.000,,,4,5,,,,3,18,,
48,280,49,1965-01-31,27-001,SFW,LAL,-2,,,2,10,.200,,,,0,0,,,,1,2,,,,2,4,,
49,281,50,1965-02-02,27-003,SFW,NYK,-11,,,2,,,,,,3,5,.600,,,,,,,,,7,,
50,282,51,1965-02-03,27-004,SFW,DET,-5,,,1,,,,,,3,3,1.000,,,,,,,,,5,,
51,283,52,1965-02-05,27-006,SFW,BAL,8,,,9,,,,,,5,5,1.000,,,,,,,,,23,,
52,284,53,1965-02-06,27-007,SFW,STL,-7,,,0,,,,,,0,0,,,,,,,,,,0,,
53,285,54,1965-02-07,27-008,SFW,STL,-23,,,2,,,,,,2,2,1.000,,,,,,,,,6,,
54,286,55,1965-02-09,27-010,SFW,PHI,-18,,,5,,,,,,2,4,.500,,,,,,,,,12,,
55,287,56,1965-02-11,27-012,SFW,PHI,6,,,7,,,,,,2,6,.333,,,,,,,,,16,,
56,288,57,1965-02-12,27-013,SFW,LAL,-19,,,3,6,.500,,,,3,4,.750,,,1,3,,,,2,9,,
57,289,58,1965-02-13,27-014,SFW,LAL,-24,,,2,4,.500,,,,1,3,.333,,,1,2,,,,4,5,,
58,290,59,1965-02-16,27-017,SFW,DET,-8,,,10,,,,,,5,6,.833,,,,,,,,,25,,
59,291,60,1965-02-18,27-019,SFW,DET,-1,,,7,,,,,,4,5,.800,,,,,,,,,18,,
60,292,61,1965-02-20,27-021,SFW,BOS,-6,,,10,,,,,,1,1,1.000,,,,,,,,,21,,
61,293,62,1965-02-22,27-023,SFW,STL,-10,,,1,,,,,,2,4,.500,,,,,,,,,4,,
62,294,63,1965-02-24,27-025,SFW,STL,-8,,,1,,,,,,0,0,,,,,,,,,,2,,
63,295,64,1965-02-26,27-027,SFW,BOS,-18,,,7,,,,,,1,2,.500,,,,,,,,,15,,
64,296,65,1965-02-28,27-029,SFW,BAL,-13,,,5,,,,,,8,10,.800,,,,,,,,,18,,
65,297,66,1965-03-02,27-031,SFW,CIN,-16,,,2,,,,,,1,2,.500,,,,,,,,,5,,
66,298,67,1965-03-03,27-032,SFW,DET,-3,,,3,,,,,,2,2,1.000,,,,,,,,,8,,
67,299,68,1965-03-04,27-033,SFW,DET,5,,,10,,,,,,4,6,.667,,,,,,,,,24,,
68,300,69,1965-03-06,27-035,SFW,CIN,-4,,,7,,,,,,3,5,.600,,,,,,,,6,17,,
69,301,70,1965-03-08,27-037,SFW,BAL,-9,,,1,,,,,,4,8,.500,,,,,,,,,6,,
70,302,71,1965-03-11,27-040,SFW,STL,-2,,,8,,,,,,5,5,1.000,,,,,,,,,21,,
71,303,72,1965-03-12,27-041,SFW,LAL,-22,,,3,8,.375,,,,4,5,.800,,,3,0,,,,2,10,,
72,304,73,1965-03-14,27-043,SFW,BOS,-8,,32:00,5,12,.417,,,,2,2,1.000,,,4,6,,,,5,12,,
73,305,74,1965-03-16,27-045,SFW,PHI,8,,,5,,,,,,2,2,1.000,,,,,,,,,12,,
74,306,75,1965-03-17,27-046,SFW,STL,-7,,,1,,,,,,1,2,.500,,,,,,,,,3,,
75,307,76,1965-03-20,27-049,SFW,LAL,14,,,6,10,.600,,,,4,4,1.000,,,1,3,,,,2,16,,
