,pgl_basic,game,date,age,team,opp,gameResult,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
0,28,1,1954-03-17,26-046,SYR,BOS,1,,,4,,,,,,2,3,.667,,,,,,,,6,10,,
1,29,2,1954-03-18,26-047,SYR,NYK,7,,,1,,,,,,11,14,.786,,,,,,,,4,13,,
2,30,3,1954-03-21,26-050,SYR,NYK,4,,,7,,,,,,6,6,1.000,,,,,,,,3,20,,
3,31,4,1954-03-22,26-051,SYR,BOS,13,,,5,,,,,,5,7,.714,,,,,,,,3,15,,
4,32,5,1954-03-25,26-054,SYR,BOS,15,,,4,,,,,,10,12,.833,,,,,,,,3,18,,
5,33,6,1954-03-27,26-056,SYR,BOS,7,,,3,,,,,,1,2,.500,,,,,,,,3,7,,
6,34,7,1954-03-31,26-060,SYR,MNL,-11,,,5,12,.417,,,,3,3,1.000,,,,,,,,2,13,,
7,35,8,1954-04-03,26-063,SYR,MNL,2,,,3,8,.375,,,,7,8,.875,,,,,,,,4,13,,
8,36,9,1954-04-04,26-064,SYR,MNL,-14,,,3,12,.250,,,,6,9,.667,,,,,,,,3,12,,
9,37,10,1954-04-08,26-068,SYR,MNL,11,,,8,15,.533,,,,9,10,.900,,,,,,,,1,25,,
10,38,11,1954-04-10,26-070,SYR,MNL,-11,,,5,16,.313,,,,6,7,.857,,,,,,,,1,16,,
11,39,12,1954-04-11,26-071,SYR,MNL,2,,,7,12,.583,,,,2,4,.500,,,,,,,,0,16,,
12,40,13,1954-04-12,26-072,SYR,MNL,-7,,,4,10,.400,,,,8,8,1.000,,,,,,,,6,16,,
