,pgl_basic,game,date,age,team,opp,gameResult,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
0,51,1,1985-10-25,24-022,GSW,DEN,-14,1,20:00,4,8,.500,0,0,,0,2,.000,0,7,7,1,0,2,0,6,8,5.0,
1,52,2,1985-10-27,24-024,GSW,POR,-17,1,25:00,5,12,.417,0,0,,1,2,.500,2,2,4,1,1,0,3,5,11,2.9,
2,53,3,1985-10-29,24-026,GSW,CHI,-6,1,39:00,2,9,.222,0,0,,2,2,1.000,1,4,5,2,0,0,2,3,6,0.6,
3,54,4,1985-10-31,24-028,GSW,NYK,7,1,39:00,5,13,.385,0,1,.000,2,4,.500,0,1,1,1,1,1,2,2,12,4.0,
4,55,5,1985-11-02,24-030,GSW,LAL,-4,1,29:00,9,14,.643,0,0,,0,0,,0,0,0,1,0,1,3,5,18,8.2,
5,56,6,1985-11-05,24-033,GSW,UTA,-19,1,33:00,3,10,.300,0,0,,1,2,.500,2,2,4,0,0,0,0,4,7,1.2,
6,57,7,1985-11-06,24-034,GSW,SEA,4,1,9:00,0,2,.000,0,0,,0,0,,1,1,2,0,1,0,0,5,0,-1.4,
7,58,8,1985-11-20,24-048,GSW,PHI,-4,0,6:00,1,2,.500,0,0,,0,0,,1,0,1,0,1,0,0,2,2,1.9,
8,59,9,1985-11-22,24-050,GSW,DET,-19,0,6:00,0,3,.000,0,0,,1,2,.500,0,1,1,0,0,1,1,0,1,-1.5,
9,60,10,1985-11-23,24-051,GSW,CHI,-27,0,7:00,1,4,.250,0,0,,0,0,,0,0,0,0,0,0,0,1,2,-0.8,
10,61,11,1985-11-26,24-054,GSW,HOU,-22,0,3:00,1,2,.500,0,0,,1,3,.333,0,1,1,0,0,1,0,0,3,2.2,
11,62,12,1985-12-08,24-066,GSW,SAS,-7,0,9:00,4,4,1.000,0,0,,1,2,.500,0,1,1,2,0,1,1,1,9,8.4,
12,63,13,1985-12-10,24-068,GSW,POR,-2,0,3:00,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,1,0,-0.1,
13,64,14,1985-12-11,24-069,GSW,PHO,-10,0,4:00,0,0,,0,0,,0,0,,0,0,0,1,0,0,0,1,0,0.3,
14,65,15,1985-12-17,24-075,GSW,DEN,-8,0,4:00,1,4,.250,0,0,,1,1,1.000,1,1,2,0,0,1,1,2,3,0.5,
15,66,16,1986-01-05,24-094,GSW,POR,-16,0,5:00,0,3,.000,0,0,,0,0,,0,0,0,1,0,0,0,2,0,-2.2,
16,67,17,1986-01-07,24-096,GSW,HOU,-9,0,3:00,0,1,.000,0,0,,0,0,,0,0,0,0,0,1,0,0,0,0.0,
17,68,18,1986-01-10,24-099,GSW,SAS,-27,0,11:00,2,5,.400,0,0,,2,4,.500,0,1,1,0,1,0,0,2,6,3.0,
18,69,19,1986-01-15,24-104,GSW,UTA,46,0,13:00,4,7,.571,0,0,,0,0,,1,1,2,2,1,1,2,4,8,5.2,
19,70,20,1986-01-22,24-111,GSW,ATL,-31,0,7:00,1,3,.333,0,0,,1,2,.500,1,0,1,0,0,0,3,0,3,-1.4,
20,71,21,1986-01-24,24-113,GSW,BOS,-21,0,3:00,2,2,1.000,0,0,,0,0,,0,0,0,0,0,0,0,0,4,3.4,
21,72,22,1986-02-04,24-124,GSW,PHO,-9,0,5:00,2,3,.667,0,0,,0,0,,0,1,1,0,0,0,0,1,4,2.6,
22,73,23,1986-02-11,24-131,GSW,LAL,24,0,3:00,0,2,.000,0,0,,0,0,,1,0,1,0,0,0,1,0,0,-1.7,
23,74,24,1986-02-13,24-133,GSW,WSB,4,0,1:00,0,0,,0,0,,0,0,,0,0,0,0,0,0,1,0,0,-1.0,
24,75,25,1986-02-19,24-139,GSW,BOS,-15,0,1:00,1,2,.500,0,0,,0,0,,0,0,0,0,0,0,0,0,2,1.0,
25,76,26,1986-02-21,24-141,GSW,LAC,2,0,7:00,3,5,.600,0,0,,0,0,,2,0,2,0,0,0,0,3,6,3.9,
26,77,27,1986-02-25,24-145,GSW,NJN,7,0,6:00,3,4,.750,0,0,,2,2,1.000,1,1,2,1,2,0,1,0,8,9.1,
27,78,28,1986-02-27,24-147,GSW,WSB,-12,1,16:00,4,7,.571,0,0,,0,0,,1,0,1,0,2,0,1,5,8,4.4,
28,79,29,1986-03-16,24-164,GSW,PHO,18,0,7:00,4,6,.667,1,1,1.000,0,0,,0,1,1,0,0,1,0,2,9,6.6,
29,80,30,1986-03-18,24-166,GSW,LAC,4,0,4:00,1,2,.500,0,1,.000,0,0,,0,1,1,1,0,0,0,1,2,1.6,
30,81,31,1986-03-20,24-168,GSW,SEA,-12,0,11:00,1,12,.083,0,0,,0,0,,1,1,2,0,1,0,0,2,2,-4.8,
31,82,32,1986-03-23,24-171,GSW,DEN,2,0,18:00,5,12,.417,0,0,,1,2,.500,2,3,5,0,0,0,2,3,11,3.3,
32,83,33,1986-03-25,24-173,GSW,DET,4,0,13:00,2,9,.222,0,1,.000,1,2,.500,2,2,4,3,0,0,0,0,5,3.2,
33,84,34,1986-03-27,24-175,GSW,SAS,3,0,17:00,4,9,.444,0,0,,4,5,.800,2,1,3,1,2,0,2,3,12,8.1,
34,85,35,1986-03-29,24-177,GSW,POR,1,0,14:00,5,8,.625,0,0,,2,4,.500,0,0,0,1,1,0,2,4,12,5.7,
35,86,36,1986-03-30,24-178,GSW,LAL,-7,0,18:00,2,4,.500,0,0,,0,0,,0,1,1,0,1,0,0,0,4,3.3,
36,87,37,1986-04-01,24-180,GSW,HOU,-4,0,10:00,2,8,.250,0,0,,0,0,,2,0,2,2,0,1,1,0,4,1.7,
37,88,38,1986-04-02,24-181,GSW,PHO,-9,0,35:00,3,5,.600,0,0,,0,0,,2,4,6,2,1,0,3,5,6,3.7,
