,pgl_basic,game,date,age,team,opp,gameResult,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
0,377,1,1983-10-29,27-262,HOU,SAS,6,1,31:00,4,11,.364,0,1,.000,0,0,,1,3,4,6,1,0,1,3,8,6.5,
1,378,2,1983-11-01,27-265,HOU,IND,-8,1,38:00,6,10,.600,0,0,,1,1,1.000,0,3,3,5,1,0,2,4,13,10.2,
2,379,3,1983-11-02,27-266,HOU,CLE,-9,1,25:00,2,12,.167,0,1,.000,2,3,.667,1,2,3,2,1,0,2,1,6,-0.7,
3,380,4,1983-11-04,27-268,HOU,DET,5,1,27:00,3,5,.600,0,0,,0,0,,2,3,5,6,0,0,1,4,6,7.6,
4,381,5,1983-11-05,27-269,HOU,KCK,-17,1,18:00,1,1,1.000,0,0,,1,2,.500,0,0,0,5,2,0,2,6,3,3.4,
5,382,6,1983-11-08,27-272,HOU,POR,-18,1,28:00,3,7,.429,0,0,,0,0,,0,1,1,5,1,0,0,4,6,5.5,
6,383,7,1983-11-10,27-274,HOU,UTA,-9,1,28:00,2,6,.333,0,0,,1,1,1.000,0,2,2,9,0,0,2,6,5,4.1,
7,384,8,1983-11-12,27-276,HOU,DAL,2,1,43:00,6,9,.667,0,0,,0,0,,3,2,5,9,1,1,4,3,12,13.6,
8,385,9,1983-11-15,27-279,HOU,NJN,-18,1,36:00,4,7,.571,0,1,.000,2,2,1.000,0,1,1,9,2,0,4,2,10,10.5,
9,386,10,1983-11-18,27-282,HOU,DEN,-7,1,27:00,1,7,.143,0,0,,1,2,.500,0,2,2,6,3,0,2,2,3,3.1,
10,387,11,1983-11-19,27-283,HOU,GSW,20,1,30:00,4,6,.667,0,0,,1,1,1.000,0,0,0,4,1,0,3,3,9,6.0,
11,388,12,1983-11-22,27-286,HOU,PHO,22,1,29:00,3,5,.600,0,0,,2,2,1.000,0,1,1,8,2,0,2,4,8,10.0,
12,389,13,1983-11-25,27-289,HOU,PHI,-14,1,34:00,4,8,.500,0,0,,0,0,,0,1,1,8,0,0,3,2,8,6.1,
13,390,14,1983-11-26,27-290,HOU,ATL,-6,1,25:00,1,5,.200,0,0,,1,2,.500,0,0,0,6,0,0,0,6,3,1.3,
14,391,15,1983-11-29,27-293,HOU,CHI,6,1,23:00,1,4,.250,0,0,,2,2,1.000,1,3,4,5,0,0,1,3,4,4.5,
15,392,16,1983-11-30,27-294,HOU,DAL,-11,1,20:00,2,6,.333,0,0,,0,0,,0,1,1,11,2,0,3,1,4,7.2,
16,393,17,1983-12-02,27-296,HOU,SEA,23,1,24:00,4,6,.667,0,0,,0,0,,0,1,1,3,0,1,2,2,8,5.7,
17,394,18,1983-12-03,27-297,HOU,NYK,-16,1,26:00,1,4,.250,0,0,,2,2,1.000,0,0,0,4,0,0,2,1,4,2.0,
18,395,19,1983-12-06,27-300,HOU,WSB,-4,1,20:00,2,8,.250,0,1,.000,2,2,1.000,0,0,0,3,0,0,4,2,6,-1.5,
19,396,20,1983-12-07,27-301,HOU,MIL,-2,1,33:00,3,8,.375,0,0,,2,3,.667,0,3,3,9,0,0,0,2,8,9.6,
20,397,21,1983-12-09,27-303,HOU,CHI,3,1,29:00,3,4,.750,0,1,.000,0,0,,0,2,2,7,2,0,2,6,6,7.5,
21,398,22,1983-12-10,27-304,HOU,UTA,-7,1,30:00,4,7,.571,0,0,,0,0,,1,4,5,3,2,0,1,4,8,8.1,
22,399,23,1983-12-13,27-307,HOU,PHO,19,1,19:00,1,4,.250,0,0,,1,1,1.000,0,0,0,2,1,0,3,4,3,-1.6,
23,400,24,1983-12-15,27-309,HOU,UTA,-27,1,27:00,4,10,.400,0,0,,0,0,,0,0,0,2,0,0,4,3,8,-1.2,
24,401,25,1983-12-17,27-311,HOU,IND,15,1,25:00,1,4,.250,0,0,,0,0,,0,1,1,3,0,0,2,1,2,-0.4,
25,402,26,1983-12-21,27-315,HOU,SDC,-31,1,28:00,3,4,.750,0,0,,0,0,,0,3,3,6,0,0,2,2,6,6.7,
26,403,27,1983-12-22,27-316,HOU,SEA,4,1,24:00,4,6,.667,0,0,,1,1,1.000,1,3,4,9,0,0,2,2,9,11.5,
27,404,28,1983-12-23,27-317,HOU,POR,-13,1,37:00,4,9,.444,0,0,,1,1,1.000,1,0,1,5,1,0,1,6,9,6.1,
28,405,29,1983-12-27,27-321,HOU,SDC,-15,1,30:00,5,9,.556,0,0,,1,2,.500,0,0,0,3,0,0,0,2,11,7.6,
29,406,30,1983-12-29,27-323,HOU,BOS,13,1,35:00,3,8,.375,0,0,,3,6,.500,0,4,4,3,2,1,2,4,9,5.8,
30,407,31,1983-12-30,27-324,HOU,PHO,-11,1,25:00,4,5,.800,0,0,,0,0,,1,1,2,4,1,0,1,4,8,8.3,
31,408,32,1984-01-03,27-328,HOU,DAL,-2,1,30:00,5,7,.714,0,0,,0,0,,0,2,2,7,0,1,3,5,10,8.3,
32,409,33,1984-01-04,27-329,HOU,UTA,-5,1,29:00,4,9,.444,0,2,.000,0,2,.000,0,2,2,6,1,0,1,3,8,6.1,
33,410,34,1984-01-06,27-331,HOU,SEA,-16,1,29:00,0,2,.000,0,0,,0,0,,0,0,0,5,2,0,1,5,0,1.1,
34,411,35,1984-01-08,27-333,HOU,LAL,11,1,24:00,3,5,.600,0,0,,3,3,1.000,0,2,2,9,2,0,2,3,9,12.4,
35,412,36,1984-01-10,27-335,HOU,LAL,-4,1,27:00,7,9,.778,0,0,,0,0,,1,0,1,4,0,0,1,5,14,11.0,
36,413,37,1984-01-12,27-337,HOU,POR,-3,1,40:00,4,5,.800,0,0,,0,0,,0,3,3,8,1,0,2,3,8,10.4,
37,414,38,1984-01-13,27-338,HOU,SAS,-30,1,33:00,4,6,.667,0,0,,0,0,,1,1,2,5,1,0,6,2,8,4.1,
38,415,39,1984-01-14,27-339,HOU,KCK,5,1,27:00,4,5,.800,0,0,,0,0,,0,0,0,7,0,0,3,5,8,6.0,
39,416,40,1984-01-17,27-342,HOU,DEN,9,1,31:00,4,7,.571,0,0,,2,2,1.000,0,2,2,5,1,0,1,6,10,8.4,
40,417,41,1984-01-20,27-345,HOU,SAS,34,1,36:00,5,6,.833,0,0,,0,0,,1,6,7,17,0,1,2,1,10,20.5,
41,418,42,1984-01-21,27-346,HOU,UTA,10,1,31:00,2,7,.286,0,0,,2,2,1.000,1,4,5,11,0,0,2,4,6,7.9,
42,419,43,1984-01-24,27-349,HOU,GSW,20,1,35:00,5,9,.556,0,1,.000,6,6,1.000,1,3,4,6,0,0,2,2,16,14.7,
43,420,44,1984-01-26,27-351,HOU,LAL,-29,1,29:00,3,7,.429,0,0,,5,5,1.000,0,1,1,10,1,0,0,5,11,13.6,
44,421,45,1984-01-31,27-356,HOU,KCK,15,1,27:00,5,6,.833,1,1,1.000,3,3,1.000,0,2,2,4,2,0,6,3,14,10.0,
45,422,46,1984-02-02,27-358,HOU,DAL,16,1,33:00,5,11,.455,0,1,.000,3,3,1.000,1,2,3,6,1,0,1,2,13,12.0,
46,423,47,1984-02-04,27-360,HOU,NYK,-8,1,34:00,1,4,.250,0,0,,3,5,.600,1,0,1,2,2,0,4,4,5,0.3,
47,424,48,1984-02-07,27-363,HOU,WSB,-3,1,30:00,2,8,.250,0,0,,1,3,.333,0,1,1,7,2,1,1,3,5,5.1,
48,425,49,1984-02-08,27-364,HOU,PHI,-11,1,22:00,1,6,.167,0,0,,4,4,1.000,0,1,1,5,1,0,1,4,6,4.4,
49,426,50,1984-02-10,28-001,HOU,BOS,-13,1,33:00,6,10,.600,0,0,,3,3,1.000,0,1,1,6,2,0,2,4,15,13.3,
50,427,51,1984-02-12,28-003,HOU,NJN,-4,1,21:00,4,6,.667,0,0,,1,1,1.000,0,1,1,4,0,1,1,4,9,7.6,
51,428,52,1984-02-14,28-005,HOU,DET,-7,1,28:00,6,9,.667,1,1,1.000,5,6,.833,0,1,1,6,1,0,1,4,18,16.6,
52,429,53,1984-02-16,28-007,HOU,SDC,11,1,31:00,5,8,.625,0,0,,2,2,1.000,1,3,4,7,0,0,1,1,12,13.5,
53,430,54,1984-02-18,28-009,HOU,PHO,-24,1,27:00,2,5,.400,0,1,.000,5,6,.833,1,1,2,7,1,0,0,3,9,11.6,
54,431,55,1984-02-22,28-013,HOU,DAL,-6,0,9:00,0,1,.000,0,0,,0,0,,0,0,0,0,2,0,1,2,0,-0.5,
55,432,56,1984-02-25,28-016,HOU,GSW,-6,0,5:00,1,1,1.000,0,0,,0,0,,0,0,0,3,0,0,0,1,2,3.4,
56,433,57,1984-02-28,28-019,HOU,SEA,6,0,19:00,5,9,.556,0,0,,6,6,1.000,0,2,2,0,0,0,2,2,16,9.5,
57,434,58,1984-03-01,28-021,HOU,KCK,-7,0,26:00,4,7,.571,0,1,.000,3,4,.750,0,1,1,2,2,1,3,6,11,6.3,
58,435,59,1984-03-03,28-023,HOU,GSW,2,0,25:00,2,4,.500,0,0,,0,0,,0,0,0,3,0,0,0,3,4,2.9,
59,436,60,1984-03-06,28-026,HOU,DEN,-2,0,19:00,2,4,.500,0,0,,0,0,,0,2,2,4,1,0,1,3,4,4.2,
60,437,61,1984-03-07,28-027,HOU,PHO,-13,0,22:00,2,2,1.000,0,0,,0,0,,0,0,0,3,0,0,2,1,4,3.1,
61,438,62,1984-03-10,28-030,HOU,SAS,-5,0,19:00,4,6,.667,0,0,,0,0,,0,1,1,4,0,0,1,4,8,5.9,
62,439,63,1984-03-11,28-031,HOU,CLE,7,0,16:00,2,4,.500,0,0,,0,0,,0,2,2,4,0,0,0,0,4,5.4,
63,440,64,1984-03-13,28-033,HOU,SDC,8,0,18:00,0,2,.000,0,0,,0,0,,1,2,3,6,0,0,0,2,0,3.3,
64,441,65,1984-03-16,28-036,HOU,SDC,-10,0,13:00,2,3,.667,0,0,,0,0,,0,0,0,2,1,0,1,1,4,3.7,
65,442,66,1984-03-17,28-037,HOU,LAL,-12,0,9:00,0,2,.000,0,1,.000,0,0,,1,0,1,1,0,0,0,0,0,0.0,
66,443,67,1984-03-20,28-040,HOU,KCK,-13,0,20:00,3,5,.600,0,0,,0,0,,1,2,3,5,0,0,1,3,6,6.3,
67,444,68,1984-03-21,28-041,HOU,DEN,-9,0,19:00,1,4,.250,0,0,,2,2,1.000,0,1,1,6,0,0,1,3,4,3.9,
68,445,69,1984-03-23,28-043,HOU,DAL,-12,0,17:00,4,6,.667,0,0,,0,0,,0,0,0,2,1,0,1,1,8,6.4,
69,446,70,1984-03-24,28-044,HOU,ATL,1,0,15:00,2,4,.500,0,0,,2,2,1.000,0,0,0,5,1,0,2,0,6,6.5,
70,447,71,1984-03-27,28-047,HOU,DEN,3,0,16:00,2,2,1.000,0,0,,2,2,1.000,0,1,1,4,0,0,0,3,6,7.3,
71,448,72,1984-03-29,28-049,HOU,LAL,-6,0,13:00,0,2,.000,0,0,,0,0,,0,0,0,5,0,0,1,3,0,-0.1,
72,449,73,1984-03-31,28-051,HOU,POR,-4,0,20:00,2,5,.400,0,0,,0,0,,1,1,2,3,0,0,2,5,4,0.4,
73,450,74,1984-04-02,28-053,HOU,UTA,-11,0,15:00,2,4,.500,0,0,,0,0,,0,0,0,4,0,0,0,3,4,3.6,
74,451,75,1984-04-03,28-054,HOU,GSW,-7,0,18:00,1,3,.333,0,0,,0,0,,1,1,2,4,0,0,2,5,2,0.1,
75,452,76,1984-04-05,28-056,HOU,POR,15,0,16:00,2,4,.500,0,0,,4,4,1.000,0,2,2,3,1,0,1,3,8,7.5,
76,453,77,1984-04-08,28-059,HOU,SEA,-13,0,10:00,1,3,.333,0,1,.000,0,0,,0,0,0,2,0,0,0,1,2,1.3,
77,454,78,1984-04-10,28-061,HOU,SAS,-10,0,24:00,5,6,.833,0,0,,2,2,1.000,0,2,2,4,1,0,1,2,12,12.4,
78,455,79,1984-04-11,28-062,HOU,DEN,-20,0,21:00,2,6,.333,0,0,,2,3,.667,1,1,2,0,0,0,2,5,6,-0.8,
79,456,80,1984-04-13,28-064,HOU,SAS,-1,0,16:00,4,7,.571,0,0,,0,0,,1,2,3,4,1,0,1,1,8,8.4,
80,457,81,1984-04-14,28-065,HOU,KCK,-12,1,19:00,1,2,.500,0,0,,0,0,,0,0,0,3,1,0,1,0,2,3.1,
