,pgl_basic,game,date,age,team,opp,gameResult,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
0,8,9,2013-11-16,20-363,DEN,HOU,-11,0,1:06,1,1,1.000,1,1,1.000,0,0,,0,0,0,0,0,0,0,0,3,2.7,+4
1,9,13,2013-11-25,21-007,DEN,DAL,14,0,0:50,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-0.7,0
2,10,17,2013-12-03,21-015,DEN,BRK,24,0,5:59,1,3,.333,0,0,,0,2,.000,0,1,1,0,0,1,1,1,2,-0.9,-2
3,11,24,2013-12-17,21-029,DEN,OKC,-12,0,1:06,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,0
4,12,26,2013-12-21,21-033,DEN,LAC,-21,0,9:43,3,4,.750,0,0,,2,2,1.000,3,1,4,0,0,0,3,0,8,5.8,0
5,13,28,2013-12-27,21-039,DEN,NOP,-16,0,13:03,4,6,.667,1,1,1.000,0,0,,2,0,2,0,0,0,1,0,9,6.8,-3
6,14,29,2013-12-28,21-040,DEN,MEM,-21,0,10:49,1,2,.500,1,1,1.000,0,0,,0,2,2,0,0,0,0,0,3,2.6,+6
7,15,31,2014-01-01,21-044,DEN,PHI,-12,0,5:56,1,5,.200,0,1,.000,0,0,,2,0,2,0,0,0,0,1,2,-0.1,-7
8,16,33,2014-01-05,21-048,DEN,LAL,22,0,2:37,1,2,.500,0,0,,0,0,,0,0,0,0,0,0,0,0,2,1.0,-2
9,17,34,2014-01-07,21-050,DEN,BOS,31,0,2:38,2,3,.667,1,1,1.000,0,0,,1,0,1,0,0,0,0,1,5,4.0,0
10,18,35,2014-01-09,21-052,DEN,OKC,13,1,20:17,3,6,.500,1,3,.333,2,2,1.000,1,1,2,0,0,0,2,4,9,3.4,+5
11,19,36,2014-01-11,21-054,DEN,ORL,26,1,35:35,5,13,.385,0,6,.000,6,6,1.000,2,9,11,1,1,2,1,1,16,14.7,+10
12,20,37,2014-01-13,21-056,DEN,UTA,-15,1,21:08,3,7,.429,1,4,.250,0,0,,0,4,4,0,0,0,1,2,7,2.7,-15
13,21,38,2014-01-15,21-058,DEN,GSW,7,0,3:21,1,1,1.000,0,0,,0,0,,0,0,0,0,0,0,0,0,2,1.7,0
14,22,39,2014-01-17,21-060,DEN,CLE,-8,0,12:17,0,4,.000,0,1,.000,0,0,,1,3,4,0,0,0,2,2,0,-4.0,-5
