,pgl_basic,game,date,age,team,opp,gameResult,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
0,280,1,2017-10-19,29-223,CHI,TOR,-17,0,11:55,4,6,.667,0,1,.000,0,0,,2,0,2,0,2,0,1,3,8,6.6,-5
1,281,3,2017-10-24,29-228,CHI,CLE,-7,0,13:09,2,5,.400,0,1,.000,2,2,1.000,1,1,2,2,0,0,0,2,6,4.9,-8
2,282,4,2017-10-26,29-230,CHI,ATL,5,0,17:20,2,6,.333,0,2,.000,3,3,1.000,2,2,4,1,0,2,2,1,7,5.3,+1
3,283,5,2017-10-28,29-232,CHI,OKC,-32,0,20:06,1,7,.143,1,7,.143,3,4,.750,0,3,3,0,0,0,3,3,6,-2.2,-15
4,284,6,2017-11-01,29-236,CHI,MIA,-6,0,6:03,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0,-0.7,-2
5,285,7,2017-11-03,29-238,CHI,ORL,22,0,5:57,1,2,.500,1,1,1.000,0,0,,0,0,0,1,1,0,0,1,3,3.3,-1
6,286,8,2017-11-04,29-239,CHI,NOP,-6,0,3:32,0,1,.000,0,1,.000,0,0,,0,1,1,0,0,0,1,1,0,-1.8,-3
7,287,10,2017-11-10,29-245,CHI,IND,-18,0,9:01,3,3,1.000,1,1,1.000,0,0,,0,1,1,1,1,0,0,1,7,7.7,+5
8,288,11,2017-11-11,29-246,CHI,SAS,-39,0,13:29,0,1,.000,0,0,,2,2,1.000,1,0,1,0,2,0,0,0,2,4.0,-12
9,289,12,2017-11-15,29-250,CHI,OKC,-13,1,20:56,0,4,.000,0,2,.000,4,6,.667,1,0,1,0,1,0,1,4,4,-0.5,-17
10,290,13,2017-11-17,29-252,CHI,CHO,3,0,15:34,0,2,.000,0,0,,0,0,,0,1,1,0,0,0,0,3,0,-2.3,+1
11,291,14,2017-11-19,29-254,CHI,PHO,-8,0,3:46,0,1,.000,0,1,.000,0,0,,0,1,1,0,0,0,0,1,0,-0.8,-4
12,292,16,2017-11-22,29-257,CHI,UTA,-30,0,9:45,0,2,.000,0,1,.000,0,0,,0,2,2,1,0,0,0,1,0,-0.5,-8
13,293,17,2017-11-24,29-259,CHI,GSW,-49,0,3:16,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,1,0,0,-1.7,-8
14,294,22,2017-12-04,29-269,CHI,CLE,-22,0,4:14,0,0,,0,0,,0,0,,1,0,1,0,0,0,0,0,0,0.7,+3
15,295,26,2017-12-11,29-276,CHI,BOS,23,0,3:56,0,1,.000,0,1,.000,0,0,,0,0,0,1,0,0,2,0,0,-2.0,-4
16,296,30,2017-12-20,29-285,CHI,ORL,18,0,6:24,0,2,.000,0,2,.000,0,0,,0,0,0,0,0,0,0,1,0,-1.8,-10
17,297,32,2017-12-23,29-288,CHI,BOS,-25,0,5:33,0,1,.000,0,0,,0,0,,0,3,3,0,0,0,0,0,0,0.2,-2
18,298,40,2018-01-06,29-302,CHI,IND,-39,0,9:26,1,3,.333,0,0,,0,0,,0,1,1,0,0,0,0,2,2,-0.2,-3
19,299,46,2018-01-20,29-316,CHI,ATL,16,0,2:09,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,0,0,0.3,-2
20,300,48,2018-01-24,29-320,CHI,PHI,-14,0,2:15,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,+1
21,301,50,2018-01-28,29-324,CHI,MIL,-14,0,1:30,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,0,0,0.3,-1
22,302,51,2018-01-31,29-327,CHI,POR,-16,0,6:26,0,0,,0,0,,0,0,,0,1,1,2,1,0,0,0,0,2.7,+4
