,pgl_basic,game,date,age,team,opp,gameResult,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
0,24,1,2008-11-07,22-310,ATL,TOR,18,0,13:22,3,4,.750,0,0,,0,0,,0,1,1,1,0,1,1,3,6,3.9,-9
1,25,2,2008-11-12,22-315,ATL,BOS,-1,0,4:04,0,0,,0,0,,0,0,,0,1,1,0,0,0,1,4,0,-2.3,+1
2,26,3,2008-11-15,22-318,ATL,NJN,-12,0,2:27,0,0,,0,0,,2,2,1.000,0,0,0,0,0,0,0,0,2,2.0,+4
3,27,4,2008-11-18,22-321,ATL,IND,-17,0,7:43,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,3,0,-1.9,-2
4,28,5,2008-12-15,22-348,ATL,CHA,4,0,0:04,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-2
5,29,6,2008-12-19,22-352,ATL,GSW,16,0,0:48,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,+1
6,30,7,2008-12-23,22-356,ATL,OKC,11,0,0:59,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,0
7,31,8,2009-01-07,23-005,ATL,ORL,-4,0,5:58,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,0,0,0.3,+2
8,32,9,2009-01-09,23-007,ATL,ORL,-34,0,4:36,0,1,.000,0,0,,0,0,,0,1,1,0,0,0,0,3,0,-1.6,+9
9,33,10,2009-01-13,23-011,ATL,PHO,-5,0,6:41,0,0,,0,0,,2,2,1.000,2,2,4,0,1,0,1,1,2,3.6,-2
10,34,11,2009-01-16,23-014,ATL,GSW,-5,0,0:56,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-0.4,-1
11,35,12,2009-01-19,23-017,ATL,TOR,3,0,0:28,0,1,.000,0,0,,0,0,,1,0,1,0,0,0,0,0,0,0.0,0
12,36,13,2009-01-23,23-021,ATL,MIL,30,0,2:09,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,1,0,0,-1.7,+1
13,37,14,2009-01-25,23-023,ATL,PHO,-5,0,5:59,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,4,0,-1.3,+4
14,38,15,2009-02-10,23-039,ATL,WAS,21,0,4:05,1,1,1.000,0,0,,0,0,,0,1,1,0,0,0,1,1,2,0.6,+1
15,39,16,2009-02-17,23-046,ATL,LAL,-13,0,3:00,0,0,,0,0,,0,0,,0,0,0,0,1,0,0,0,0,1.0,+10
16,40,17,2009-02-23,23-052,ATL,UTA,-19,0,2:56,1,2,.500,0,0,,0,0,,1,1,2,0,0,0,0,0,2,2.0,+5
17,41,18,2009-03-02,23-059,ATL,WAS,9,0,0:18,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,0
18,42,19,2009-03-15,23-072,ATL,POR,18,0,2:31,0,0,,0,0,,0,0,,0,0,0,0,0,0,1,0,0,-1.0,-2
19,43,20,2009-03-21,23-078,ATL,CLE,-6,0,1:43,0,0,,0,0,,0,0,,0,0,0,1,0,0,0,0,0,0.7,+6
20,44,21,2009-03-23,23-080,ATL,MIN,12,0,1:21,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-0.7,-7
21,45,22,2009-04-14,23-102,ATL,MIA,2,0,8:40,1,2,.500,0,0,,0,0,,0,6,6,0,0,0,0,2,2,2.0,-2
22,46,23,2009-04-15,23-103,ATL,MEM,-8,0,7:44,1,3,.333,0,0,,0,0,,0,1,1,0,0,0,1,3,2,-1.6,-4
