,pgl_basic,game,date,age,team,opp,gameResult,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
0,1,1,1961-10-21,23-101,DET,BOS,-35,,24:00,3,12,.250,,,,7,10,.700,,,,1,,,,5,13,,
1,2,2,1961-10-25,23-105,DET,LAL,-4,,,0,,,,,,0,0,,,,,,,,,,0,,
2,3,3,1961-10-27,23-107,DET,LAL,-10,,,2,7,.286,,,,3,6,.500,,,3,,,,,3,7,,
3,4,4,1961-10-28,23-108,DET,LAL,-9,,,4,7,.571,,,,4,8,.500,,,6,,,,,1,12,,
4,5,5,1961-11-04,23-115,DET,PHW,-3,,,5,,,,,,2,5,.400,,,,,,,,6,12,,
5,6,6,1961-11-08,23-119,DET,PHW,-4,,,2,,,,,,2,3,.667,,,,,,,,3,6,,
6,7,7,1961-11-09,23-120,DET,BOS,6,,,5,,,,,,6,8,.750,,,,,,,,,16,,
7,8,8,1961-11-10,23-121,DET,NYK,6,,,4,,,,,,1,2,.500,,,,,,,,2,9,,
8,9,9,1961-11-11,23-122,DET,STL,-13,,,5,9,.556,,,,4,4,1.000,,,5,,,,,3,14,,
9,10,10,1961-11-15,23-126,DET,STL,5,,12:00,2,6,.333,,,,3,4,.750,,,6,,,,,2,7,,
10,11,11,1961-11-18,23-129,DET,CHP,7,,,2,,,,,,1,2,.500,,,,,,,,0,5,,
11,12,12,1961-11-19,23-130,DET,CIN,-16,,,1,,,,,,2,3,.667,,,,,,,,3,4,,
12,13,13,1961-11-21,23-132,DET,LAL,6,,,5,,,,,,1,3,.333,,,,,,,,2,11,,
13,14,14,1961-11-24,23-135,DET,STL,7,,,5,,,,,,0,1,.000,,,,,,,,5,10,,
14,15,15,1961-11-25,23-136,DET,LAL,1,,,5,,,,,,6,11,.545,,,,,,,,3,16,,
15,16,16,1961-11-26,23-137,DET,BOS,-6,,,2,,,,,,7,9,.778,,,,,,,,3,11,,
16,17,17,1961-11-28,23-139,DET,BOS,-8,,,8,,,,,,4,8,.500,,,,,,,,4,20,,
17,18,18,1961-12-01,23-142,DET,STL,-3,,,4,,,,,,2,2,1.000,,,,,,,,,10,,
18,19,19,1961-12-02,23-143,DET,STL,9,,,2,,,,,,0,0,,,,,,,,,1,4,,
19,20,20,1961-12-06,23-147,DET,NYK,36,,,4,,,,,,6,9,.667,,,,,,,,3,14,,
20,21,21,1961-12-08,23-149,DET,CHP,26,,,7,,,,,,2,2,1.000,,,,,,,,5,16,,
21,22,22,1961-12-09,23-150,DET,LAL,-7,,,5,,,,,,3,4,.750,,,,,,,,5,13,,
22,23,23,1961-12-12,23-153,DET,PHW,-23,,,1,,,,,,1,3,.333,,,,,,,,,3,,
23,24,24,1961-12-14,23-155,DET,CIN,4,,,3,,,,,,1,5,.200,,,,,,,,,7,,
24,25,25,1961-12-16,23-157,DET,CIN,-11,,,5,,,,,,3,4,.750,,,,,,,,3,13,,
25,26,26,1961-12-17,23-158,DET,LAL,-6,,,5,,,,,,0,0,,,,,,,,,3,10,,
26,27,27,1961-12-19,23-160,DET,SYR,-13,,,3,,,,,,2,6,.333,,,,,,,,,8,,
27,28,28,1961-12-20,23-161,DET,PHW,-15,,,6,17,.353,,,,2,4,.500,,,25,6,,,,3,14,,
28,29,29,1961-12-23,23-164,DET,CIN,9,,,6,,,,,,8,11,.727,,,,,,,,,20,,
29,30,30,1961-12-25,23-166,DET,CHP,-21,,,2,,,,,,4,6,.667,,,,,,,,4,8,,
