,pgl_basic,game,date,age,team,opp,gameResult,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
0,66,1,1999-05-09,33-258,IND,MIL,22,1,31:00,4,15,.267,2,7,.286,6,6,1.000,1,2,3,1,0,0,1,0,16,8.1,
1,67,2,1999-05-11,33-260,IND,MIL,1,1,40:00,9,25,.360,3,16,.188,9,9,1.000,1,2,3,1,2,0,3,3,30,15.9,
2,68,3,1999-05-13,33-262,IND,MIL,8,1,38:00,8,19,.421,5,12,.417,12,14,.857,3,1,4,5,2,1,1,0,33,29.7,
3,69,4,1999-05-17,33-266,IND,PHI,4,1,37:00,5,10,.500,1,1,1.000,7,7,1.000,0,2,2,3,0,0,2,2,18,12.9,
4,70,5,1999-05-19,33-268,IND,PHI,3,1,38:00,7,19,.368,3,10,.300,0,0,,3,5,8,2,1,0,0,1,17,12.1,
5,71,6,1999-05-21,33-270,IND,PHI,11,1,38:00,9,14,.643,4,6,.667,7,7,1.000,0,5,5,4,1,0,0,0,29,28.1,
6,72,7,1999-05-23,33-272,IND,PHI,3,1,39:00,8,17,.471,2,8,.250,5,7,.714,2,3,5,5,1,1,3,1,23,17.6,
7,73,8,1999-05-30,33-279,IND,NYK,-3,1,33:00,7,13,.538,1,4,.250,4,4,1.000,0,5,5,3,0,0,0,3,19,15.1,
8,74,9,1999-06-01,33-281,IND,NYK,2,1,39:00,3,11,.273,1,4,.250,9,12,.750,0,3,3,1,0,0,1,4,16,7.3,
9,75,10,1999-06-05,33-285,IND,NYK,-1,1,36:00,4,9,.444,2,3,.667,2,2,1.000,0,2,2,3,1,0,3,1,12,7.6,
10,76,11,1999-06-07,33-287,IND,NYK,12,1,35:00,3,10,.300,1,1,1.000,5,6,.833,0,2,2,1,1,0,2,4,12,4.5,
11,77,12,1999-06-09,33-289,IND,NYK,-7,1,41:00,9,19,.474,2,4,.500,10,11,.909,2,4,6,1,0,1,3,2,30,20.1,
12,78,13,1999-06-11,33-291,IND,NYK,-8,1,36:00,3,18,.167,1,8,.125,1,1,1.000,1,2,3,4,0,0,2,5,8,-3.3,
