,pgl_basic,game,date,age,team,opp,gameResult,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
0,165,1,1980-10-11,22-364,CHI,ATL,-8,,,7,,,0,,,5,6,.833,,,,,,,,,19,,
1,166,2,1980-10-15,23-002,CHI,IND,11,,,4,,,0,,,11,13,.846,,,,,,,,,19,,
2,167,3,1980-10-17,23-004,CHI,CLE,19,,,8,,,0,,,3,5,.600,,,,,,,,,19,,
3,168,4,1980-10-18,23-005,CHI,NJN,-17,,,3,,,0,,,3,4,.750,,,,,,,,,9,,
4,169,5,1980-10-21,23-008,CHI,NYK,-8,,,8,,,0,,,3,4,.750,,,,,,,,,19,,
5,170,6,1980-10-24,23-011,CHI,WSB,8,,35:00,5,11,.455,0,0,,0,0,,,,2,5,,1,,4,10,,
6,171,7,1980-10-25,23-012,CHI,MIL,-16,,,4,,,0,,,7,8,.875,,,,,,,,,15,,
7,172,8,1980-10-28,23-015,CHI,MIL,-7,,,11,,,1,,,2,2,1.000,,,,,,,,,25,,
8,173,9,1980-10-29,23-016,CHI,PHI,-13,,,7,,,0,,,5,6,.833,,,,,,,,,19,,
9,174,10,1980-10-31,23-018,CHI,IND,-7,,,6,,,1,,,8,9,.889,,,,,,,,,21,,
10,175,11,1980-11-01,23-019,CHI,DET,22,,,7,,,0,,,4,4,1.000,,,,,,,,,18,,
11,176,12,1980-11-05,23-023,CHI,NJN,15,,,11,,,0,,,6,8,.750,,,,,,,,,28,,
12,177,13,1980-11-07,23-025,CHI,ATL,3,,,5,,,0,,,4,5,.800,,,,,,,,,14,,
13,178,14,1980-11-08,23-026,CHI,DEN,-4,,,9,,,0,,,6,9,.667,,,,,,,,,24,,
14,179,15,1980-11-09,23-027,CHI,BOS,-6,,,11,,,1,,,5,8,.625,,,,,,,,,28,,
15,180,16,1980-11-11,23-029,CHI,PHI,-41,,,2,,,0,,,4,7,.571,,,,,,,,,8,,
16,181,17,1980-11-14,23-032,CHI,DET,-7,,,8,,,1,,,6,7,.857,,,,,,,,,23,,
17,182,18,1980-11-16,23-034,CHI,MIL,6,,,4,,,0,,,6,10,.600,,,,,,,,,14,,
18,183,19,1980-11-18,23-036,CHI,BOS,-1,,,7,,,0,,,10,11,.909,,,,,,,,,24,,
19,184,20,1980-11-21,23-039,CHI,NYK,9,,,7,,,0,,,3,3,1.000,,,,,,,,,17,,
20,185,21,1980-11-22,23-040,CHI,WSB,13,,,6,,,0,,,6,7,.857,,,,,,,,,18,,
21,186,22,1980-11-26,23-044,CHI,SAS,-3,,,6,,,1,,,7,8,.875,,,,,,,,,20,,
22,187,23,1980-11-28,23-046,CHI,PHO,-1,,,5,,,0,,,10,12,.833,,,,,,,,6,20,,
23,188,24,1980-11-30,23-048,CHI,LAL,14,,,5,,,0,,,9,9,1.000,,,,,,,,,19,,
24,189,25,1980-12-02,23-050,CHI,DEN,5,,,12,,,0,,,2,4,.500,,,,,,,,,26,,
25,190,26,1980-12-03,23-051,CHI,SEA,-8,,,4,,,1,,,8,10,.800,,,,,,,,,17,,
26,191,27,1980-12-05,23-053,CHI,POR,-1,,,6,,,0,,,0,0,,,,,,,,,,12,,
27,192,28,1980-12-09,23-057,CHI,PHO,-15,,,7,,,2,,,3,4,.750,,,,,,,,,19,,
28,193,29,1980-12-10,23-058,CHI,PHI,-13,,,6,,,0,,,8,11,.727,,,,,,,,,20,,
29,194,30,1980-12-12,23-060,CHI,UTA,20,,,5,,,0,,,6,6,1.000,,,,,,,,,16,,
30,195,31,1980-12-13,23-061,CHI,BOS,-11,,,5,,,1,,,6,9,.667,,,,,,,,,17,,
31,196,32,1980-12-16,23-064,CHI,WSB,2,,,9,,,1,,,4,4,1.000,,,,,,,,,23,,
32,197,33,1980-12-17,23-065,CHI,BOS,-17,,,6,,,0,,,4,6,.667,,,,,,,,,16,,
33,198,34,1980-12-19,23-067,CHI,MIL,23,,,9,,,0,,,4,7,.571,,,,,,,,,22,,
34,199,35,1980-12-20,23-068,CHI,HOU,24,,,8,,,0,,,8,9,.889,,,,,,,,,24,,
35,200,36,1980-12-23,23-071,CHI,NYK,3,,,10,,,0,,,3,4,.750,,,,,,,,,23,,
36,201,37,1980-12-26,23-074,CHI,CLE,2,,,7,,,1,,,5,6,.833,,,,,,,,,20,,
37,202,38,1980-12-27,23-075,CHI,DET,7,,,6,,,0,,,3,4,.750,,,,,,,,,15,,
38,203,39,1980-12-30,23-078,CHI,NJN,11,,,7,,,0,,,6,7,.857,,,,,,,,,20,,
39,204,40,1981-01-02,23-081,CHI,WSB,10,,,6,,,0,,,3,4,.750,,,,,,,,,15,,
40,205,41,1981-01-03,23-082,CHI,SAS,-8,,,14,,,0,,,4,5,.800,,,,,,,,,32,,
41,206,42,1981-01-06,23-085,CHI,SDC,15,,,9,,,0,,,9,11,.818,,,,,,,,,27,,
42,207,43,1981-01-09,23-088,CHI,BOS,-6,,,9,,,0,,,3,3,1.000,,,,,,,,,21,,
43,208,44,1981-01-10,23-089,CHI,PHI,-15,,,3,,,0,,,10,12,.833,,,,,,,,,16,,
44,209,45,1981-01-13,23-092,CHI,DAL,-6,,,8,,,1,,,0,0,,,,,,,,,,17,,
