,pgl_basic,game,date,age,team,opp,gameResult,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
0,73,1,1957-11-19,25-174,NYK,STL,-3,,,7,,,,,,6,12,.500,,,,,,,,3,20,,
1,74,2,1957-11-20,25-175,NYK,MNL,4,,,8,,,,,,6,8,.750,,,,,,,,4,22,,
2,75,3,1957-11-21,25-176,NYK,MNL,1,,,4,,,,,,8,9,.889,,,,,,,,6,16,,
3,76,4,1957-11-23,25-178,NYK,SYR,-4,,,1,,,,,,1,3,.333,,,,,,,,4,3,,
4,77,5,1957-11-26,25-181,NYK,STL,-10,,,10,,,,,,3,8,.375,,,,,,,,2,23,,
5,78,6,1957-11-27,25-182,NYK,BOS,-13,,,10,,,,,,5,9,.556,,,,,,,,3,25,,
6,79,7,1957-11-28,25-183,NYK,BOS,17,,,7,,,,,,3,4,.750,,,,,,,,4,17,,
7,80,8,1957-11-30,25-185,NYK,PHW,-28,,,2,,,,,,4,,,,,,,,,,1,8,,
8,81,9,1957-12-01,25-186,NYK,DET,7,,,4,,,,,,5,5,1.000,,,8,9,,,,5,13,,
9,82,10,1957-12-03,25-188,NYK,CIN,6,,,4,,,,,,11,19,.579,,,,,,,,3,19,,
10,83,11,1957-12-06,25-191,NYK,CIN,15,,,7,,,,,,7,9,.778,,,19,11,,,,4,21,,
11,84,12,1957-12-08,25-193,NYK,STL,3,,,6,,,,,,5,10,.500,,,,,,,,4,17,,
12,85,13,1957-12-10,25-195,NYK,BOS,3,,,10,,,,,,8,10,.800,,,,,,,,4,28,,
13,86,14,1957-12-11,25-196,NYK,STL,-9,,,12,,,,,,6,12,.500,,,,,,,,3,30,,
14,87,15,1957-12-14,25-199,NYK,STL,-12,,,3,,,,,,10,15,.667,,,,,,,,3,16,,
15,88,16,1957-12-15,25-200,NYK,DET,7,,,4,,,,,,5,7,.714,,,,,,,,4,13,,
16,89,17,1957-12-17,25-202,NYK,SYR,6,,32:00,4,,,,,,3,10,.300,,,12,4,,,,5,11,,
17,90,18,1957-12-22,25-207,NYK,PHW,26,,,11,,,,,,1,2,.500,,,6,8,,,,1,23,,
18,91,19,1957-12-25,25-210,NYK,SYR,-4,,44:00,5,,,,,,12,14,.857,,,6,7,,,,4,22,,
19,92,20,1957-12-26,25-211,NYK,BOS,-10,,,6,,,,,,10,10,1.000,,,,,,,,1,22,,
20,93,21,1957-12-27,25-212,NYK,DET,5,,,9,,,,,,5,,,,,,,,,,,23,,
21,94,22,1957-12-28,25-213,NYK,PHW,-7,,,6,,,,,,12,20,.600,,,7,3,,,,4,24,,
