,pgl_basic,game,date,age,team,opp,gameResult,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
0,42,21,2012-12-15,22-055,MIN,DAL,8,0,18:02,1,4,.250,0,3,.000,6,8,.750,1,3,4,9,3,0,2,2,8,12.9,+1
1,43,22,2012-12-17,22-057,MIN,ORL,-9,0,16:28,0,3,.000,0,1,.000,0,0,,2,0,2,4,1,0,3,2,0,-0.7,-8
2,44,24,2012-12-20,22-060,MIN,OKC,6,0,18:13,0,3,.000,0,1,.000,0,0,,0,3,3,3,1,0,2,0,0,-0.1,0
3,45,25,2012-12-23,22-063,MIN,NYK,-3,0,17:36,2,6,.333,0,0,,1,2,.500,0,1,1,2,0,0,5,4,5,-3.7,0
4,46,26,2012-12-26,22-066,MIN,HOU,-3,0,21:23,2,5,.400,0,1,.000,4,4,1.000,0,0,0,2,1,0,0,3,8,6.5,-9
5,47,31,2013-01-08,22-079,MIN,ATL,5,0,18:31,0,0,,0,0,,4,6,.667,0,1,1,8,4,0,2,4,4,9.5,+10
6,48,32,2013-01-09,22-080,MIN,OKC,-22,0,21:57,0,3,.000,0,0,,0,0,,0,2,2,7,0,0,2,1,0,1.0,-12
7,49,33,2013-01-11,22-082,MIN,NOH,-12,0,21:32,1,3,.333,0,1,.000,1,2,.500,0,0,0,3,1,0,4,1,3,-0.4,-6
8,50,34,2013-01-13,22-084,MIN,SAS,-18,0,22:04,0,6,.000,0,1,.000,4,4,1.000,0,0,0,2,3,0,2,0,4,2.2,-24
9,51,35,2013-01-14,22-085,MIN,DAL,-15,0,26:05,2,3,.667,0,0,,2,2,1.000,3,2,5,6,0,0,2,2,6,8.8,+7
10,52,36,2013-01-17,22-088,MIN,LAC,-13,1,27:25,2,9,.222,0,1,.000,0,0,,1,2,3,6,1,0,2,0,4,3.0,-5
11,53,37,2013-01-19,22-090,MIN,HOU,13,1,30:08,1,3,.333,0,1,.000,5,6,.833,0,1,1,6,0,0,2,2,7,6.6,+16
12,54,38,2013-01-21,22-092,MIN,ATL,-8,1,25:07,1,4,.250,0,0,,3,4,.750,0,2,2,6,2,0,2,1,5,6.6,-14
13,55,39,2013-01-23,22-094,MIN,BRK,-8,1,24:08,2,5,.400,0,1,.000,1,2,.500,0,1,1,6,3,0,4,1,5,5.0,-8
14,56,40,2013-01-25,22-096,MIN,WAS,-13,1,31:01,1,8,.125,0,2,.000,2,2,1.000,3,2,5,6,1,0,5,1,4,1.3,-14
15,57,41,2013-01-26,22-097,MIN,CHA,-1,1,29:03,4,9,.444,1,2,.500,5,6,.833,1,0,1,8,5,0,2,4,14,16.6,+23
16,58,42,2013-01-30,22-101,MIN,LAC,-6,1,27:28,4,9,.444,0,1,.000,1,2,.500,1,2,3,4,2,0,2,3,9,6.8,-18
17,59,43,2013-02-01,22-103,MIN,LAL,-11,1,28:59,4,9,.444,0,0,,1,2,.500,0,4,4,7,2,0,3,3,9,7.8,-12
18,60,44,2013-02-02,22-104,MIN,NOH,29,1,22:31,3,5,.600,0,0,,3,4,.750,2,1,3,7,1,0,1,3,9,11.7,+8
19,61,45,2013-02-04,22-106,MIN,POR,-2,1,33:27,4,9,.444,0,0,,7,8,.875,0,2,2,14,1,0,4,3,15,16.1,+9
20,62,46,2013-02-06,22-108,MIN,SAS,-10,1,36:33,3,13,.231,0,1,.000,3,4,.750,0,4,4,11,3,0,3,4,9,8.0,-5
21,63,47,2013-02-08,22-110,MIN,NYK,-6,1,38:59,6,14,.429,1,1,1.000,5,9,.556,0,2,2,11,1,0,1,0,18,17.3,-3
22,64,48,2013-02-10,22-112,MIN,MEM,-17,1,28:23,6,11,.545,0,1,.000,5,8,.625,0,1,1,4,0,0,3,1,17,10.2,-10
23,65,49,2013-02-11,22-113,MIN,CLE,8,1,33:14,5,9,.556,1,1,1.000,2,2,1.000,0,3,3,10,5,0,7,5,13,12.6,+3
24,66,50,2013-02-13,22-115,MIN,UTA,-4,1,40:16,3,13,.231,0,3,.000,12,13,.923,2,7,9,10,4,1,2,1,18,22.5,0
25,67,51,2013-02-20,22-122,MIN,PHI,7,1,29:07,1,4,.250,0,0,,9,12,.750,1,5,6,6,3,0,6,5,11,8.8,+10
26,68,52,2013-02-22,22-124,MIN,OKC,-16,1,32:53,5,12,.417,0,0,,3,4,.750,2,3,5,9,5,0,1,4,13,17.2,-5
27,69,53,2013-02-24,22-126,MIN,GSW,-1,1,38:52,3,10,.300,0,2,.000,10,11,.909,1,7,8,11,6,0,6,1,16,19.9,+9
28,70,54,2013-02-26,22-128,MIN,PHO,-1,1,38:55,2,12,.167,0,0,,1,2,.500,0,5,5,10,4,0,6,4,5,1.9,+10
29,71,55,2013-02-28,22-130,MIN,LAL,-22,1,32:57,5,11,.455,1,3,.333,2,2,1.000,3,5,8,13,1,0,4,2,13,16.2,-16
30,72,56,2013-03-02,22-132,MIN,POR,-15,1,37:51,3,10,.300,0,1,.000,6,6,1.000,2,7,9,9,3,0,5,4,12,12.4,-20
31,73,57,2013-03-04,22-134,MIN,MIA,-16,1,38:38,6,11,.545,2,4,.500,0,3,.000,2,3,5,8,6,0,6,2,14,14.6,-12
32,74,58,2013-03-06,22-136,MIN,WAS,5,1,37:56,4,15,.267,0,2,.000,7,10,.700,0,7,7,11,6,0,3,3,15,16.5,+15
33,75,59,2013-03-09,22-139,MIN,DEN,-23,1,29:00,4,9,.444,0,1,.000,3,4,.750,0,4,4,6,0,0,3,3,11,7.1,-14
34,76,60,2013-03-10,22-140,MIN,DAL,-23,1,31:23,3,12,.250,1,4,.250,0,0,,3,2,5,5,2,0,2,2,7,5.2,-17
35,77,61,2013-03-12,22-142,MIN,SAS,24,1,34:48,9,17,.529,1,5,.200,2,3,.667,1,12,13,12,0,1,4,4,21,20.1,+23
36,78,62,2013-03-13,22-143,MIN,IND,-16,1,36:31,6,14,.429,2,3,.667,7,8,.875,2,4,6,10,3,0,4,1,21,21.4,-18
37,79,63,2013-03-15,22-145,MIN,HOU,-8,1,38:50,4,13,.308,0,3,.000,6,8,.750,1,6,7,7,2,1,3,3,14,11.6,-7
38,80,64,2013-03-17,22-147,MIN,NOH,2,1,34:55,7,11,.636,1,1,1.000,1,1,1.000,0,2,2,6,2,2,3,4,16,14.7,+5
39,81,65,2013-03-18,22-148,MIN,MEM,-15,1,21:03,1,6,.167,0,1,.000,0,0,,0,2,2,3,1,0,0,2,2,1.1,-15
40,82,66,2013-03-21,22-151,MIN,SAC,-3,1,32:13,4,13,.308,0,3,.000,4,4,1.000,0,7,7,9,3,0,1,4,12,13.3,-6
41,83,67,2013-03-22,22-152,MIN,PHO,31,1,29:04,3,7,.429,0,0,,6,7,.857,2,4,6,8,5,0,4,3,12,15.9,+21
42,84,68,2013-03-24,22-154,MIN,CHI,-7,1,32:19,4,8,.500,0,0,,7,10,.700,2,3,5,8,1,0,1,3,15,16.5,-7
43,85,69,2013-03-26,22-156,MIN,DET,23,1,27:28,6,9,.667,2,2,1.000,0,0,,0,4,4,9,2,0,3,1,14,16.2,+26
44,86,70,2013-03-27,22-157,MIN,LAL,-3,1,28:43,5,13,.385,0,1,.000,3,4,.750,0,3,3,7,3,0,2,4,13,10.7,-4
45,87,71,2013-03-29,22-159,MIN,OKC,8,1,30:14,4,11,.364,1,1,1.000,8,8,1.000,0,2,2,7,4,0,2,3,17,17.2,+4
46,88,72,2013-03-30,22-160,MIN,MEM,-13,1,39:34,6,12,.500,1,2,.500,10,12,.833,3,7,10,9,1,0,5,5,23,20.7,-9
47,89,73,2013-04-01,22-162,MIN,BOS,10,1,34:30,2,11,.182,0,2,.000,5,6,.833,0,3,3,10,2,0,2,4,9,8.0,+12
48,90,74,2013-04-03,22-164,MIN,MIL,9,1,34:26,7,12,.583,5,6,.833,0,0,,0,4,4,12,8,0,8,3,19,21.8,+12
49,91,75,2013-04-05,22-166,MIN,TOR,-2,1,36:44,3,10,.300,1,3,.333,6,8,.750,0,5,5,12,1,0,4,3,13,12.1,+5
50,92,76,2013-04-06,22-167,MIN,DET,6,1,31:56,1,13,.077,0,2,.000,8,9,.889,1,4,5,6,5,0,3,2,10,8.2,+17
51,93,77,2013-04-09,22-170,MIN,GSW,-16,1,22:09,0,10,.000,0,3,.000,5,6,.833,0,5,5,6,1,0,2,2,5,1.5,-18
52,94,78,2013-04-10,22-171,MIN,LAC,-16,1,23:17,2,8,.250,0,1,.000,2,2,1.000,0,2,2,7,1,0,1,3,6,5.5,-13
53,95,79,2013-04-12,22-173,MIN,UTA,-7,1,25:29,4,7,.571,2,3,.667,3,3,1.000,0,2,2,3,2,0,2,4,13,10.8,+1
