,pgl_basic,game,date,age,team,opp,gameResult,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
0,380,1,1999-11-02,30-272,DAL,GSW,12,1,23:00,5,8,.625,0,0,,2,2,1.000,1,1,2,2,0,0,2,0,12,8.8,
1,381,2,1999-11-04,30-274,DAL,SEA,-10,1,32:00,0,5,.000,0,0,,2,2,1.000,2,1,3,11,0,0,2,1,2,5.5,
2,382,3,1999-11-06,30-276,DAL,GSW,23,1,26:00,5,11,.455,0,0,,2,2,1.000,0,1,1,8,4,0,4,3,12,11.0,
3,383,4,1999-11-07,30-277,DAL,LAL,-8,1,20:00,4,7,.571,0,0,,0,0,,0,3,3,1,1,0,2,0,8,5.3,
4,384,5,1999-11-09,30-279,DAL,LAL,-22,1,18:00,3,8,.375,0,0,,1,2,.500,1,0,1,0,2,1,3,1,7,2.2,
5,385,6,1999-11-11,30-281,DAL,MIA,-23,1,24:00,5,11,.455,1,1,1.000,2,3,.667,0,1,1,5,1,0,3,2,13,7.9,
6,386,7,1999-11-13,30-283,DAL,ORL,8,1,36:00,7,16,.438,1,2,.500,6,9,.667,0,1,1,10,4,1,6,3,21,16.2,
7,387,8,1999-11-16,30-286,DAL,HOU,19,1,25:00,6,11,.545,0,0,,0,0,,0,2,2,10,1,0,2,1,12,12.9,
8,388,9,1999-11-17,30-287,DAL,CHH,-5,1,40:00,11,18,.611,0,1,.000,5,5,1.000,0,2,2,14,2,0,6,3,27,24.0,
9,389,10,1999-11-19,30-289,DAL,SAC,-9,1,39:00,9,14,.643,0,2,.000,2,2,1.000,0,0,0,6,0,0,5,3,20,11.8,
10,390,11,1999-11-20,30-290,DAL,SAS,-16,1,27:00,2,7,.286,0,0,,0,0,,0,1,1,4,3,0,2,0,4,4.0,
11,391,12,1999-12-07,30-307,DAL,VAN,-9,1,29:00,2,7,.286,0,0,,3,4,.750,0,2,2,12,0,0,4,4,7,5.9,
12,392,13,1999-12-08,30-308,DAL,UTA,-6,1,12:00,1,4,.250,0,1,.000,3,3,1.000,0,0,0,3,1,0,0,1,5,5.3,
13,393,14,1999-12-11,30-311,DAL,PHO,5,1,45:00,8,17,.471,0,0,,8,12,.667,2,2,4,11,1,0,7,5,24,15.4,
14,394,15,1999-12-14,30-314,DAL,SAS,-18,1,34:00,5,15,.333,0,1,.000,4,4,1.000,1,4,5,8,2,0,2,3,14,11.8,
15,395,16,1999-12-16,30-316,DAL,NYK,-7,1,29:00,4,8,.500,0,0,,3,4,.750,0,5,5,7,1,0,2,1,11,11.6,
16,396,17,2000-02-24,31-021,DAL,UTA,-7,1,6:00,2,4,.500,0,0,,1,2,.500,0,0,0,0,0,0,1,0,5,1.6,
17,397,18,2000-02-26,31-023,DAL,DEN,2,1,38:00,7,15,.467,0,0,,8,9,.889,0,1,1,12,2,1,3,3,22,21.1,
18,398,19,2000-02-28,31-025,DAL,BOS,8,1,20:00,1,5,.200,0,0,,1,2,.500,0,0,0,8,0,0,4,1,3,0.7,
19,399,20,2000-02-29,31-026,DAL,PHI,-19,1,22:00,3,7,.429,2,2,1.000,4,4,1.000,0,0,0,4,0,0,3,0,12,8.1,
20,400,21,2000-03-02,31-028,DAL,NJN,-1,1,24:00,3,9,.333,0,1,.000,3,3,1.000,0,2,2,9,3,0,4,1,9,9.4,
21,401,22,2000-03-04,31-030,DAL,PHO,-14,0,23:00,1,7,.143,0,0,,0,0,,0,1,1,9,0,0,1,2,2,2.3,
22,402,23,2000-03-06,31-032,DAL,SAC,-21,1,18:00,0,3,.000,0,0,,0,0,,0,2,2,3,0,0,3,2,0,-3.2,
23,403,24,2000-03-07,31-033,DAL,SEA,-15,0,4:00,0,2,.000,0,0,,0,0,,0,1,1,0,0,0,1,0,0,-2.1,
24,404,25,2000-03-09,31-035,DAL,MIN,-21,0,10:00,1,4,.250,0,0,,0,0,,0,0,0,2,0,0,1,0,2,0.0,
25,405,26,2000-03-11,31-037,DAL,PHO,5,0,21:00,0,2,.000,0,0,,1,2,.500,0,1,1,8,1,0,1,4,1,3.5,
26,406,27,2000-03-18,31-044,DAL,BOS,-5,0,7:00,1,2,.500,0,0,,0,0,,0,0,0,0,1,0,0,0,2,2.0,
27,407,28,2000-03-23,31-049,DAL,CLE,-6,0,5:00,0,2,.000,0,0,,0,0,,0,0,0,0,0,0,2,0,0,-3.4,
28,408,29,2000-03-27,31-053,DAL,UTA,8,0,8:00,0,1,.000,0,0,,2,2,1.000,0,1,1,1,1,0,0,0,2,3.3,
