,pgl_basic,game,date,age,team,opp,gameResult,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
0,503,1,1995-11-03,29-115,POR,VAN,-12,1,42:00,4,13,.308,1,3,.333,4,6,.667,1,3,4,10,2,1,3,3,13,11.8,
1,504,2,1995-11-05,29-117,POR,UTA,4,1,37:00,6,11,.545,0,0,,6,10,.600,0,1,1,6,1,2,4,0,18,14.0,
2,505,3,1995-11-07,29-119,POR,NJN,-20,1,27:00,2,6,.333,0,0,,3,4,.750,0,2,2,4,1,0,1,1,7,6.2,
3,506,4,1995-11-08,29-120,POR,DET,-7,1,45:00,10,19,.526,0,0,,5,6,.833,1,3,4,10,3,2,9,2,25,18.5,
4,507,5,1995-11-10,29-122,POR,MIN,6,1,43:00,8,17,.471,2,4,.500,6,9,.667,2,4,6,9,2,0,5,0,24,20.0,
5,508,6,1995-11-11,29-123,POR,CHI,-4,1,48:00,12,23,.522,1,2,.500,4,4,1.000,1,2,3,12,2,0,1,1,29,28.0,
6,509,7,1995-11-14,29-126,POR,NYK,6,1,43:00,9,17,.529,1,1,1.000,6,11,.545,3,5,8,12,1,0,3,2,25,23.9,
7,510,8,1995-11-16,29-128,POR,SAC,-3,1,41:00,11,17,.647,0,0,,1,2,.500,3,4,7,12,1,0,2,3,23,24.6,
8,511,9,1995-11-18,29-130,POR,PHO,-5,1,39:00,4,14,.286,0,2,.000,2,4,.500,0,6,6,9,0,0,5,3,10,2.9,
9,512,10,1995-11-20,29-132,POR,LAC,19,1,31:00,11,15,.733,1,1,1.000,4,5,.800,3,4,7,6,1,0,4,1,27,24.6,
10,513,11,1995-11-21,29-133,POR,LAL,1,1,44:00,9,14,.643,0,1,.000,10,13,.769,1,2,3,10,4,0,5,2,28,27.1,
11,514,12,1995-11-24,29-136,POR,NJN,12,1,29:00,4,10,.400,0,0,,2,5,.400,0,3,3,4,1,0,3,3,10,3.9,
12,515,13,1995-11-27,29-139,POR,CHI,-3,1,43:00,9,20,.450,2,2,1.000,2,3,.667,2,1,3,9,2,0,7,3,22,13.0,
13,516,14,1995-11-29,29-141,POR,GSW,14,1,38:00,9,12,.750,4,5,.800,2,5,.400,0,3,3,11,1,0,2,2,24,24.8,
14,517,15,1995-11-30,29-142,POR,MIL,-1,1,43:00,7,17,.412,0,2,.000,4,8,.500,3,5,8,10,3,0,1,2,18,19.1,
15,518,16,1995-12-03,29-145,POR,ORL,11,1,21:00,3,10,.300,0,0,,1,2,.500,2,3,5,4,0,0,4,4,7,0.3,
16,519,17,1995-12-07,29-149,POR,TOR,8,1,38:00,7,16,.438,0,0,,4,5,.800,0,1,1,9,0,1,0,1,18,16.1,
17,520,18,1995-12-09,29-151,POR,SEA,-9,1,45:00,5,14,.357,1,2,.500,2,4,.500,1,1,2,13,3,0,7,0,13,10.5,
18,521,19,1995-12-10,29-152,POR,HOU,2,1,47:00,13,25,.520,3,4,.750,3,5,.600,2,3,5,8,1,1,2,4,32,24.9,
19,522,20,1995-12-14,29-156,POR,CHH,7,1,35:00,6,13,.462,0,2,.000,9,14,.643,0,3,3,14,3,0,3,1,21,22.6,
20,523,21,1995-12-15,29-157,POR,VAN,-4,1,48:00,12,25,.480,4,7,.571,1,2,.500,2,5,7,13,2,0,5,6,29,22.5,
21,524,22,1995-12-17,29-159,POR,WSB,-12,1,37:00,6,15,.400,3,5,.600,3,4,.750,2,4,6,13,0,0,2,0,18,19.2,
22,525,23,1995-12-19,29-161,POR,SAS,-8,1,35:00,6,13,.462,0,4,.000,3,7,.429,0,7,7,14,0,1,4,3,15,14.1,
23,526,24,1995-12-21,29-163,POR,HOU,-5,1,39:00,11,20,.550,0,1,.000,8,12,.667,0,1,1,6,2,0,3,2,30,21.5,
24,527,25,1995-12-23,29-165,POR,LAL,-3,1,40:00,7,18,.389,0,1,.000,5,8,.625,1,4,5,10,1,0,5,2,19,12.1,
25,528,26,1995-12-26,29-168,POR,UTA,-10,1,40:00,8,14,.571,2,4,.500,9,11,.818,0,2,2,10,1,1,5,2,27,23.1,
26,529,27,1995-12-27,29-169,POR,BOS,26,1,26:00,5,12,.417,0,1,.000,5,6,.833,4,2,6,10,1,0,0,0,15,19.6,
27,530,28,1995-12-29,29-171,POR,CHH,-3,1,43:00,6,15,.400,0,2,.000,4,7,.571,0,3,3,16,2,0,2,3,16,17.6,
28,531,29,1995-12-30,29-172,POR,CLE,-3,1,50:00,8,18,.444,0,1,.000,6,14,.429,0,3,3,6,1,0,3,4,22,10.9,
29,532,30,1996-01-02,29-175,POR,NYK,9,0,34:00,9,16,.563,1,2,.500,3,8,.375,0,6,6,7,0,0,8,1,22,10.7,
30,533,31,1996-01-03,29-176,POR,BOS,4,1,48:00,11,23,.478,2,6,.333,3,4,.750,5,3,8,18,2,0,6,1,27,27.5,
31,534,32,1996-01-05,29-178,POR,MIL,-17,1,40:00,5,14,.357,0,0,,9,13,.692,0,3,3,8,2,0,3,4,19,13.5,
32,535,33,1996-01-07,29-180,POR,MIN,16,1,32:00,5,13,.385,1,3,.333,2,2,1.000,0,2,2,5,3,0,1,1,13,11.6,
33,536,34,1996-01-10,29-183,POR,MIA,1,0,34:00,4,17,.235,0,0,,8,13,.615,3,1,4,5,1,0,7,3,16,2.4,
34,537,35,1996-01-13,29-186,POR,DEN,1,1,37:00,9,14,.643,1,1,1.000,7,10,.700,0,2,2,16,3,0,6,4,26,25.8,
35,538,36,1996-01-16,29-189,POR,DEN,18,1,34:00,7,14,.500,0,0,,3,5,.600,3,2,5,8,1,0,4,4,17,12.9,
36,539,37,1996-01-23,29-196,POR,UTA,-24,1,39:00,6,14,.429,0,1,.000,6,8,.750,1,3,4,8,0,0,4,3,18,11.8,
37,540,38,1996-01-26,29-199,POR,SAS,-4,1,42:00,6,13,.462,0,1,.000,0,0,,1,7,8,13,0,1,5,1,12,12.5,
38,541,39,1996-01-27,29-200,POR,DAL,9,1,36:00,7,19,.368,1,2,.500,4,9,.444,1,5,6,13,1,0,6,0,19,12.8,
39,542,40,1996-01-29,29-202,POR,SEA,-4,1,34:00,1,8,.125,0,0,,1,2,.500,1,0,1,8,3,0,2,1,3,4.3,
40,543,41,1996-01-31,29-204,POR,UTA,-4,1,38:00,6,15,.400,0,3,.000,3,4,.750,0,0,0,5,0,0,4,4,15,4.4,
41,544,42,1996-02-02,29-206,POR,WSB,-16,1,34:00,7,15,.467,0,1,.000,6,6,1.000,1,2,3,8,3,0,3,1,20,18.8,
42,545,43,1996-02-03,29-207,POR,PHI,11,1,39:00,7,14,.500,0,0,,4,7,.571,0,3,3,11,3,0,3,2,18,17.6,
43,546,44,1996-02-05,29-209,POR,TOR,3,1,43:00,12,20,.600,0,2,.000,4,7,.571,1,3,4,6,3,0,5,2,28,20.6,
44,547,45,1996-02-07,29-211,POR,MIN,10,1,43:00,7,20,.350,0,0,,2,6,.333,1,2,3,16,1,0,3,2,16,12.9,
45,548,46,1996-02-13,29-217,POR,GSW,-1,1,40:00,5,11,.455,2,3,.667,7,8,.875,2,5,7,11,4,0,6,2,19,20.7,
46,549,47,1996-02-15,29-219,POR,PHO,-12,1,37:00,5,17,.294,0,1,.000,3,6,.500,3,0,3,7,2,0,3,6,13,5.5,
47,550,48,1996-02-17,29-221,POR,LAC,-4,1,35:00,8,14,.571,0,0,,9,11,.818,0,5,5,6,2,0,4,3,25,20.1,
48,551,49,1996-02-18,29-222,POR,ATL,-3,1,34:00,7,14,.500,1,2,.500,1,4,.250,1,2,3,9,0,0,2,0,16,13.4,
