,pgl_basic,game,date,age,team,opp,gameResult,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
0,1,1,1960-10-22,22-094,DET,BOS,-2,,6:00,1,5,.200,,,,1,3,.333,,,3,,,,,1,3,,
1,2,2,1960-11-02,22-105,DET,STL,-15,,,1,,,,,,2,,,,,,,,,,0,4,,
2,3,3,1960-11-09,22-112,DET,STL,-6,,,3,4,.750,,,,1,1,1.000,,,5,1,,,,2,7,,
3,4,4,1960-11-20,22-123,DET,LAL,-4,,,2,,,,,,0,0,,,,,,,,,2,4,,
4,5,5,1960-12-06,22-139,DET,STL,-36,,12:00,2,,,,,,3,4,.750,,,4,,,,,0,7,,
5,6,6,1960-12-07,22-140,DET,STL,30,,10:00,2,9,.222,,,,2,3,.667,,,3,,,,,1,6,,
6,7,7,1960-12-29,22-162,LAL,NYK,16,,,1,,,,,,0,0,,,,,,,,,1,2,,
7,8,8,1961-01-03,22-167,LAL,BOS,-6,,,0,,,,,,1,1,1.000,,,,,,,,0,1,,
8,9,9,1961-01-10,22-174,LAL,NYK,13,,,0,0,,,,,1,2,.500,,,0,,,,,1,1,,
9,10,10,1961-01-11,22-175,LAL,NYK,-5,,,0,0,,,,,0,0,,,,0,,,,,0,0,,
10,11,11,1961-01-31,22-195,LAL,DET,-9,,,0,,,,,,0,0,,,,,,,,,2,0,,
11,12,12,1961-02-02,22-197,LAL,STL,1,,14:00,1,5,.200,,,,0,0,,,,3,0,,,,0,2,,
12,13,13,1961-02-07,22-202,LAL,BOS,-1,,,0,,,,,,0,0,,,,,,,,,0,0,,
13,14,14,1961-02-27,22-222,LAL,PHW,-25,,,0,5,.000,,,,0,0,,,,0,0,,,,0,0,,
