,pgl_basic,game,date,age,team,opp,gameResult,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
0,123,1,1974-10-18,23-341,HOU,MIL,5,,24:00,6,10,.600,,,,0,0,,,,6,1,0,0,,4,12,,
1,124,2,1974-10-19,23-342,HOU,ATL,-6,,,5,,,,,,1,1,1.000,,,,,,,,6,11,,
2,125,3,1974-10-22,23-345,HOU,NYK,-10,,18:00,1,1,1.000,,,,0,0,,,,3,1,,,,3,2,,
3,126,4,1974-10-23,23-346,HOU,WSB,-4,,29:00,4,7,.571,,,,3,3,1.000,,,6,2,,,,4,11,,
4,127,5,1974-10-25,23-348,HOU,PHI,24,,,7,,,,,,2,2,1.000,,,,,,,,,16,,
5,128,6,1974-10-30,23-353,HOU,NOJ,13,,,7,,,,,,0,0,,,,,,,,,,14,,
6,129,7,1974-10-31,23-354,HOU,WSB,3,,33:00,6,12,.500,,,,1,1,1.000,,,11,2,,,,4,13,,
7,130,8,1974-11-02,23-356,HOU,KCO,23,,,3,,,,,,0,0,,,,,,,,,6,6,,
8,131,9,1974-11-05,23-359,HOU,NYK,-13,,,5,,,,,,2,4,.500,,,,,,,,,12,,
9,132,10,1974-11-07,23-361,HOU,MIL,10,,19:00,1,6,.167,,,,0,0,,,,3,1,,,,1,2,,
10,133,11,1974-11-09,23-363,HOU,PHO,-5,,,2,,,,,,0,0,,,,,,,,,,4,,
11,134,12,1974-11-12,24-001,HOU,KCO,4,,,4,,,,,,2,2,1.000,,,,,,,,,10,,
12,135,13,1974-11-14,24-003,HOU,CHI,9,,32:00,5,8,.625,,,,2,2,1.000,,,7,4,,,,2,12,,
13,136,14,1974-11-16,24-005,HOU,DET,20,,,8,,,,,,0,0,,,,,,,,,,16,,
14,137,15,1974-11-19,24-008,HOU,CLE,9,,,2,,,,,,0,4,.000,,,,,,,,,4,,
15,138,16,1974-11-22,24-011,HOU,LAL,-6,,37:00,0,6,.000,,,,1,2,.500,,,13,5,,,,5,1,,
16,139,17,1974-11-24,24-013,HOU,SEA,15,,,4,,,,,,2,4,.500,,,,,,,,,10,,
17,140,18,1974-11-26,24-015,HOU,GSW,-20,,24:00,5,9,.556,,,,0,0,,,,3,1,,,,3,10,,
18,141,19,1974-11-27,24-016,HOU,POR,-14,1,19:00,2,8,.250,,,,0,0,,3,1,4,0,0,0,,5,4,,
19,142,20,1974-11-29,24-018,HOU,ATL,-5,,,0,,,,,,0,0,,,,,,,,,,0,,
20,143,21,1974-11-30,24-019,HOU,PHO,-12,,,6,,,,,,1,1,1.000,,,,,,,,,13,,
21,144,22,1974-12-03,24-022,HOU,CLE,-6,,,4,,,,,,1,2,.500,,,,,,,,,9,,
22,145,23,1974-12-04,24-023,HOU,DET,-17,,,4,,,,,,0,0,,,,,,,,,,8,,
23,146,24,1974-12-06,24-025,HOU,BOS,-6,,42:00,6,11,.545,,,,1,2,.500,,,6,3,,,,,13,,
24,147,25,1974-12-10,24-029,HOU,GSW,14,,15:00,4,10,.400,,,,0,0,,,,5,0,,,,0,8,,
25,148,26,1974-12-11,24-030,HOU,PHI,-7,,,2,3,.667,,,,0,0,,,,1,0,,,,3,4,,
26,149,27,1974-12-12,24-031,HOU,BUF,-11,,,1,,,,,,0,0,,,,,,,,,,2,,
27,150,28,1974-12-14,24-033,HOU,KCO,39,,,0,,,,,,2,2,1.000,,,,,,,,,2,,
28,151,29,1974-12-17,24-036,HOU,NOJ,26,,,2,,,,,,0,0,,,,,,,,,,4,,
29,152,30,1974-12-20,24-039,HOU,WSB,25,,10:00,0,1,.000,,,,0,0,,,,2,0,,,,2,0,,
30,153,31,1974-12-26,24-045,HOU,ATL,28,,,0,,,,,,0,0,,,,,,,,,,0,,
31,154,32,1974-12-28,24-047,HOU,BUF,8,,,3,,,,,,3,3,1.000,,,,,,,,,9,,
32,155,33,1974-12-30,24-049,HOU,LAL,13,,,0,,,,,,0,0,,,,,,,,,,0,,
33,156,34,1975-01-04,24-054,HOU,MIL,-4,,,1,,,,,,0,0,,,,,,,,,,2,,
34,157,35,1975-01-05,24-055,HOU,KCO,9,,,1,,,,,,8,9,.889,,,9,4,0,0,,,10,,
35,158,36,1975-01-07,24-057,HOU,CHI,-9,,19:00,4,7,.571,,,,0,0,,,,6,1,,,,4,8,,
36,159,37,1975-01-09,24-059,HOU,WSB,-8,,,0,,,,,,1,2,.500,,,,,,,,,1,,
37,160,38,1975-01-10,24-060,HOU,NOJ,-3,,,0,,,,,,2,2,1.000,,,,,,,,,2,,
38,161,39,1975-01-21,24-071,HOU,BOS,-11,,22:00,5,11,.455,,,,1,2,.500,,,6,3,,,,,11,,
39,162,40,1975-01-23,24-073,HOU,ATL,1,,,1,,,,,,3,4,.750,,,,,,,,,5,,
40,163,41,1975-01-24,24-074,HOU,MIL,4,,12:00,2,2,1.000,,,,0,0,,,,3,1,0,0,,1,4,,
41,164,42,1975-01-26,24-076,HOU,WSB,-28,,20:00,2,6,.333,,,,0,0,,,,4,1,,,,3,4,,
42,165,43,1975-01-28,24-078,HOU,LAL,15,,38:00,6,15,.400,,,,0,0,,,,10,3,,,,0,12,,
43,166,44,1975-01-30,24-080,HOU,DET,15,,,0,,,,,,0,0,,,,,,,,,,0,,
44,167,45,1975-02-01,24-082,HOU,NYK,2,,30:00,2,7,.286,,,,0,0,,,,7,1,,,,3,4,,
45,168,46,1975-02-02,24-083,HOU,PHI,-13,,,5,,,,,,2,2,1.000,,,,,,,,,12,,
