,pgl_basic,game,date,age,team,opp,gameResult,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
0,1,1,1979-10-12,22-084,DET,IND,9,,,0,,,0,,,0,0,,,,,,,,,,0,,
1,2,2,1979-10-13,22-085,DET,SAS,2,,,0,,,0,,,1,5,.200,,,,,,,,,1,,
2,3,3,1979-10-16,22-088,DET,CLE,-20,,,4,,,0,,,0,2,.000,,,,,,,,,8,,
3,4,4,1979-10-18,22-090,DET,NYK,14,,,3,,,0,,,3,5,.600,,,,,,,,,9,,
4,5,5,1979-10-19,22-091,DET,PHI,-8,,,0,,,0,,,0,0,,,,,,,,,,0,,
5,6,6,1979-10-20,22-092,DET,WSB,-11,,,0,,,0,,,0,0,,,,,,,,,,0,,
6,7,7,1979-10-24,22-096,DET,WSB,1,,,0,,,0,,,0,0,,,,,,,,,,0,,
7,8,8,1979-10-26,22-098,DET,SAS,-16,,,3,,,0,,,0,0,,,,,,,,,,6,,
8,9,9,1979-10-27,22-099,DET,MIL,-14,,,2,,,0,,,3,4,.750,,,,,,,,,7,,
9,10,10,1979-11-01,22-104,DET,CLE,-2,,,5,,,0,,,7,8,.875,,,,,,,,,17,,
10,11,11,1979-11-03,22-106,DET,HOU,-3,,,0,,,0,,,0,0,,,,,,,,,,0,,
11,12,12,1979-11-07,22-110,DET,ATL,-8,,,2,,,0,,,2,3,.667,,,,,,,,,6,,
12,13,13,1979-11-09,22-112,DET,PHI,8,,,4,,,0,,,2,3,.667,,,,,,,,,10,,
13,14,14,1979-11-10,22-113,DET,HOU,-8,,,1,,,0,,,6,9,.667,,,,,,,,,8,,
14,15,15,1979-11-14,22-117,DET,BOS,-4,,,4,,,0,,,1,2,.500,,,,,,,,,9,,
15,16,16,1979-11-17,22-120,DET,NJN,-5,,,1,,,0,,,1,2,.500,,,,,,,,,3,,
16,17,17,1979-11-20,22-123,DET,ATL,-4,,,1,,,0,,,6,6,1.000,,,,,,,,,8,,
17,18,18,1979-11-21,22-124,DET,UTA,5,,,1,,,0,,,1,2,.500,,,,,,,,,3,,
18,19,19,1979-11-23,22-126,DET,MIL,19,,,0,,,0,,,0,0,,,,,,,,,,0,,
19,20,20,1979-11-24,22-127,DET,IND,-18,,,0,,,0,,,0,0,,,,,,,,,,0,,
20,21,21,1979-11-27,22-130,DET,NYK,-2,,,0,,,0,,,0,0,,,,,,,,,,0,,
21,22,22,1979-11-29,22-132,DET,KCK,-10,,,0,,,0,,,0,0,,,,,,,,,,0,,
22,23,23,1979-12-01,22-134,DET,SAS,10,,,2,,,0,,,1,2,.500,,,,,,,,,5,,
23,24,24,1979-12-04,22-137,DET,BOS,-4,,,4,,,0,,,2,6,.333,,,,,,,,,10,,
24,25,25,1979-12-05,22-138,DET,KCK,-16,,,2,,,0,,,3,6,.500,,,,,,,,,7,,
25,26,26,1979-12-07,22-140,DET,HOU,-15,,,4,,,0,,,4,5,.800,,,,,,,,,12,,
26,27,27,1979-12-08,22-141,DET,IND,-1,,,1,,,0,,,2,2,1.000,,,,,,,,,4,,
27,28,28,1979-12-12,22-145,DET,GSW,18,,,0,,,0,,,0,0,,,,,,,,,,0,,
28,29,29,1979-12-14,22-147,DET,LAL,-16,,,0,,,0,,,4,4,1.000,,,,,,,,,4,,
29,30,30,1979-12-15,22-148,DET,PHO,-21,,,0,,,0,,,0,0,,,,,,,,,,0,,
30,31,31,1979-12-16,22-149,DET,SDC,-7,,,1,,,0,,,0,0,,,,,,,,,,2,,
31,32,32,1979-12-18,22-151,DET,PHI,-12,,,1,,,0,,,0,0,,,,,,,,,,2,,
32,33,33,1979-12-20,22-153,DET,ATL,-19,,,4,,,0,,,2,4,.500,,,,,,,,,10,,
33,34,34,1979-12-22,22-155,DET,SAS,-29,,,1,,,0,,,0,0,,,,,,,,,,2,,
34,35,35,1979-12-25,22-158,DET,CLE,-10,,,0,,,0,,,0,0,,,,,,,,,,0,,
35,36,36,1979-12-26,22-159,DET,IND,-1,,,4,,,0,,,1,2,.500,,,,,,,,,9,,
36,37,37,1979-12-28,22-161,DET,DEN,16,,,1,,,0,,,2,2,1.000,,,,,,,,,4,,
37,38,38,1979-12-29,22-162,DET,ATL,-11,,,4,,,0,,,3,5,.600,,,,,,,,,11,,
38,39,39,1980-01-02,22-166,DET,DEN,-19,,,1,,,0,,,3,5,.600,,,,,,,,,5,,
39,40,40,1980-01-04,22-168,DET,SEA,-18,,,1,,,0,,,0,0,,,,,,,,,,2,,
40,41,41,1980-01-06,22-170,DET,POR,-17,,,5,,,0,,,0,0,,,,,,,,,,10,,
41,42,42,1980-01-08,22-172,DET,UTA,-14,,,2,,,0,,,0,0,,,,,,,,,,4,,
42,43,43,1980-01-12,22-176,DET,IND,-13,,,3,,,0,,,3,4,.750,,,,,,,,,9,,
43,44,44,1980-01-13,22-177,DET,CHI,5,,,0,,,0,,,0,0,,,,,,,,,,0,,
44,45,45,1980-01-19,22-183,DET,HOU,12,,,0,,,0,,,0,0,,,,,,,,,,0,,
45,46,46,1980-01-22,22-186,DET,CHI,-14,,,2,,,0,,,4,4,1.000,,,,,,,,,8,,
46,47,47,1980-01-23,22-187,DET,BOS,-27,,,0,,,0,,,0,0,,,,,,,,,,0,,
47,48,48,1980-01-25,22-189,DET,NJN,3,,,0,,,0,,,0,0,,,,,,,,,,0,,
48,49,49,1980-01-27,22-191,DET,NYK,-5,,,0,,,0,,,0,0,,,,,,,,,,0,,
49,50,50,1980-01-29,22-193,DET,GSW,-11,,,1,,,0,,,7,8,.875,,,,,,,,,9,,
