,pgl_basic,game,date,age,team,opp,gameResult,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
0,341,1,1992-11-06,31-234,NJN,PHI,3,1,26:00,4,8,.500,0,0,,0,0,,2,8,10,1,0,2,3,4,8,5.3,
1,342,2,1992-11-07,31-235,NJN,MIA,-12,1,15:00,3,6,.500,0,0,,2,2,1.000,2,4,6,0,0,8,1,5,8,10.2,
2,343,3,1992-11-10,31-238,NJN,NYK,-3,1,20:00,3,6,.500,0,0,,3,3,1.000,1,3,4,0,3,2,2,5,9,8.0,
3,344,4,1992-11-12,31-240,NJN,MIN,-4,1,32:00,7,13,.538,0,0,,0,0,,4,8,12,1,0,4,1,2,14,14.6,
4,345,5,1992-11-14,31-242,NJN,ORL,11,1,23:00,3,6,.500,0,0,,4,6,.667,1,1,2,0,1,0,0,6,10,5.8,
5,346,6,1992-11-15,31-243,NJN,WSB,7,1,16:00,2,7,.286,0,0,,3,3,1.000,1,5,6,0,0,0,1,1,7,3.7,
6,347,7,1992-11-17,31-245,NJN,UTA,-11,1,20:00,0,0,,0,0,,2,4,.500,2,4,6,0,0,1,4,3,2,-0.7,
7,348,8,1992-11-19,31-247,NJN,ATL,7,1,31:00,9,12,.750,0,0,,4,5,.800,2,5,7,4,0,0,3,3,22,18.3,
8,349,9,1992-11-21,31-249,NJN,PHI,-9,1,22:00,2,9,.222,0,0,,2,4,.500,5,3,8,1,0,1,2,0,6,3.5,
9,350,10,1992-11-22,31-250,NJN,GSW,-13,1,22:00,6,14,.429,0,0,,0,0,,6,3,9,1,0,5,1,3,12,11.7,
10,351,11,1992-11-24,31-252,NJN,SEA,-6,1,33:00,5,8,.625,0,0,,2,2,1.000,2,12,14,1,0,1,2,2,12,12.0,
11,352,12,1992-11-25,31-253,NJN,LAL,2,1,39:00,4,10,.400,0,0,,8,10,.800,0,6,6,3,1,0,3,3,16,10.5,
12,353,13,1992-11-27,31-255,NJN,UTA,2,1,36:00,11,21,.524,0,0,,5,6,.833,8,10,18,2,2,1,2,2,27,26.2,
13,354,14,1992-11-28,31-256,NJN,SAC,5,1,32:00,1,5,.200,0,0,,2,2,1.000,0,8,8,2,0,3,4,2,4,2.0,
14,355,15,1992-12-02,31-260,NJN,ATL,7,1,25:00,5,13,.385,0,0,,1,2,.500,7,4,11,2,0,2,3,2,11,8.6,
15,356,16,1992-12-04,31-262,NJN,SAS,5,1,42:00,2,17,.118,0,0,,0,0,,4,14,18,0,2,0,1,5,4,-1.1,
16,357,17,1992-12-05,31-263,NJN,MIA,7,1,33:00,6,11,.545,0,0,,4,4,1.000,0,5,5,1,1,4,3,4,16,12.1,
17,358,18,1992-12-08,31-266,NJN,PHO,-5,1,24:00,3,8,.375,0,0,,5,6,.833,1,2,3,2,0,1,1,4,11,7.0,
18,359,19,1992-12-10,31-268,NJN,LAC,6,1,25:00,4,11,.364,0,0,,6,9,.667,3,4,7,4,0,3,2,2,14,12.1,
19,360,20,1992-12-12,31-270,NJN,CHI,-6,1,39:00,5,15,.333,0,0,,3,4,.750,8,9,17,0,0,0,1,3,13,10.2,
20,361,21,1992-12-15,31-273,NJN,NYK,-14,1,23:00,1,2,.500,0,0,,2,2,1.000,0,3,3,2,0,0,3,5,4,0.3,
21,362,22,1992-12-17,31-275,NJN,MIL,1,1,34:00,7,19,.368,0,0,,2,2,1.000,4,6,10,1,1,2,1,1,16,11.8,
22,363,23,1992-12-19,31-277,NJN,IND,-14,1,21:00,2,4,.500,0,0,,0,0,,2,2,4,3,0,4,1,3,4,6.7,
23,364,24,1992-12-20,31-278,NJN,SAC,6,1,17:00,1,5,.200,0,1,.000,2,2,1.000,0,2,2,0,1,0,1,1,4,1.1,
24,365,25,1992-12-22,31-280,NJN,BOS,-2,1,20:00,3,8,.375,0,0,,0,0,,1,1,2,0,0,1,0,0,6,3.3,
25,366,26,1992-12-26,31-284,NJN,CLE,5,1,33:00,3,5,.600,0,0,,0,0,,0,4,4,3,0,0,2,4,6,3.4,
26,367,27,1992-12-28,31-286,NJN,CHH,1,1,20:00,5,14,.357,0,0,,0,0,,5,4,9,0,0,1,1,3,10,5.4,
27,368,28,1992-12-30,31-288,NJN,MIN,26,1,22:00,5,8,.625,0,0,,1,2,.500,2,4,6,4,0,3,3,3,11,10.3,
28,369,29,1993-01-02,31-291,NJN,CHH,-1,1,21:00,2,8,.250,0,0,,1,2,.500,1,3,4,1,0,0,1,3,5,-0.1,
29,370,30,1993-01-05,31-294,NJN,ORL,3,1,28:00,2,8,.250,0,0,,1,2,.500,0,3,3,0,1,1,0,3,5,1.2,
30,371,31,1993-01-06,31-295,NJN,PHI,-26,1,18:00,2,7,.286,0,0,,7,7,1.000,0,3,3,0,0,3,0,1,11,9.5,
31,372,32,1993-01-08,31-297,NJN,BOS,-14,1,30:00,5,8,.625,1,1,1.000,2,2,1.000,2,5,7,1,1,2,0,0,13,15.4,
32,373,33,1993-01-09,31-298,NJN,WSB,45,1,12:00,2,2,1.000,0,0,,0,0,,0,3,3,4,0,1,0,0,4,7.8,
33,374,34,1993-01-13,31-302,NJN,CLE,6,1,29:00,1,5,.200,0,0,,0,0,,1,3,4,0,1,0,1,6,2,-1.9,
34,375,35,1993-01-15,31-304,NJN,PHI,5,1,33:00,5,13,.385,0,0,,3,4,.750,7,11,18,1,0,2,4,4,13,10.2,
35,376,36,1993-01-16,31-305,NJN,WSB,8,1,34:00,6,7,.857,0,0,,0,0,,1,3,4,1,1,2,3,5,12,9.2,
36,377,37,1993-01-18,31-307,NJN,IND,3,1,33:00,5,7,.714,0,0,,2,2,1.000,3,5,8,3,0,4,0,4,12,16.0,
37,378,38,1993-01-21,31-310,NJN,CHI,-13,1,25:00,1,6,.167,0,0,,5,6,.833,3,4,7,1,1,0,0,2,7,7.0,
38,379,39,1993-01-22,31-311,NJN,ATL,-11,1,29:00,3,10,.300,0,0,,0,0,,0,4,4,1,0,1,3,2,6,-1.0,
39,380,40,1993-01-24,31-313,NJN,HOU,17,1,18:00,1,2,.500,0,0,,0,0,,0,7,7,1,0,0,1,2,2,2.0,
40,381,41,1993-01-26,31-315,NJN,LAL,15,1,28:00,4,7,.571,0,0,,3,4,.750,2,7,9,2,0,1,3,5,11,7.9,
41,382,42,1993-01-28,31-317,NJN,DEN,-10,1,30:00,5,10,.500,0,0,,6,8,.750,4,3,7,1,0,1,0,3,16,14.1,
42,383,43,1993-01-30,31-319,NJN,HOU,-3,1,21:00,1,4,.250,0,0,,0,0,,0,4,4,1,0,1,1,2,2,0.4,
43,384,44,1993-02-01,31-321,NJN,DAL,19,1,27:00,2,3,.667,0,0,,0,0,,1,8,9,2,2,2,1,3,4,8.4,
44,385,45,1993-02-02,31-322,NJN,SAS,-18,1,23:00,3,7,.429,0,0,,0,0,,1,2,3,0,0,0,0,4,6,2.0,
45,386,46,1993-02-04,31-324,NJN,SEA,10,1,38:00,5,11,.455,0,0,,2,2,1.000,3,7,10,3,2,0,3,3,12,10.4,
46,387,47,1993-02-07,31-327,NJN,MIL,3,1,36:00,6,9,.667,0,0,,1,1,1.000,4,6,10,2,0,2,2,3,13,13.3,
47,388,48,1993-02-10,31-330,NJN,DET,23,1,24:00,6,8,.750,0,0,,0,0,,2,9,11,1,0,2,1,4,12,12.4,
48,389,49,1993-02-12,31-332,NJN,DET,-9,1,31:00,1,3,.333,0,0,,0,0,,0,6,6,1,0,1,1,3,2,1.3,
49,390,50,1993-02-14,31-334,NJN,MIA,6,1,26:00,6,8,.750,0,0,,4,4,1.000,2,2,4,2,0,1,1,4,16,14.3,
50,391,51,1993-02-16,31-336,NJN,MIL,12,1,28:00,5,12,.417,0,0,,0,0,,2,12,14,4,2,6,1,2,10,15.8,
51,392,52,1993-02-23,31-343,NJN,CHH,-9,1,20:00,2,5,.400,0,0,,1,2,.500,1,5,6,1,0,2,3,3,5,2.0,
52,393,53,1993-02-24,31-344,NJN,BOS,-15,1,16:00,2,5,.400,0,0,,0,0,,2,1,3,0,1,3,0,4,4,4.5,
53,394,54,1993-02-26,31-346,NJN,POR,-11,1,25:00,5,9,.556,0,0,,1,1,1.000,2,6,8,0,1,3,1,2,11,11.2,
54,395,55,1993-02-28,31-348,NJN,NYK,26,1,12:00,2,3,.667,0,0,,0,0,,1,1,2,3,0,0,0,4,4,4.2,
55,396,56,1993-03-06,31-354,NJN,DEN,27,0,11:00,2,4,.500,0,0,,2,2,1.000,1,5,6,1,0,3,0,0,6,9.0,
