,pgl_basic,game,date,age,team,opp,gameResult,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
0,44,1,1980-10-11,29-009,ATL,CHI,8,,,3,,,0,,,4,6,.667,,,,,,,,,10,,
1,45,2,1980-10-14,29-012,ATL,BOS,6,,,2,,,0,,,0,0,,,,,,,,,,4,,
2,46,3,1980-10-17,29-015,ATL,NYK,12,,,3,,,0,,,3,4,.750,,,,,,,,,9,,
3,47,4,1980-10-18,29-016,ATL,DET,2,,,2,,,0,,,4,4,1.000,,,,,,,,6,8,,
4,48,5,1980-10-21,29-019,ATL,IND,-5,,,5,,,0,,,2,2,1.000,,,,,,,,,12,,
5,49,6,1980-10-24,29-022,ATL,IND,-7,,,5,,,0,,,0,0,,,,,,,,,6,10,,
6,50,7,1980-10-25,29-023,ATL,PHI,-13,,,2,,,0,,,1,1,1.000,,,,,,,,,5,,
7,51,8,1980-10-28,29-026,ATL,KCK,10,,,2,,,0,,,0,0,,,,,,,,,,4,,
8,52,9,1980-10-30,29-028,ATL,NYK,-1,,,6,,,0,,,2,3,.667,,,,,,,,,14,,
9,53,10,1980-10-31,29-029,ATL,PHI,-11,,,3,,,0,,,0,0,,,,,,,,,,6,,
10,54,11,1980-11-01,29-030,ATL,MIL,-6,,,1,,,0,,,2,2,1.000,,,,,,,,,4,,
11,55,12,1980-11-04,29-033,ATL,WSB,-24,,,6,,,0,,,0,0,,,,,,,,,,12,,
12,56,13,1980-11-05,29-034,ATL,BOS,-17,,,2,,,0,,,4,4,1.000,,,,,,,,,8,,
13,57,14,1980-11-07,29-036,ATL,CHI,-3,,,0,,,0,,,2,2,1.000,,,,,,,,6,2,,
14,58,15,1980-11-08,29-037,ATL,NJN,-4,,,0,,,0,,,0,0,,,,,,,,,,0,,
15,59,16,1980-11-11,29-040,ATL,LAL,-29,,,1,,,0,,,0,0,,,,,,,,,,2,,
16,60,17,1980-11-13,29-042,ATL,CLE,-3,,,4,,,0,,,0,0,,,,,,,,,,8,,
17,61,18,1980-11-15,29-044,ATL,WSB,-12,,,1,,,0,,,2,5,.400,,,,,,,,,4,,
18,62,19,1980-11-18,29-047,ATL,SAS,4,,,1,,,0,,,0,0,,,,,,,,,,2,,
19,63,20,1980-11-22,29-051,ATL,UTA,6,,,1,,,0,,,1,2,.500,,,,,,,,,3,,
20,64,21,1980-11-25,29-054,ATL,POR,4,,,0,,,0,,,0,0,,,,,,,,,,0,,
21,65,22,1980-11-26,29-055,ATL,IND,-21,,,2,,,0,,,2,4,.500,,,,,,,,,6,,
22,66,23,1980-11-28,29-057,ATL,MIL,-5,,,0,,,0,,,0,0,,,,,,,,,,0,,
23,67,24,1980-11-29,29-058,ATL,DET,-3,,,1,,,0,,,1,2,.500,,,,,,,,,3,,
24,68,25,1980-12-02,29-061,ATL,PHI,4,,,0,,,0,,,0,0,,,,,,,,,,0,,
25,69,26,1980-12-03,29-062,ATL,BOS,-5,,,3,,,0,,,0,0,,,,,,,,,,6,,
26,70,27,1980-12-05,29-064,ATL,PHI,-4,,,0,,,0,,,0,0,,,,,,,,,,0,,
27,71,28,1980-12-06,29-065,ATL,DAL,6,,,0,,,0,,,1,2,.500,,,,,,,,,1,,
28,72,29,1980-12-09,29-068,ATL,SDC,27,,,2,,,0,,,1,2,.500,,,,,,,,,5,,
29,73,30,1980-12-10,29-069,ATL,DET,8,,,1,,,0,,,0,0,,,,,,,,,,2,,
30,74,31,1980-12-13,29-072,ATL,MIL,3,,,0,,,0,,,0,0,,,,,,,,,,0,,
31,75,32,1980-12-16,29-075,ATL,NJN,17,,,2,,,0,,,0,0,,,,,,,,,,4,,
32,76,33,1980-12-18,29-077,ATL,UTA,12,,,3,,,0,,,0,0,,,,,,,,,,6,,
33,77,34,1980-12-19,29-078,ATL,SEA,-3,,,0,,,0,,,0,0,,,,,,,,,,0,,
34,78,35,1980-12-23,29-082,ATL,WSB,17,,,0,,,0,,,0,0,,,,,,,,,,0,,
35,79,36,1980-12-26,29-085,ATL,NJN,13,,,5,,,0,,,2,2,1.000,,,,,,,,,12,,
36,80,37,1980-12-27,29-086,ATL,BOS,-5,,,1,,,0,,,4,5,.800,,,,,,,,,6,,
37,81,38,1980-12-30,29-089,ATL,DET,7,,,3,,,0,,,0,0,,,,,,,,,,6,,
38,82,39,1981-01-02,29-092,ATL,IND,-3,,,0,,,0,,,0,0,,,,,,,,,,0,,
39,83,40,1981-01-03,29-093,ATL,NYK,-36,,,6,,,0,,,5,6,.833,,,,,,,,,17,,
40,84,41,1981-01-08,29-098,ATL,MIL,-3,,,1,,,0,,,0,0,,,,,,,,,,2,,
41,85,42,1981-01-09,29-099,ATL,CLE,-1,,,2,,,0,,,0,0,,,,,,,,,,4,,
42,86,43,1981-01-13,29-103,ATL,DEN,-3,,,2,,,0,,,0,0,,,,,,,,,,4,,
43,87,44,1981-01-14,29-104,ATL,SDC,-21,,,7,,,0,,,0,0,,,,,,,,,,14,,
44,88,45,1981-01-16,29-106,ATL,GSW,1,,,3,,,0,,,0,0,,,,,,,,,,6,,
45,89,46,1981-01-18,29-108,ATL,PHO,-34,,,0,,,0,,,2,3,.667,,,,,,,,,2,,
46,90,47,1981-01-21,29-111,ATL,LAL,-10,,,7,,,0,,,0,0,,,,,,,,,,14,,
47,91,48,1981-01-23,29-113,ATL,CLE,-8,,,2,,,0,,,0,0,,,,,,,,,,4,,
48,92,49,1981-01-24,29-114,ATL,CHI,-2,,,3,,,0,,,4,4,1.000,,,,,,,,6,10,,
49,93,50,1981-01-27,29-117,ATL,WSB,-1,,,3,,,0,,,0,0,,,,,,,,,,6,,
