,pgl_basic,game,date,age,team,opp,gameResult,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
0,210,1,1984-10-30,25-237,PHI,NJN,22,0,5:00,0,3,.000,0,0,,0,0,,0,2,2,0,0,2,1,1,0,-1.5,
1,211,2,1984-11-07,25-245,PHI,IND,21,0,15:00,2,8,.250,0,0,,1,2,.500,2,2,4,2,3,1,3,4,5,2.3,
2,212,3,1984-11-16,25-254,PHI,DET,11,0,3:00,0,0,,0,0,,0,0,,0,1,1,0,1,0,3,1,0,-2.1,
3,213,4,1984-11-20,25-258,PHI,WSB,-15,0,2:00,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,
4,214,5,1984-11-21,25-259,PHI,IND,5,1,15:00,1,4,.250,0,0,,0,0,,1,1,2,0,0,1,2,4,2,-2.3,
5,215,6,1984-11-23,25-261,PHI,PHO,2,1,9:00,0,4,.000,0,0,,2,2,1.000,2,2,4,0,0,1,0,1,2,1.5,
6,216,7,1984-11-24,25-262,PHI,DEN,-4,1,20:00,3,4,.750,0,0,,1,2,.500,1,3,4,2,2,0,1,3,7,7.8,
7,217,8,1984-11-27,25-265,PHI,WSB,4,1,17:00,1,3,.333,0,0,,0,0,,1,5,6,0,1,0,1,3,2,1.3,
8,218,9,1984-11-28,25-266,PHI,IND,21,1,15:00,0,5,.000,0,0,,0,0,,2,4,6,1,1,2,0,1,0,1.8,
9,219,10,1984-11-30,25-268,PHI,POR,10,0,9:00,0,1,.000,0,0,,0,0,,0,0,0,0,0,1,0,2,0,-0.8,
10,220,11,1984-12-02,25-270,PHI,NJN,2,0,9:00,0,3,.000,0,0,,0,0,,1,1,2,0,0,1,0,1,0,-0.8,
11,221,12,1984-12-05,25-273,PHI,MIL,1,0,8:00,2,4,.500,0,0,,3,5,.600,1,1,2,0,0,0,2,1,7,2.8,
12,222,13,1984-12-07,25-275,PHI,LAL,6,0,8:00,0,1,.000,0,0,,2,2,1.000,1,1,2,0,0,3,0,0,2,4.4,
13,223,14,1984-12-09,25-277,PHI,NYK,16,0,14:00,2,5,.400,0,0,,4,4,1.000,2,4,6,0,0,0,0,3,8,6.7,
14,224,15,1984-12-11,25-279,PHI,NYK,-4,0,11:00,1,3,.333,0,0,,0,0,,1,1,2,1,2,0,3,4,2,-0.6,
15,225,16,1984-12-14,25-282,PHI,MIL,4,0,15:00,0,3,.000,0,1,.000,0,0,,3,1,4,0,0,1,2,0,0,-1.0,
16,226,17,1984-12-15,25-283,PHI,CHI,12,0,6:00,1,3,.333,0,0,,0,1,.000,1,0,1,0,0,0,0,1,2,0.2,
17,227,18,1984-12-19,25-287,PHI,SAS,5,0,3:00,0,1,.000,0,0,,0,0,,1,0,1,0,0,0,2,3,0,-3.2,
18,228,19,1984-12-21,25-289,PHI,MIL,-3,0,7:00,0,3,.000,0,0,,0,0,,2,1,3,0,0,0,0,2,0,-1.2,
19,229,20,1984-12-22,25-290,PHI,NJN,14,0,6:00,0,2,.000,0,0,,0,0,,0,0,0,0,2,1,0,0,0,1.3,
20,230,21,1984-12-29,25-297,PHI,GSW,14,0,4:00,2,2,1.000,0,0,,0,2,.000,2,0,2,1,0,0,1,1,4,3.3,
21,231,22,1985-01-16,25-315,PHI,ATL,23,0,8:00,1,1,1.000,0,0,,1,2,.500,0,1,1,0,1,0,2,3,3,0.4,
22,232,23,1985-01-30,25-329,PHI,BOS,18,0,2:00,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,0,0,0.3,
23,233,24,1985-02-04,25-334,PHI,ATL,14,0,3:00,1,1,1.000,0,0,,0,0,,0,0,0,0,0,0,0,0,2,1.7,
24,234,25,1985-02-13,25-343,PHI,NYK,2,0,12:00,3,6,.500,0,0,,0,0,,0,1,1,0,2,0,0,4,6,3.7,
25,235,26,1985-02-20,25-350,PHI,GSW,21,0,7:00,1,4,.250,0,0,,0,0,,1,1,2,0,0,0,0,2,2,-0.2,
26,236,27,1985-02-22,25-352,PHI,DET,11,0,11:00,2,4,.500,0,0,,0,0,,1,1,2,0,0,0,1,2,4,1.2,
27,237,28,1985-02-24,25-354,PHI,UTA,9,0,5:00,0,3,.000,0,0,,0,0,,2,1,3,0,1,1,0,3,0,0.1,
28,238,29,1985-02-26,25-356,PHI,MIL,-19,0,15:00,4,7,.571,0,0,,0,0,,4,2,6,0,0,0,2,4,8,4.5,
29,239,30,1985-02-28,25-358,PHI,KCK,8,0,2:00,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,
30,240,31,1985-03-03,25-361,PHI,HOU,-9,0,3:00,0,0,,0,0,,0,0,,0,0,0,0,1,0,0,0,0,1.0,
31,241,32,1985-03-04,25-362,PHI,SAS,-6,0,5:00,0,1,.000,0,0,,0,0,,0,0,0,0,0,1,0,0,0,0.0,
32,242,33,1985-03-06,25-364,PHI,ATL,10,0,2:00,0,1,.000,0,0,,0,0,,0,1,1,0,0,1,1,1,0,-1.1,
33,243,34,1985-03-15,26-008,PHI,NYK,9,0,15:00,4,9,.444,0,0,,1,2,.500,0,3,3,0,0,0,0,5,9,2.8,
34,244,35,1985-03-16,26-009,PHI,NJN,20,1,26:00,2,5,.400,0,0,,0,0,,0,3,3,0,1,2,2,5,4,0.6,
35,245,36,1985-03-19,26-012,PHI,CLE,-27,1,25:00,2,6,.333,0,0,,3,3,1.000,0,2,2,0,0,1,2,5,7,0.9,
36,246,37,1985-03-20,26-013,PHI,KCK,-1,1,23:00,5,7,.714,0,0,,0,2,.000,2,1,3,0,0,2,2,3,10,6.2,
37,247,38,1985-03-22,26-015,PHI,MIL,-19,0,10:00,1,2,.500,0,0,,0,0,,0,1,1,0,0,0,0,1,2,0.9,
38,248,39,1985-03-24,26-017,PHI,DEN,21,0,19:00,3,5,.600,0,0,,0,0,,1,4,5,1,1,2,1,3,6,6.5,
39,249,40,1985-03-27,26-020,PHI,WSB,18,0,15:00,4,4,1.000,0,0,,1,2,.500,0,3,3,0,4,0,1,1,9,10.9,
40,250,41,1985-03-29,26-022,PHI,BOS,-4,0,13:00,3,5,.600,0,0,,0,0,,1,1,2,0,1,0,1,6,6,2.3,
41,251,42,1985-03-30,26-023,PHI,CHI,5,0,13:00,1,1,1.000,0,0,,2,4,.500,0,3,3,1,0,0,3,1,4,1.1,
42,252,43,1985-04-02,26-026,PHI,ATL,11,0,19:00,1,5,.200,0,0,,1,2,.500,1,5,6,0,0,1,1,3,3,0.2,
43,253,44,1985-04-03,26-027,PHI,CLE,-3,0,7:00,2,2,1.000,0,0,,3,4,.750,0,1,1,0,1,0,0,1,7,6.9,
44,254,45,1985-04-06,26-030,PHI,IND,-4,0,15:00,2,6,.333,0,0,,0,0,,0,1,1,0,0,1,2,3,4,-1.6,
45,255,46,1985-04-10,26-034,PHI,NJN,-25,0,12:00,1,1,1.000,0,0,,3,6,.500,1,1,2,2,1,0,1,0,5,5.9,
