,pgl_basic,game,date,age,team,opp,gameResult,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
0,775,1,2013-10-30,32-173,DAL,ATL,9,1,26:54,2,4,.500,0,0,,0,0,,1,8,9,0,0,1,1,1,4,4.4,+3
1,776,2,2013-11-01,32-175,DAL,HOU,-8,1,22:21,3,5,.600,0,0,,0,1,.000,1,4,5,0,1,1,1,5,6,3.9,-3
2,777,3,2013-11-02,32-176,DAL,MEM,12,1,25:50,4,4,1.000,0,0,,6,6,1.000,2,7,9,2,2,0,2,5,14,15.7,+4
3,778,4,2013-11-05,32-179,DAL,LAL,19,1,23:02,5,7,.714,0,0,,0,0,,2,4,6,1,1,1,1,0,10,11.1,+17
4,779,5,2013-11-06,32-180,DAL,OKC,-14,1,24:17,3,10,.300,0,0,,0,0,,5,4,9,0,0,0,3,2,6,1.1,-1
5,780,6,2013-11-08,32-182,DAL,MIN,-8,1,12:30,2,3,.667,0,0,,0,0,,3,1,4,0,1,3,2,3,4,5.0,-16
6,781,7,2013-11-09,32-183,DAL,MIL,8,1,26:05,3,6,.500,0,0,,0,0,,4,2,6,0,0,2,1,4,6,5.2,+7
7,782,8,2013-11-12,32-186,DAL,WAS,10,1,22:46,5,7,.714,0,0,,5,6,.833,3,2,5,1,2,0,1,2,15,15.3,-7
8,783,9,2013-11-15,32-189,DAL,MIA,-6,1,20:18,2,5,.400,0,0,,0,0,,2,7,9,0,3,1,1,1,4,7.1,+6
9,784,10,2013-11-16,32-190,DAL,ORL,8,1,23:05,3,5,.600,0,0,,0,2,.000,1,3,4,1,1,2,4,5,6,1.6,-10
10,785,11,2013-11-18,32-192,DAL,PHI,3,0,27:32,3,6,.500,0,0,,2,2,1.000,5,9,14,0,0,3,1,1,8,11.9,+1
11,786,12,2013-11-20,32-194,DAL,HOU,3,1,31:48,1,3,.333,0,0,,4,4,1.000,2,8,10,0,0,4,2,5,6,6.9,-5
12,787,13,2013-11-22,32-196,DAL,UTA,10,1,28:31,8,8,1.000,0,0,,2,4,.500,5,7,12,1,0,2,3,4,18,17.9,+13
13,788,14,2013-11-23,32-197,DAL,DEN,-2,1,21:42,0,0,,0,0,,3,4,.750,1,2,3,2,1,0,0,2,3,5.5,+2
14,789,15,2013-11-25,32-199,DAL,DEN,-14,0,17:45,1,1,1.000,0,0,,0,0,,0,3,3,0,0,2,0,3,2,2.8,+5
15,790,16,2013-11-27,32-201,DAL,GSW,4,1,27:08,4,6,.667,0,0,,3,3,1.000,1,5,6,0,1,3,0,2,11,12.9,-2
16,791,17,2013-11-29,32-203,DAL,ATL,-1,1,21:34,1,2,.500,0,0,,6,6,1.000,1,3,4,0,1,2,0,3,8,9.8,-3
17,792,18,2013-11-30,32-204,DAL,MIN,-6,1,25:13,6,7,.857,0,0,,0,2,.000,3,4,7,0,0,1,1,3,12,10.5,-5
18,793,19,2013-12-03,32-207,DAL,CHA,7,1,17:09,0,3,.000,0,0,,2,2,1.000,2,4,6,0,0,0,0,4,2,0.9,-1
19,794,20,2013-12-04,32-208,DAL,NOP,3,0,18:49,3,6,.500,0,0,,0,0,,4,3,7,1,0,1,0,1,6,7.7,+2
20,795,21,2013-12-07,32-211,DAL,POR,2,0,11:43,0,1,.000,0,0,,0,0,,1,1,2,1,0,1,1,0,0,0.7,-7
21,796,22,2013-12-09,32-213,DAL,SAC,-15,0,12:19,0,2,.000,0,1,.000,3,4,.750,2,4,6,0,2,0,0,4,3,4.2,-1
22,797,23,2013-12-11,32-215,DAL,GSW,-2,0,23:59,0,4,.000,0,0,,0,0,,1,3,4,1,0,1,0,0,0,0.2,+10
23,798,25,2013-12-18,32-222,DAL,MEM,14,0,13:20,3,3,1.000,0,0,,2,3,.667,4,3,7,1,2,2,2,2,8,11.7,+5
