,pgl_basic,game,date,age,team,opp,gameResult,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
0,1,1,2005-11-02,29-242,IND,ORL,12,0,17:32,2,5,.400,1,4,.250,0,0,,0,2,2,2,2,0,2,1,5,3.9,-2
1,2,2,2005-11-03,29-243,IND,MIA,3,0,12:45,3,5,.600,1,1,1.000,2,2,1.000,0,1,1,2,2,0,2,1,9,8.0,0
2,3,3,2005-11-05,29-245,IND,PHI,-2,0,8:45,2,3,.667,2,3,.667,0,0,,0,1,1,1,0,0,2,1,6,3.3,-4
3,4,4,2005-11-09,29-249,IND,MIA,5,0,25:50,2,4,.500,1,2,.500,3,3,1.000,1,2,3,1,1,0,0,0,8,9.0,+10
4,5,5,2005-11-11,29-251,IND,NJN,12,0,18:45,0,2,.000,0,2,.000,0,0,,0,0,0,3,1,0,2,1,0,-0.7,-17
5,6,6,2005-11-12,29-252,IND,MIL,-1,0,20:01,2,2,1.000,1,1,1.000,4,4,1.000,0,4,4,1,2,0,2,4,9,8.7,+19
6,7,7,2005-11-16,29-256,IND,CHA,-32,0,15:30,1,2,.500,0,1,.000,3,3,1.000,0,0,0,2,0,0,3,1,5,2.0,-19
7,8,8,2005-11-18,29-258,IND,CHA,8,0,15:09,2,5,.400,0,2,.000,10,10,1.000,0,0,0,1,1,0,1,1,14,11.6,+11
8,9,9,2005-11-20,29-260,IND,HOU,11,0,17:17,2,7,.286,1,5,.200,2,4,.500,0,2,2,2,0,0,0,0,7,4.1,+9
9,10,10,2005-11-24,29-264,IND,CLE,22,0,20:00,6,9,.667,5,6,.833,0,0,,1,1,2,3,1,0,3,1,17,13.8,+14
10,11,11,2005-11-25,29-265,IND,ATL,-2,0,28:52,5,12,.417,2,7,.286,2,2,1.000,0,5,5,5,1,0,1,2,14,11.8,-3
11,12,12,2005-11-27,29-267,IND,LAC,5,0,17:22,1,2,.500,1,1,1.000,3,3,1.000,0,0,0,1,1,0,1,0,6,5.7,+9
12,13,13,2005-11-29,29-269,IND,UTA,24,0,24:23,3,6,.500,2,3,.667,0,0,,1,2,3,3,1,0,0,1,8,9.0,+10
13,14,14,2005-11-30,29-270,IND,PHO,-18,0,22:34,5,11,.455,3,5,.600,3,3,1.000,1,4,5,2,3,0,3,2,16,12.8,+6
14,15,15,2005-12-02,29-272,IND,POR,20,1,28:37,5,6,.833,1,1,1.000,3,3,1.000,1,2,3,2,0,0,2,2,14,11.7,+13
15,16,16,2005-12-04,29-274,IND,SEA,-5,1,30:15,5,8,.625,4,5,.800,2,2,1.000,0,7,7,9,2,0,3,3,16,18.6,+10
16,17,17,2005-12-06,29-276,IND,DAL,-9,1,28:49,1,6,.167,1,3,.333,6,6,1.000,0,2,2,1,0,0,2,0,9,4.5,-5
