,pgl_basic,game,date,age,team,opp,gameResult,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
0,83,1,1989-11-04,24-096,PHI,MIL,-6,0,9:00,0,0,,0,0,,0,0,,0,1,1,1,0,0,0,1,0,0.6,
1,84,2,1989-11-08,24-100,PHI,MIA,24,0,19:00,1,4,.250,0,0,,2,2,1.000,0,0,0,10,1,0,1,1,4,8.2,
2,85,3,1989-11-10,24-102,PHI,MIN,-7,0,5:00,0,1,.000,0,0,,0,0,,1,0,1,0,0,0,1,2,0,-1.8,
3,86,4,1989-11-11,24-103,PHI,MIL,8,0,16:00,2,4,.500,1,1,1.000,2,2,1.000,0,0,0,0,1,0,4,1,7,1.6,
4,87,5,1989-11-14,24-106,PHI,BOS,-2,0,14:00,3,4,.750,1,2,.500,0,0,,0,1,1,4,1,0,0,1,7,9.1,
5,88,6,1989-11-15,24-107,PHI,CHH,13,0,12:00,1,2,.500,0,1,.000,2,2,1.000,0,2,2,2,2,0,1,1,4,5.6,
6,89,7,1989-11-17,24-109,PHI,SAS,7,0,13:00,1,2,.500,0,1,.000,2,2,1.000,0,0,0,3,0,0,0,1,4,4.7,
7,90,8,1989-11-18,24-110,PHI,ORL,-13,0,10:00,0,2,.000,0,0,,0,0,,0,0,0,4,0,0,0,2,0,0.6,
8,91,9,1989-11-22,24-114,PHI,MIA,10,0,20:00,2,3,.667,0,0,,1,1,1.000,0,1,1,3,2,0,0,2,5,7.3,
9,92,10,1989-11-24,24-116,PHI,WSB,13,0,14:00,4,6,.667,1,2,.500,0,0,,0,0,0,2,0,0,1,1,9,6.4,
10,93,11,1989-11-25,24-117,PHI,IND,8,0,16:00,1,3,.333,1,2,.500,1,1,1.000,0,2,2,4,1,0,0,2,4,5.9,
11,94,12,1989-11-29,24-121,PHI,CLE,30,0,14:00,1,5,.200,0,0,,4,4,1.000,0,0,0,4,1,0,0,1,6,6.3,
12,95,13,1989-12-01,24-123,PHI,WSB,-17,0,16:00,3,5,.600,1,1,1.000,0,0,,1,1,2,3,0,0,1,2,7,6.0,
13,96,14,1989-12-02,24-124,PHI,ATL,-8,0,12:00,1,4,.250,0,2,.000,1,1,1.000,1,2,3,2,1,0,0,4,3,2.7,
14,97,15,1989-12-06,24-128,PHI,MIA,23,0,11:00,1,3,.333,0,1,.000,0,0,,0,0,0,2,0,0,1,1,2,0.3,
15,98,16,1989-12-08,24-130,PHI,DET,6,0,5:00,0,2,.000,0,1,.000,0,0,,0,0,0,2,0,0,0,1,0,-0.4,
16,99,17,1989-12-09,24-131,PHI,CHI,-20,0,16:00,2,5,.400,2,2,1.000,0,0,,0,1,1,3,0,0,0,1,6,5.3,
17,100,18,1989-12-12,24-134,PHI,NJN,-15,0,6:00,0,3,.000,0,2,.000,0,0,,0,0,0,0,0,0,1,1,0,-3.5,
18,101,19,1989-12-15,24-137,PHI,DAL,-7,0,7:00,1,3,.333,0,1,.000,0,0,,0,0,0,2,0,0,0,0,2,1.7,
19,102,20,1989-12-20,24-142,PHI,WSB,7,0,11:00,1,4,.250,0,1,.000,0,0,,0,0,0,1,2,0,1,0,2,1.3,
20,103,21,1989-12-22,24-144,PHI,BOS,1,0,14:00,2,5,.400,1,2,.500,0,0,,0,1,1,3,0,0,1,4,5,2.1,
21,104,22,1989-12-23,24-145,PHI,CHI,27,0,18:00,3,5,.600,0,1,.000,1,1,1.000,2,2,4,7,1,0,1,1,7,11.2,
22,105,23,1989-12-26,24-148,PHI,DEN,-3,0,23:00,3,7,.429,0,1,.000,0,0,,0,1,1,4,1,0,1,2,6,4.6,
23,106,24,1989-12-27,24-149,PHI,SEA,-4,0,14:00,1,2,.500,0,0,,2,2,1.000,0,1,1,0,0,0,0,0,4,3.3,
24,107,25,1989-12-29,24-151,PHI,SAC,-10,0,8:00,1,3,.333,1,1,1.000,0,0,,0,0,0,1,1,0,1,2,3,1.2,
25,108,26,1989-12-30,24-152,PHI,LAC,5,0,10:00,1,2,.500,0,1,.000,1,1,1.000,0,0,0,2,0,0,0,2,3,2.6,
26,109,27,1990-01-03,24-156,PHI,SAS,-9,0,5:00,0,1,.000,0,0,,0,0,,0,0,0,1,0,0,1,0,0,-1.0,
27,110,28,1990-01-13,24-166,PHI,WSB,19,0,2:00,1,3,.333,0,1,.000,0,0,,0,1,1,0,0,0,0,0,2,0.6,
28,111,29,1990-01-23,24-176,PHI,CLE,15,0,15:00,3,3,1.000,0,0,,0,0,,0,0,0,2,0,0,0,2,6,5.7,
29,112,30,1990-01-24,24-177,PHI,ORL,22,0,22:00,3,8,.375,0,0,,0,0,,0,3,3,8,0,0,1,1,6,6.7,
30,113,31,1990-01-26,24-179,PHI,CHI,11,0,9:00,0,2,.000,0,0,,0,0,,0,0,0,2,1,0,0,1,0,0.6,
