,pgl_basic,game,date,age,team,opp,gameResult,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
0,356,1,2005-11-02,29-197,NJN,MIL,-14,0,1:00,1,1,1.000,0,0,,0,0,,0,0,0,0,0,0,0,1,2,1.3,-2
1,357,2,2005-11-04,29-199,NJN,TOR,10,0,0:50,0,0,,0,0,,0,0,,0,0,0,0,0,0,1,1,0,-1.4,-2
2,358,3,2005-11-07,29-202,NJN,MIA,-1,0,4:58,0,1,.000,0,0,,0,0,,1,0,1,0,0,0,0,0,0,0.0,0
3,359,4,2005-11-09,29-204,NJN,UTA,8,0,0:27,0,0,,0,0,,0,0,,1,0,1,0,0,0,0,0,0,0.7,-2
4,360,5,2005-11-11,29-206,NJN,IND,-12,1,30:04,4,7,.571,0,0,,2,2,1.000,4,7,11,3,2,0,1,5,10,12.7,+1
5,361,6,2005-11-12,29-207,NJN,HOU,-8,0,6:09,0,0,,0,0,,0,0,,0,0,0,1,0,0,0,0,0,0.7,+4
6,362,7,2005-11-15,29-210,NJN,SEA,10,0,19:57,5,7,.714,2,3,.667,1,1,1.000,3,6,9,1,1,0,0,2,13,14.9,+3
7,363,8,2005-11-19,29-214,NJN,WAS,6,0,4:56,1,1,1.000,1,1,1.000,0,0,,1,1,2,1,0,0,1,2,3,2.6,+1
8,364,9,2005-11-21,29-216,NJN,GSW,-3,0,16:21,1,6,.167,1,4,.250,0,0,,1,1,2,2,1,1,0,2,3,2.5,-2
9,365,10,2005-11-23,29-218,NJN,SAC,-9,0,3:15,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-1.1,-7
10,366,11,2005-11-28,29-223,NJN,DEN,9,0,3:24,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-0.4,-6
11,367,12,2005-12-07,29-232,NJN,CHA,13,0,15:12,2,4,.500,0,1,.000,0,1,.000,0,3,3,1,0,2,1,2,4,2.8,-2
12,368,13,2005-12-09,29-234,NJN,CLE,9,0,11:05,1,2,.500,1,1,1.000,2,2,1.000,2,1,3,0,0,0,0,2,5,4.9,+3
13,369,14,2005-12-10,29-235,NJN,PHI,-12,0,11:32,2,5,.400,2,3,.667,1,1,1.000,3,1,4,0,1,0,0,0,7,7.7,-6
14,370,15,2005-12-13,29-238,NJN,WAS,-20,0,21:19,1,5,.200,0,3,.000,2,2,1.000,1,3,4,0,2,0,1,4,4,1.9,-12
15,371,16,2005-12-14,29-239,NJN,CHA,-8,0,16:59,2,5,.400,1,4,.250,0,0,,1,3,4,3,0,0,1,4,5,3.4,-3
16,372,17,2005-12-16,29-241,NJN,DEN,9,0,19:56,5,8,.625,5,5,1.000,0,0,,4,2,6,1,1,0,1,4,15,13.9,+1
17,373,18,2005-12-18,29-243,NJN,GSW,28,0,22:36,2,4,.500,2,4,.500,2,2,1.000,0,2,2,2,0,0,0,3,8,6.8,+8
18,374,19,2005-12-20,29-245,NJN,LAC,14,0,15:23,1,4,.250,1,3,.333,0,0,,1,4,5,0,1,0,0,0,3,3.5,+3
19,375,20,2005-12-21,29-246,NJN,ORL,11,0,13:42,2,3,.667,1,2,.500,0,0,,1,2,3,0,0,0,1,1,5,3.6,-3
20,376,21,2005-12-23,29-248,NJN,MIA,7,0,16:51,2,9,.222,2,6,.333,0,0,,0,10,10,2,0,0,1,1,6,3.5,+5
21,377,22,2005-12-26,29-251,NJN,NYK,8,0,15:47,2,5,.400,2,4,.500,0,0,,1,0,1,1,1,0,0,1,6,5.3,-7
22,378,23,2005-12-27,29-252,NJN,CLE,5,0,10:55,3,3,1.000,0,0,,0,0,,2,0,2,1,0,0,0,3,6,6.0,+5
23,379,24,2005-12-30,29-255,NJN,ATL,8,0,16:33,0,1,.000,0,1,.000,1,2,.500,0,2,2,0,0,0,1,4,1,-2.1,+8
24,380,25,2006-01-06,29-262,NJN,ORL,7,0,13:32,1,5,.200,1,2,.500,4,4,1.000,0,1,1,1,2,0,0,2,7,6.1,-2
25,381,26,2006-01-08,29-264,NJN,TOR,1,0,16:47,1,5,.200,0,4,.000,0,0,,2,4,6,2,0,0,0,0,2,2.9,+2
26,382,27,2006-01-10,29-266,NJN,SAS,-5,0,10:47,1,3,.333,1,3,.333,0,0,,1,1,2,0,0,0,0,4,3,0.7,-1
27,383,28,2006-01-13,29-269,NJN,MEM,-12,0,27:49,2,8,.250,2,6,.333,1,2,.500,1,3,4,1,4,0,1,1,7,6.7,-9
28,384,29,2006-01-14,29-270,NJN,DAL,-33,0,18:21,2,4,.500,1,1,1.000,0,0,,3,2,5,0,0,1,0,2,5,5.6,-5
29,385,30,2006-01-16,29-272,NJN,IND,5,0,9:18,0,3,.000,0,1,.000,0,0,,1,1,2,0,0,0,1,0,0,-2.1,-6
30,386,31,2006-01-18,29-274,NJN,PHI,11,0,4:06,0,2,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,1,0,-1.8,-5
31,387,32,2006-01-21,29-277,NJN,BOS,20,0,27:39,4,10,.400,2,5,.400,3,3,1.000,2,6,8,1,0,1,1,1,13,10.8,+26
32,388,33,2006-01-23,29-279,NJN,UTA,-11,0,6:46,0,2,.000,0,2,.000,0,0,,0,1,1,0,0,0,0,1,0,-1.5,-2
33,389,34,2006-01-25,29-281,NJN,LAC,-13,0,7:02,0,1,.000,0,1,.000,0,0,,1,2,3,0,2,0,1,0,0,1.6,+2
34,390,35,2006-01-28,29-284,NJN,SEA,-9,0,8:11,0,0,,0,0,,0,0,,1,0,1,0,0,0,0,3,0,-0.5,-8
35,391,36,2006-01-31,29-287,NJN,DET,7,0,3:31,1,1,1.000,0,0,,0,0,,0,0,0,0,0,0,0,2,2,0.9,-3
36,392,37,2006-02-01,29-288,NJN,CLE,-6,0,11:27,2,5,.400,2,3,.667,0,0,,1,4,5,0,0,0,0,1,6,4.8,-3
37,393,38,2006-02-04,29-291,NJN,MIA,13,0,15:51,1,5,.200,1,4,.250,0,0,,0,3,3,3,1,0,0,3,3,2.7,-9
38,394,39,2006-02-06,29-293,NJN,NOK,8,0,11:00,0,2,.000,0,2,.000,0,0,,1,1,2,0,1,0,0,0,0,0.6,-19
39,395,40,2006-02-08,29-295,NJN,NYK,13,0,15:31,2,4,.500,2,4,.500,0,0,,2,2,4,2,2,1,0,2,6,9.3,0
40,396,41,2006-02-10,29-297,NJN,SAS,-10,0,11:26,0,3,.000,0,2,.000,0,0,,0,2,2,0,0,1,1,1,0,-2.2,+2
41,397,42,2006-02-12,29-299,NJN,MIL,15,0,18:04,4,6,.667,1,3,.333,1,2,.500,1,3,4,4,0,1,1,2,10,10.3,+8
42,398,43,2006-02-14,29-301,NJN,DET,-14,0,14:52,0,3,.000,0,2,.000,0,0,,0,5,5,3,2,0,1,2,0,1.7,+3
43,399,44,2006-02-15,29-302,NJN,CHA,1,0,5:45,0,3,.000,0,3,.000,2,2,1.000,2,0,2,0,0,0,0,1,2,0.9,-8
44,400,45,2006-02-21,29-308,NJN,MIL,4,0,2:50,0,2,.000,0,1,.000,0,0,,0,0,0,0,0,0,1,1,0,-2.8,-5
45,401,46,2006-02-22,29-309,NJN,ORL,3,0,7:04,0,0,,0,0,,1,2,.500,1,1,2,0,0,0,1,1,1,0.2,-4
46,402,47,2006-02-24,29-311,NJN,NYK,4,0,7:49,1,3,.333,0,2,.000,0,0,,0,1,1,0,1,0,0,3,2,0.4,-4
47,403,48,2006-02-26,29-313,NJN,IND,-10,0,14:20,2,3,.667,1,1,1.000,1,2,.500,0,3,3,1,1,1,0,1,6,7.2,-3
48,404,49,2006-02-27,29-314,NJN,ATL,-2,0,6:24,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-0.7,-7
49,405,50,2006-03-01,29-316,NJN,MIN,-10,0,11:41,0,2,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0,-1.4,0
50,406,51,2006-03-04,29-319,NJN,TOR,5,0,13:00,2,5,.400,0,1,.000,0,0,,1,2,3,0,0,0,0,2,4,1.8,+7
51,407,52,2006-03-06,29-321,NJN,SAC,-25,0,10:13,0,2,.000,0,2,.000,0,0,,1,4,5,1,0,0,0,1,0,0.8,-9
