,pgl_basic,game,date,age,team,opp,gameResult,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
0,153,1,1989-11-03,24-039,CHI,CLE,5,1,51:00,8,24,.333,1,4,.250,2,4,.500,1,2,3,7,2,1,5,4,19,6.9,
1,154,2,1989-11-04,24-040,CHI,BOS,-2,1,41:00,13,24,.542,0,0,,2,5,.400,3,5,8,5,3,2,2,3,28,23.5,
2,155,3,1989-11-07,24-043,CHI,DET,3,1,36:00,6,11,.545,2,2,1.000,3,3,1.000,1,9,10,1,0,1,2,3,17,13.3,
3,156,4,1989-11-08,24-044,CHI,MIN,12,1,33:00,3,11,.273,0,0,,1,2,.500,1,5,6,3,1,0,2,5,7,1.4,
4,157,5,1989-11-10,24-046,CHI,NJN,-10,1,43:00,6,16,.375,1,4,.250,1,4,.250,3,5,8,4,3,2,7,3,14,6.6,
5,158,6,1989-11-11,24-047,CHI,SEA,7,1,41:00,8,12,.667,2,4,.500,3,8,.375,1,8,9,5,3,2,3,2,21,21.0,
6,159,7,1989-11-14,24-050,CHI,SAC,2,1,35:00,7,20,.350,0,1,.000,0,0,,2,9,11,5,1,1,4,3,14,6.9,
7,160,8,1989-11-15,24-051,CHI,UTA,-1,1,37:00,6,10,.600,0,2,.000,2,2,1.000,2,2,4,6,3,5,4,5,14,16.1,
8,161,9,1989-11-18,24-054,CHI,SEA,-9,1,39:00,6,15,.400,1,3,.333,1,2,.500,2,5,7,4,2,0,3,5,14,8.2,
9,162,10,1989-11-21,24-057,CHI,POR,-11,1,31:00,6,13,.462,0,2,.000,0,0,,3,10,13,6,2,2,4,1,12,13.6,
10,163,11,1989-11-22,24-058,CHI,PHO,5,1,41:00,4,13,.308,0,2,.000,4,4,1.000,5,6,11,3,2,1,2,3,12,11.4,
11,164,12,1989-11-25,24-061,CHI,GSW,13,1,41:00,8,24,.333,0,1,.000,2,2,1.000,2,4,6,6,2,1,3,4,18,9.3,
12,165,13,1989-11-26,24-062,CHI,LAC,-24,1,34:00,7,12,.583,0,0,,0,0,,1,2,3,3,3,2,3,4,14,11.6,
13,166,14,1989-11-28,24-064,CHI,ATL,15,1,33:00,7,13,.538,0,1,.000,10,14,.714,2,11,13,8,0,3,1,3,24,26.3,
14,167,15,1989-12-02,24-068,CHI,MIA,7,1,40:00,9,14,.643,0,0,,5,5,1.000,2,8,10,6,4,5,7,1,23,24.9,
15,168,16,1989-12-05,24-071,CHI,DEN,20,1,35:00,7,15,.467,0,0,,1,2,.500,2,4,6,2,5,1,3,4,15,12.0,
16,169,17,1989-12-08,24-074,CHI,IND,-2,1,31:00,7,13,.538,1,3,.333,1,2,.500,3,1,4,2,2,0,1,4,16,12.5,
17,170,18,1989-12-09,24-075,CHI,PHI,20,1,37:00,9,18,.500,1,2,.500,1,2,.500,1,8,9,5,5,1,3,3,20,18.7,
18,171,19,1989-12-12,24-078,CHI,DAL,8,1,38:00,6,16,.375,0,2,.000,2,3,.667,3,3,6,8,3,1,3,2,14,13.3,
19,172,20,1989-12-14,24-080,CHI,ORL,11,1,33:00,10,18,.556,0,1,.000,0,0,,0,3,3,7,8,3,0,2,20,26.5,
20,173,21,1989-12-16,24-082,CHI,CHH,11,1,39:00,8,14,.571,0,0,,3,6,.500,1,7,8,3,1,1,0,4,19,16.2,
21,174,22,1989-12-19,24-085,CHI,LAL,10,1,45:00,7,17,.412,0,0,,2,5,.400,3,9,12,4,0,1,4,3,16,8.8,
22,175,23,1989-12-20,24-086,CHI,ORL,-1,1,42:00,4,13,.308,0,1,.000,1,1,1.000,1,4,5,7,1,1,4,5,9,4.0,
23,176,24,1989-12-22,24-088,CHI,ATL,12,1,46:00,9,18,.500,0,2,.000,7,8,.875,1,8,9,5,3,1,3,5,25,20.9,
24,177,25,1989-12-23,24-089,CHI,PHI,-27,1,31:00,7,9,.778,0,1,.000,5,7,.714,2,0,2,2,0,0,2,2,19,14.7,
25,178,26,1989-12-26,24-092,CHI,MIN,13,1,36:00,8,13,.615,0,1,.000,6,9,.667,2,3,5,2,2,0,3,2,22,16.8,
26,179,27,1989-12-29,24-095,CHI,SAS,4,1,41:00,6,9,.667,0,1,.000,0,0,,1,8,9,8,5,1,2,0,12,20.5,
27,180,28,1989-12-30,24-096,CHI,WSB,5,1,48:00,10,17,.588,1,3,.333,7,8,.875,2,10,12,4,5,2,3,3,28,29.1,
28,181,29,1990-01-03,24-100,CHI,CLE,6,1,44:00,3,10,.300,0,1,.000,2,4,.500,1,1,2,3,5,1,2,4,8,6.6,
29,182,30,1990-01-05,24-102,CHI,ORL,11,1,38:00,7,12,.583,0,0,,5,7,.714,2,6,8,12,3,1,6,2,19,21.1,
30,183,31,1990-01-06,24-103,CHI,MIL,-7,1,39:00,6,9,.667,1,1,1.000,2,2,1.000,2,7,9,3,1,1,3,2,15,14.6,
31,184,32,1990-01-09,24-106,CHI,DET,-10,1,36:00,8,18,.444,1,2,.500,0,0,,2,6,8,4,4,1,2,4,17,14.7,
32,185,33,1990-01-10,24-107,CHI,IND,-7,1,35:00,5,11,.455,1,2,.500,3,4,.750,5,7,12,5,2,0,1,5,14,16.0,
33,186,34,1990-01-12,24-109,CHI,CHH,12,1,45:00,7,11,.636,0,0,,2,4,.500,2,6,8,9,4,0,2,2,16,21.0,
34,187,35,1990-01-13,24-110,CHI,LAC,6,1,33:00,7,9,.778,0,0,,1,2,.500,2,9,11,8,1,0,6,1,15,15.4,
35,188,36,1990-01-15,24-112,CHI,NYK,-3,1,41:00,10,16,.625,0,2,.000,2,3,.667,7,2,9,3,3,0,4,3,22,19.8,
36,189,37,1990-01-18,24-115,CHI,GSW,25,1,29:00,7,9,.778,0,0,,1,2,.500,0,3,3,8,1,2,2,4,15,16.4,
