,pgl_basic,game,date,age,team,opp,gameResult,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
0,38,1,2014-10-29,21-350,MIN,MEM,-4,0,22:35,5,10,.500,1,2,.500,2,4,.500,3,4,7,1,1,0,1,1,13,10.8,+4
1,39,2,2014-10-30,21-351,MIN,DET,6,0,12:15,0,0,,0,0,,1,2,.500,0,1,1,0,0,0,1,1,1,-0.5,0
2,40,3,2014-11-01,21-353,MIN,CHI,-1,0,5:31,0,2,.000,0,0,,1,2,.500,0,0,0,0,0,0,1,0,1,-1.8,-4
3,41,4,2014-11-05,21-357,MIN,BRK,7,0,5:45,2,3,.667,0,0,,0,0,,2,1,3,0,0,0,0,1,4,4.0,-8
4,42,5,2014-11-07,21-359,MIN,ORL,-9,0,11:07,2,4,.500,0,0,,0,0,,1,1,2,0,0,0,2,1,4,0.6,+1
5,43,6,2014-11-08,21-360,MIN,MIA,-10,0,11:15,6,11,.545,1,1,1.000,0,2,.000,2,0,2,0,0,0,0,1,13,7.9,+7
6,44,7,2014-11-12,21-364,MIN,HOU,-12,0,14:23,3,6,.500,0,0,,3,6,.500,1,0,1,0,0,0,0,0,9,5.5,-11
7,45,8,2014-11-14,22-001,MIN,NOP,-48,0,15:30,3,6,.500,0,0,,1,2,.500,0,0,0,0,0,0,0,1,7,3.2,-13
8,46,9,2014-11-15,22-002,MIN,DAL,-14,0,13:42,6,7,.857,1,1,1.000,5,5,1.000,2,2,4,2,0,0,2,1,18,16.5,+10
9,47,10,2014-11-19,22-006,MIN,NYK,16,1,32:08,6,15,.400,0,1,.000,5,6,.833,4,4,8,1,0,1,2,4,17,10.3,+13
10,48,11,2014-11-21,22-008,MIN,SAS,-29,1,16:50,1,7,.143,0,0,,0,0,,0,1,1,0,0,0,1,1,2,-3.6,-22
11,49,12,2014-11-22,22-009,MIN,SAC,-12,0,18:14,4,8,.500,0,1,.000,1,2,.500,3,4,7,1,1,0,0,2,9,8.8,+3
12,50,13,2014-11-26,22-013,MIN,MIL,-17,0,16:02,5,9,.556,0,0,,3,4,.750,1,0,1,0,0,0,0,0,13,9.0,-7
