,pgl_basic,game,date,age,team,opp,gameResult,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
0,93,1,2009-10-27,23-332,LAL,LAC,7,0,8:41,0,0,,0,0,,1,4,.250,0,1,1,0,0,0,0,1,1,-0.3,-4
1,94,2,2009-10-30,23-335,LAL,DAL,-14,0,21:43,5,7,.714,2,3,.667,0,0,,1,2,3,2,2,0,0,1,12,13.4,0
2,95,3,2009-11-01,23-337,LAL,ATL,8,0,7:48,1,1,1.000,1,1,1.000,0,0,,0,0,0,0,1,0,1,1,3,2.3,-1
3,96,4,2009-11-03,23-339,LAL,OKC,3,0,10:21,0,1,.000,0,1,.000,0,0,,1,1,2,0,0,0,1,2,0,-1.5,-8
4,97,5,2009-11-04,23-340,LAL,HOU,1,0,13:07,1,3,.333,0,1,.000,0,0,,0,2,2,0,0,0,1,2,2,-0.9,-3
5,98,6,2009-11-06,23-342,LAL,MEM,16,0,9:46,1,2,.500,0,0,,0,0,,0,0,0,3,0,0,0,1,2,2.7,+3
6,99,7,2009-11-08,23-344,LAL,NOH,16,0,21:05,6,8,.750,3,4,.750,0,0,,0,0,0,2,0,0,0,3,15,12.0,+1
7,100,8,2009-11-12,23-348,LAL,PHO,19,0,15:40,4,6,.667,1,1,1.000,1,2,.500,0,1,1,2,0,0,0,2,10,7.9,-1
8,101,9,2009-11-13,23-349,LAL,DEN,-26,0,25:27,1,8,.125,0,2,.000,0,0,,1,3,4,2,2,1,1,2,2,0.7,-21
9,102,10,2009-11-15,23-351,LAL,HOU,-10,0,15:25,4,6,.667,1,3,.333,3,3,1.000,1,2,3,3,0,0,0,1,12,12.4,+2
10,103,11,2009-11-17,23-353,LAL,DET,13,0,26:00,4,12,.333,1,5,.200,3,3,1.000,0,3,3,0,1,0,2,1,12,4.7,+9
11,104,12,2009-11-19,23-355,LAL,CHI,15,0,16:34,1,3,.333,0,2,.000,0,0,,0,1,1,0,1,0,0,1,2,1.2,+6
12,105,13,2009-11-22,23-358,LAL,OKC,16,0,17:57,3,6,.500,0,1,.000,0,0,,1,2,3,3,0,0,1,2,6,4.6,-13
13,106,14,2009-11-24,23-360,LAL,NYK,10,0,13:10,1,3,.333,0,2,.000,0,0,,1,2,3,1,1,0,3,0,2,0.3,-11
14,107,15,2009-11-28,23-364,LAL,GSW,33,0,22:43,6,8,.750,2,2,1.000,3,4,.750,0,2,2,1,1,0,0,1,17,15.3,+17
15,108,16,2009-11-29,24-000,LAL,NJN,19,0,23:17,2,5,.400,0,1,.000,2,3,.667,0,2,2,3,0,0,2,2,6,2.8,-8
16,109,17,2009-12-01,24-002,LAL,NOH,11,0,22:45,1,6,.167,0,2,.000,2,2,1.000,0,2,2,2,1,1,0,3,4,2.7,+7
17,110,18,2009-12-04,24-005,LAL,MIA,1,0,15:03,1,5,.200,0,2,.000,0,0,,1,1,2,1,0,0,1,2,2,-1.2,-4
18,111,19,2009-12-06,24-007,LAL,PHO,20,0,19:28,4,10,.400,2,4,.500,2,2,1.000,0,2,2,1,0,0,3,0,12,4.9,+3
19,112,20,2009-12-09,24-010,LAL,UTA,24,0,18:18,2,6,.333,0,1,.000,0,0,,0,1,1,0,0,0,0,3,4,-0.3,-2
20,113,21,2009-12-11,24-012,LAL,MIN,12,0,16:49,3,9,.333,1,4,.250,0,0,,1,1,2,0,0,0,0,0,7,2.9,-11
21,114,22,2009-12-12,24-013,LAL,UTA,-8,0,23:38,2,6,.333,0,3,.000,3,4,.750,0,1,1,1,3,0,0,2,7,6.4,-4
22,115,23,2009-12-15,24-016,LAL,CHI,9,0,19:51,4,4,1.000,1,1,1.000,0,0,,0,1,1,0,1,1,1,1,9,8.4,+13
23,116,24,2009-12-16,24-017,LAL,MIL,1,0,12:37,1,2,.500,1,2,.500,2,2,1.000,0,2,2,0,0,0,3,1,5,1.2,-9
24,117,25,2009-12-19,24-020,LAL,NJN,19,0,22:48,3,8,.375,2,3,.667,0,0,,0,4,4,1,0,0,0,3,8,4.3,+7
25,118,26,2009-12-20,24-021,LAL,DET,12,0,18:59,1,9,.111,0,2,.000,1,2,.500,0,1,1,2,2,1,0,3,3,-0.1,-13
26,119,27,2009-12-22,24-023,LAL,OKC,3,0,12:20,2,3,.667,0,0,,2,2,1.000,0,1,1,0,1,0,0,2,6,5.2,-3
27,120,28,2009-12-25,24-026,LAL,CLE,-15,0,13:11,1,4,.250,1,3,.333,0,0,,0,2,2,2,0,0,1,2,3,0.8,-6
28,121,29,2009-12-26,24-027,LAL,SAC,9,0,28:01,6,12,.500,1,2,.500,2,3,.667,1,6,7,1,0,0,0,1,15,11.4,+9
29,122,30,2009-12-28,24-029,LAL,PHO,-15,0,14:41,4,5,.800,1,2,.500,1,2,.500,0,2,2,0,1,0,1,1,10,7.9,-4
30,123,31,2009-12-29,24-030,LAL,GSW,6,0,19:23,2,6,.333,1,3,.333,2,2,1.000,0,3,3,0,0,1,1,0,7,4.2,-1
31,124,32,2010-01-01,24-033,LAL,SAC,1,0,19:36,2,6,.333,0,2,.000,2,2,1.000,2,0,2,1,0,0,0,3,6,3.5,-8
32,125,33,2010-01-03,24-035,LAL,DAL,35,0,24:00,5,7,.714,1,1,1.000,0,0,,0,1,1,5,0,0,2,1,11,9.5,+3
33,126,34,2010-01-05,24-037,LAL,HOU,9,0,15:52,1,2,.500,0,0,,0,0,,0,2,2,0,1,0,1,1,2,1.2,+4
34,127,35,2010-01-06,24-038,LAL,LAC,-11,0,27:37,6,10,.600,1,3,.333,2,2,1.000,0,1,1,0,2,0,1,4,15,10.1,+4
35,128,36,2010-01-08,24-040,LAL,POR,-9,0,17:02,3,8,.375,0,2,.000,0,0,,0,1,1,1,1,0,0,5,6,1.6,0
36,129,37,2010-01-10,24-042,LAL,MIL,18,0,24:28,8,12,.667,2,3,.667,1,1,1.000,0,4,4,3,0,2,2,1,19,16.1,-2
37,130,38,2010-01-12,24-044,LAL,SAS,-20,0,20:12,4,6,.667,0,1,.000,0,0,,0,2,2,0,2,0,1,1,8,6.6,-15
38,131,39,2010-01-13,24-045,LAL,DAL,5,0,16:02,3,6,.500,0,0,,0,0,,0,1,1,0,0,1,0,0,6,4.0,-8
39,132,40,2010-01-15,24-047,LAL,LAC,40,0,23:57,3,5,.600,0,0,,5,6,.833,1,3,4,2,1,1,0,0,11,13.0,+15
40,133,41,2010-01-18,24-050,LAL,ORL,6,0,21:46,8,12,.667,1,4,.250,5,8,.625,0,0,0,0,2,0,0,0,22,17.6,+18
41,134,42,2010-01-21,24-053,LAL,CLE,-6,0,13:32,1,6,.167,1,2,.500,2,2,1.000,0,1,1,1,1,0,0,0,5,3.2,-3
42,135,43,2010-01-22,24-054,LAL,NYK,10,0,22:03,3,5,.600,1,2,.500,4,4,1.000,0,1,1,1,1,0,1,0,11,9.7,+8
43,136,44,2010-01-24,24-056,LAL,TOR,-1,0,17:47,1,3,.333,0,1,.000,0,0,,0,1,1,0,0,1,1,2,2,-0.5,+1
44,137,45,2010-01-26,24-058,LAL,WAS,12,0,30:44,5,11,.455,1,3,.333,0,0,,1,2,3,3,2,1,0,1,11,11.0,+19
45,138,46,2010-01-27,24-059,LAL,IND,22,0,23:58,1,9,.111,0,5,.000,4,4,1.000,0,2,2,2,1,0,0,2,6,2.3,+14
46,139,47,2010-01-29,24-061,LAL,PHI,8,0,16:08,3,6,.500,0,1,.000,0,0,,0,1,1,0,1,0,0,4,6,2.7,+8
47,140,48,2010-01-31,24-063,LAL,BOS,1,0,14:21,2,4,.500,0,1,.000,2,2,1.000,1,3,4,1,1,0,0,2,6,6.5,-1
48,141,49,2010-02-01,24-064,LAL,MEM,-2,0,14:18,1,3,.333,1,1,1.000,0,0,,0,2,2,1,0,0,2,1,3,0.2,-1
49,142,50,2010-02-03,24-066,LAL,CHA,2,0,24:35,3,11,.273,2,4,.500,2,2,1.000,2,2,4,6,0,0,1,1,10,8.3,+8
50,143,51,2010-02-05,24-068,LAL,DEN,-13,0,22:00,6,12,.500,1,3,.333,0,0,,3,0,3,3,0,0,1,1,13,9.8,-13
51,144,52,2010-02-06,24-069,LAL,POR,17,0,37:32,8,15,.533,1,3,.333,2,3,.667,1,2,3,1,0,0,1,2,19,11.5,+15
52,145,53,2010-02-08,24-071,LAL,SAS,12,1,36:31,3,13,.231,1,3,.333,1,2,.500,0,1,1,3,0,1,0,3,8,1.6,+7
53,146,54,2010-02-10,24-073,LAL,UTA,15,1,37:05,5,15,.333,1,4,.250,0,0,,0,3,3,4,1,0,1,3,11,5.0,+20
54,147,55,2010-02-16,24-079,LAL,GSW,10,1,38:23,11,19,.579,1,6,.167,4,4,1.000,0,10,10,3,2,1,1,1,27,24.5,+17
55,148,56,2010-02-18,24-081,LAL,BOS,-1,1,39:09,2,9,.222,1,1,1.000,3,5,.600,0,4,4,4,1,1,2,2,8,4.6,+2
56,149,57,2010-02-23,24-086,LAL,MEM,1,0,14:07,3,6,.500,0,2,.000,2,2,1.000,0,2,2,0,0,0,1,1,8,4.2,+4
57,150,58,2010-02-24,24-087,LAL,DAL,-5,0,14:34,1,2,.500,0,1,.000,2,2,1.000,0,2,2,2,2,0,2,1,4,4.6,-2
58,151,59,2010-02-26,24-089,LAL,PHI,9,0,17:33,2,7,.286,1,3,.333,0,0,,0,1,1,1,0,0,2,2,5,-0.9,-3
59,152,60,2010-02-28,24-091,LAL,DEN,6,0,18:57,2,5,.400,0,0,,0,0,,1,0,1,2,1,0,2,1,4,2.0,-10
60,153,61,2010-03-02,24-093,LAL,IND,23,0,22:27,5,10,.500,2,2,1.000,0,0,,1,4,5,4,1,1,0,1,12,13.0,+12
61,154,62,2010-03-04,24-095,LAL,MIA,-3,0,16:04,3,5,.600,0,1,.000,0,0,,0,1,1,1,3,0,1,0,6,6.7,-6
62,155,63,2010-03-05,24-096,LAL,CHA,-15,0,21:35,2,9,.222,0,3,.000,1,2,.500,0,1,1,1,2,2,3,2,5,-0.3,-10
63,156,64,2010-03-07,24-098,LAL,ORL,-2,0,17:34,3,7,.429,1,2,.500,0,0,,0,1,1,2,2,0,0,1,7,6.6,+3
64,157,65,2010-03-09,24-100,LAL,TOR,2,0,18:51,2,9,.222,1,4,.250,0,0,,1,1,2,0,1,0,1,1,5,0.1,-1
65,158,66,2010-03-12,24-103,LAL,PHO,6,0,16:42,3,5,.600,1,2,.500,2,2,1.000,0,0,0,0,0,0,1,3,9,4.5,-7
66,159,67,2010-03-15,24-106,LAL,GSW,3,0,19:15,2,8,.250,1,5,.200,4,5,.800,0,5,5,2,0,2,2,0,9,6.1,-4
67,160,68,2010-03-16,24-107,LAL,SAC,7,0,15:16,2,6,.333,0,1,.000,0,0,,0,0,0,0,1,0,1,2,4,-0.2,-9
68,161,69,2010-03-19,24-110,LAL,MIN,8,0,23:22,3,9,.333,0,2,.000,2,2,1.000,1,1,2,1,1,1,1,2,8,4.5,+5
69,162,70,2010-03-21,24-112,LAL,WAS,7,0,22:01,4,7,.571,3,4,.750,2,2,1.000,0,4,4,2,0,1,0,2,13,12.2,-11
70,163,71,2010-03-24,24-115,LAL,SAS,9,0,13:57,3,5,.600,2,2,1.000,0,0,,0,3,3,0,0,0,0,0,8,6.6,+7
71,164,72,2010-03-26,24-117,LAL,OKC,-16,0,26:20,4,10,.400,1,2,.500,0,0,,2,3,5,1,1,0,0,2,9,6.8,-7
72,165,73,2010-03-27,24-118,LAL,HOU,8,0,27:01,3,5,.600,1,2,.500,2,2,1.000,0,2,2,2,0,2,2,5,9,6.1,+2
73,166,74,2010-03-29,24-120,LAL,NOH,-8,0,16:14,0,4,.000,0,2,.000,2,2,1.000,1,0,1,0,0,0,0,2,2,-0.9,-12
74,167,75,2010-03-31,24-122,LAL,ATL,-17,0,15:28,1,5,.200,0,2,.000,1,1,1.000,1,1,2,0,1,0,0,1,3,1.5,-9
