,pgl_basic,game,date,age,team,opp,gameResult,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
0,46,1,1998-04-24,26-049,LAL,POR,2,1,41:00,13,20,.650,0,0,,4,10,.400,2,5,7,3,2,3,5,3,30,21.7,
1,47,2,1998-04-26,26-051,LAL,POR,9,1,37:00,7,15,.467,0,0,,5,11,.455,5,4,9,2,0,2,3,3,19,12.2,
2,48,3,1998-04-28,26-053,LAL,POR,-5,1,42:00,16,23,.696,0,0,,4,12,.333,5,11,16,4,1,1,4,1,36,30.0,
3,49,4,1998-04-30,26-055,LAL,POR,11,1,40:00,13,17,.765,0,0,,5,9,.556,1,14,15,5,1,4,4,3,31,29.7,
4,50,5,1998-05-04,26-059,LAL,SEA,-14,1,38:00,11,20,.550,0,0,,5,12,.417,5,6,11,4,0,0,4,3,27,17.5,
5,51,6,1998-05-06,26-061,LAL,SEA,24,1,36:00,10,17,.588,0,0,,6,6,1.000,3,7,10,1,1,4,3,2,26,23.0,
6,52,7,1998-05-08,26-063,LAL,SEA,16,1,33:00,10,18,.556,0,0,,10,20,.500,6,4,10,4,0,3,1,4,30,25.1,
7,53,8,1998-05-10,26-065,LAL,SEA,12,1,37:00,15,20,.750,0,0,,9,12,.750,3,5,8,7,0,5,0,1,39,41.4,
8,54,9,1998-05-12,26-067,LAL,SEA,15,1,40:00,12,17,.706,0,0,,7,12,.583,1,8,9,4,0,8,5,3,31,27.2,
9,55,10,1998-05-16,26-071,LAL,UTA,-35,1,35:00,6,16,.375,0,0,,7,16,.438,5,3,8,0,0,2,7,4,19,3.8,
10,56,11,1998-05-18,26-073,LAL,UTA,-4,1,42:00,14,21,.667,0,0,,3,8,.375,2,5,7,1,1,0,2,4,31,20.9,
11,57,12,1998-05-22,26-077,LAL,UTA,-11,1,41:00,17,30,.567,0,0,,5,13,.385,7,8,15,2,0,1,5,6,39,23.6,
12,58,13,1998-05-24,26-079,LAL,UTA,-4,1,39:00,14,24,.583,0,0,,10,18,.556,3,4,7,1,1,1,0,4,38,27.7,
