,pgl_basic,game,date,age,team,opp,gameResult,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
0,1,1,1979-10-12,21-259,NYK,ATL,-17,,,3,,,0,,,0,0,,,,,,,,,,6,,
1,2,2,1979-10-13,21-260,NYK,WSB,7,,,1,,,0,,,1,4,.250,,,,,,,,,3,,
2,3,3,1979-10-16,21-263,NYK,HOU,5,,,1,,,0,,,0,0,,,,,,,,,,2,,
3,4,4,1979-10-18,21-265,NYK,DET,-14,,,4,,,0,,,2,2,1.000,,,,,,,,,10,,
4,5,5,1979-10-19,21-266,NYK,NJN,5,,,2,,,0,,,0,0,,,,,,,,,,4,,
5,6,6,1979-10-20,21-267,NYK,PHI,-25,,,2,,,0,,,4,4,1.000,,,,,,,,,8,,
6,7,7,1979-10-23,21-270,NYK,IND,24,,,3,,,0,,,2,2,1.000,,,,,,,,,8,,
7,8,8,1979-10-26,21-273,NYK,PHI,-11,,,0,,,0,,,0,0,,,,,,,,,,0,,
8,9,9,1979-10-27,21-274,NYK,NJN,2,,,1,,,0,,,0,0,,,,,,,,,,2,,
9,10,10,1979-10-30,21-277,NYK,DEN,-9,,,2,,,0,,,0,0,,,,,,,,,,4,,
10,11,11,1979-11-02,21-280,NYK,KCK,1,,,1,,,0,,,3,4,.750,,,,,,,,,5,,
11,12,12,1979-11-06,21-284,NYK,ATL,-2,,,0,,,0,,,0,0,,,,,,,,,,0,,
12,13,13,1979-11-10,21-288,NYK,SAS,-4,,,0,,,0,,,0,0,,,,,,,,,,0,,
13,14,14,1979-11-13,21-291,NYK,WSB,-4,,,0,,,0,,,0,0,,,,,,,,,,0,,
14,15,15,1979-11-15,21-293,NYK,SAS,-4,,,6,,,0,,,1,2,.500,,,,,,,,,13,,
15,16,16,1979-11-16,21-294,NYK,HOU,-3,,,0,,,0,,,3,5,.600,,,,,,,,,3,,
16,17,17,1979-11-17,21-295,NYK,BOS,4,,,2,,,0,,,0,0,,,,,,,,,,4,,
17,18,18,1979-11-20,21-298,NYK,HOU,5,,,1,,,0,,,2,3,.667,,,,,,,,,4,,
18,19,19,1979-11-21,21-299,NYK,IND,-11,,,3,,,0,,,2,2,1.000,,,,,,,,,8,,
19,20,20,1979-11-24,21-302,NYK,CLE,20,,,2,,,0,,,0,0,,,,,,,,,,4,,
20,21,21,1979-11-27,21-305,NYK,DET,2,,,3,,,0,,,4,6,.667,,,,,,,,,10,,
21,22,22,1979-11-29,21-307,NYK,CLE,-2,,,3,,,0,,,3,4,.750,,,,,,,,,9,,
22,23,23,1979-11-30,21-308,NYK,BOS,-3,,,3,,,0,,,2,2,1.000,,,,,,,,,8,,
23,24,24,1979-12-01,21-309,NYK,DEN,9,,,5,,,0,,,4,6,.667,,,,,,,,,14,,
24,25,25,1979-12-04,21-312,NYK,PHO,4,,,0,,,0,,,0,0,,,,,,,,,,0,,
25,26,26,1979-12-05,21-313,NYK,WSB,3,,,0,,,0,,,0,0,,,,,,,,,,0,,
26,27,27,1979-12-08,21-316,NYK,KCK,-16,,,4,,,0,,,2,3,.667,,,,,,,,,10,,
27,28,28,1979-12-11,21-319,NYK,IND,-2,,,1,,,0,,,0,0,,,,,,,,,,2,,
28,29,29,1979-12-14,21-322,NYK,NJN,-13,,,0,,,0,,,2,2,1.000,,,,,,,,,2,,
29,30,30,1979-12-15,21-323,NYK,BOS,-3,,,0,,,0,,,0,0,,,,,,,,,,0,,
30,31,31,1979-12-20,21-328,NYK,SDC,-10,,,2,,,0,,,2,2,1.000,,,,,,,,,6,,
31,32,32,1979-12-21,21-329,NYK,SEA,-19,,,4,,,0,,,1,2,.500,,,,,,,,,9,,
32,33,33,1979-12-25,21-333,NYK,NJN,29,,,1,,,0,,,0,2,.000,,,,,,,,,2,,
33,34,34,1979-12-28,21-336,NYK,CHI,18,,,0,,,0,,,0,0,,,,,,,,,,0,,
34,35,35,1980-01-03,21-342,NYK,SDC,37,,,5,,,0,,,1,2,.500,,,,,,,,,11,,
35,36,36,1980-01-08,21-347,NYK,PHI,-3,,,2,,,0,,,0,0,,,,,,,,,,4,,
36,37,37,1980-01-09,21-348,NYK,BOS,-17,,,4,,,0,,,0,2,.000,,,,,,,,,8,,
37,38,38,1980-01-11,21-350,NYK,MIL,-2,,,2,,,0,,,0,0,,,,,,,,,,4,,
38,39,39,1980-01-13,21-352,NYK,PHI,-14,,,2,,,0,,,2,3,.667,,,,,,,,,6,,
39,40,40,1980-01-15,21-354,NYK,CLE,-19,,,2,,,0,,,0,0,,,,,,,,,,4,,
40,41,41,1980-01-18,21-357,NYK,SEA,-7,,,0,,,0,,,0,0,,,,,,,,,,0,,
41,42,42,1980-01-21,21-360,NYK,LAL,-18,,,3,,,0,,,1,2,.500,,,,,,,,,7,,
42,43,43,1980-01-23,21-362,NYK,PHO,10,,,0,,,0,,,0,0,,,,,,,,,,0,,
43,44,44,1980-01-28,22-002,NYK,GSW,4,,,0,,,0,,,0,0,,,,,,,,,,0,,
44,45,45,1980-01-31,22-005,NYK,IND,10,,,0,,,0,,,0,0,,,,,,,,,,0,,
45,46,46,1980-02-05,22-010,NYK,LAL,-11,,,0,,,0,,,0,0,,,,,,,,,,0,,
46,47,47,1980-02-13,22-018,NYK,HOU,-5,,,0,,,0,,,2,2,1.000,,,,,,,,,2,,
47,48,48,1980-02-16,22-021,NYK,UTA,-19,,,1,,,0,,,0,0,,,,,,,,,,2,,
