,pgl_basic,game,date,age,team,opp,gameResult,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
0,309,1,1980-10-10,25-202,GSW,PHO,-20,,,5,,,0,,,0,0,,,,,,,,,,10,,
1,310,2,1980-10-11,25-203,GSW,SDC,13,,,2,,,0,,,3,4,.750,,,,,,,,,7,,
2,311,3,1980-10-15,25-207,GSW,POR,3,,,5,,,0,,,6,6,1.000,,,,,,,,,16,,
3,312,4,1980-10-18,25-210,GSW,HOU,7,,,1,,,0,,,0,0,,,,,,,,,,2,,
4,313,5,1980-10-19,25-211,GSW,LAL,-18,,,2,,,0,,,0,0,,,,,,,,,,4,,
5,314,6,1980-10-21,25-213,GSW,KCK,5,,,5,,,0,,,6,7,.857,,,,,,,,,16,,
6,315,7,1980-10-23,25-215,GSW,SAS,-19,,,1,,,0,,,0,0,,,,,,,,,,2,,
7,316,8,1980-10-28,25-220,GSW,SEA,-17,,,0,,,0,,,0,0,,,,,,,,,,0,,
8,317,9,1980-10-29,25-221,GSW,DEN,6,,,2,,,0,,,0,0,,,,,,,,,,4,,
9,318,10,1980-10-31,25-223,GSW,SDC,-16,,,3,,,0,,,4,5,.800,,,,,,,,,10,,
10,319,11,1980-11-01,25-224,GSW,SAS,15,,,3,,,0,,,2,2,1.000,,,,,,,,,8,,
11,320,12,1980-11-05,25-228,GSW,CLE,8,,,1,,,0,,,0,0,,,,,,,,,,2,,
12,321,13,1980-11-07,25-230,GSW,POR,-9,,,2,,,0,,,3,3,1.000,,,,,,,,,7,,
13,322,14,1980-11-08,25-231,GSW,IND,7,,,3,,,0,,,2,2,1.000,,,,,,,,,8,,
14,323,15,1980-11-12,25-235,GSW,KCK,10,,,2,,,0,,,1,2,.500,,,,,,,,,5,,
15,324,16,1980-11-15,25-238,GSW,PHO,11,,,6,,,0,,,0,0,,,,,,,,,,12,,
16,325,17,1980-11-18,25-241,GSW,WSB,6,,,0,,,0,,,0,0,,,,,,,,,,0,,
17,326,18,1980-11-19,25-242,GSW,PHI,-9,,,4,,,0,,,4,5,.800,,,,,,,,,12,,
18,327,19,1980-11-21,25-244,GSW,BOS,-2,,,1,,,0,,,0,0,,,,,,,,,,2,,
19,328,20,1980-11-22,25-245,GSW,NYK,6,,,4,,,0,,,2,2,1.000,,,,,,,,,10,,
20,329,21,1980-11-27,25-250,GSW,LAL,-9,,,1,,,0,,,1,2,.500,,,,,,,,,3,,
21,330,22,1980-11-29,25-252,GSW,PHO,-5,,,0,,,0,,,2,2,1.000,,,,,,,,,2,,
22,331,23,1980-11-30,25-253,GSW,SDC,-20,,,6,,,0,,,6,7,.857,,,,,,,,,18,,
23,332,24,1980-12-03,25-256,GSW,NJN,23,,,6,,,0,,,5,5,1.000,,,,,,,,,17,,
24,333,25,1980-12-05,25-258,GSW,DEN,5,,,2,,,0,,,0,0,,,,,,,,,,4,,
25,334,26,1980-12-06,25-259,GSW,LAL,16,,,1,,,0,,,2,2,1.000,,,,,,,,,4,,
26,335,27,1980-12-07,25-260,GSW,PHO,-18,,,3,,,0,,,0,0,,,,,,,,,,6,,
27,336,28,1980-12-10,25-263,GSW,SEA,-5,,,4,,,0,,,0,0,,,,,,,,,,8,,
28,337,29,1980-12-13,25-266,GSW,HOU,-2,,,2,,,0,,,0,0,,,,,,,,,,4,,
29,338,30,1980-12-14,25-267,GSW,LAL,-9,,,7,,,0,,,0,1,.000,,,,,,,,,14,,
30,339,31,1980-12-17,25-270,GSW,POR,-2,,,2,,,0,,,2,2,1.000,,,,,,,,,6,,
31,340,32,1980-12-19,25-272,GSW,SAS,-15,,,5,,,0,,,1,3,.333,,,,,,,,,11,,
32,341,33,1980-12-20,25-273,GSW,DAL,3,,,3,,,0,,,0,0,,,,,,,,,,6,,
