,pgl_basic,game,date,age,team,opp,gameResult,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
0,113,1,1987-11-06,24-116,ATL,WSB,17,0,13:00,3,5,.600,0,0,,2,3,.667,1,1,2,10,0,0,2,5,8,9.3,
1,114,2,1987-11-07,24-117,ATL,CLE,8,0,22:00,1,3,.333,0,0,,4,7,.571,1,4,5,6,1,0,3,3,6,6.0,
2,115,3,1987-11-10,24-120,ATL,CHI,-10,0,28:00,4,10,.400,0,0,,6,6,1.000,0,3,3,10,1,0,5,1,14,12.1,
3,116,4,1987-11-11,24-121,ATL,NYK,1,1,35:00,3,7,.429,0,0,,2,2,1.000,0,3,3,9,4,0,4,3,8,10.3,
4,117,5,1987-11-14,24-124,ATL,PHI,21,0,19:00,4,5,.800,0,0,,0,0,,0,3,3,9,0,0,1,2,8,11.5,
5,118,6,1987-11-15,24-125,ATL,MIL,-9,0,15:00,5,7,.714,0,0,,1,2,.500,0,2,2,4,0,1,3,1,11,8.4,
6,119,7,1987-11-18,24-128,ATL,GSW,3,0,13:00,1,4,.250,0,0,,1,2,.500,1,1,2,2,1,0,0,0,3,3.6,
7,120,8,1987-11-20,24-130,ATL,CHI,-2,0,6:00,0,1,.000,0,0,,0,2,.000,0,2,2,0,0,0,0,0,0,-0.9,
8,121,9,1987-11-21,24-131,ATL,HOU,10,0,17:00,2,6,.333,0,1,.000,0,0,,0,2,2,4,1,0,1,3,4,2.8,
9,122,10,1987-11-25,24-135,ATL,BOS,-15,0,12:00,5,6,.833,0,0,,2,2,1.000,0,2,2,4,0,0,2,1,12,10.8,
10,123,11,1987-11-27,24-137,ATL,IND,-2,0,4:00,0,2,.000,0,0,,0,0,,0,0,0,2,0,0,2,1,0,-2.4,
11,124,12,1987-11-28,24-138,ATL,SAS,24,0,22:00,7,9,.778,0,1,.000,0,0,,0,2,2,7,3,1,1,2,14,17.9,
12,125,13,1987-12-01,24-141,ATL,BOS,14,0,16:00,1,3,.333,0,0,,5,6,.833,0,2,2,9,5,0,0,0,7,16.8,
13,126,14,1987-12-03,24-143,ATL,WSB,8,0,16:00,1,5,.200,0,0,,0,0,,0,0,0,5,1,0,2,3,2,0.2,
14,127,15,1987-12-04,24-144,ATL,NJN,37,0,28:00,4,9,.444,0,0,,2,3,.667,1,2,3,15,2,0,3,1,10,15.3,
15,128,16,1987-12-08,24-148,ATL,LAC,11,0,8:00,0,3,.000,0,0,,2,2,1.000,0,1,1,3,1,0,1,0,2,2.3,
16,129,17,1987-12-09,24-149,ATL,PHO,-12,0,15:00,3,7,.429,0,3,.000,1,1,1.000,1,1,2,4,1,0,2,3,7,4.9,
17,130,18,1987-12-11,24-151,ATL,GSW,16,0,14:00,0,2,.000,0,0,,0,0,,0,1,1,3,0,0,1,2,0,-0.8,
18,131,19,1987-12-13,24-153,ATL,SAC,6,0,17:00,1,4,.250,0,1,.000,0,0,,0,0,0,6,0,0,1,0,2,2.8,
19,132,20,1987-12-15,24-155,ATL,IND,2,0,11:00,3,5,.600,0,0,,0,0,,0,1,1,0,0,0,1,0,6,3.0,
20,133,21,1987-12-18,24-158,ATL,MIL,7,0,16:00,1,2,.500,0,0,,0,0,,0,4,4,8,0,0,2,0,2,5.8,
21,134,22,1987-12-19,24-159,ATL,UTA,6,0,31:00,5,8,.625,0,0,,0,0,,0,3,3,5,1,0,4,2,10,7.0,
22,135,23,1987-12-22,24-162,ATL,HOU,-19,0,17:00,4,7,.571,0,0,,3,3,1.000,0,2,2,3,1,0,1,2,11,9.6,
23,136,24,1987-12-25,24-165,ATL,PHI,6,0,12:00,2,4,.500,0,0,,0,0,,0,0,0,3,1,0,1,0,4,4.1,
24,137,25,1987-12-26,24-166,ATL,NYK,27,0,20:00,1,1,1.000,0,0,,2,2,1.000,1,4,5,5,0,0,2,2,4,6.3,
25,138,26,1987-12-29,24-169,ATL,CHI,10,0,9:00,0,1,.000,0,0,,0,0,,0,0,0,0,1,0,1,1,0,-1.1,
26,139,27,1987-12-30,24-170,ATL,CLE,7,0,9:00,0,2,.000,0,0,,2,2,1.000,0,0,0,2,0,0,1,3,2,-0.2,
27,140,28,1988-01-03,24-174,ATL,LAC,37,0,25:00,4,7,.571,0,1,.000,4,5,.800,1,6,7,5,2,1,4,1,12,12.6,
28,141,29,1988-01-05,24-176,ATL,DET,10,0,14:00,1,4,.250,0,0,,0,0,,1,0,1,1,0,0,1,1,2,-0.4,
29,142,30,1988-01-06,24-177,ATL,DET,-3,0,12:00,2,6,.333,0,1,.000,0,0,,0,0,0,0,0,1,1,1,4,-0.1,
30,143,31,1988-01-08,24-179,ATL,CLE,4,0,18:00,3,4,.750,0,0,,2,2,1.000,0,0,0,6,0,0,1,1,8,9.2,
31,144,32,1988-01-09,24-180,ATL,DEN,8,0,14:00,2,4,.500,0,0,,2,2,1.000,0,0,0,1,0,1,3,1,6,2.0,
32,145,33,1988-01-13,24-184,ATL,SAS,10,0,14:00,4,6,.667,0,0,,0,0,,0,4,4,1,2,0,2,0,8,7.3,
33,146,34,1988-01-14,24-185,ATL,DEN,-3,0,10:00,3,7,.429,0,1,.000,3,5,.600,0,0,0,1,0,0,0,2,9,4.4,
34,147,35,1988-01-16,24-187,ATL,DAL,3,0,15:00,2,6,.333,0,1,.000,2,2,1.000,0,1,1,5,1,0,1,1,6,6.0,
35,148,36,1988-01-18,24-189,ATL,NYK,-8,0,16:00,4,5,.800,0,0,,0,0,,0,1,1,3,0,0,0,1,8,8.1,
36,149,37,1988-01-19,24-190,ATL,CHI,12,0,6:00,0,2,.000,0,1,.000,0,0,,0,1,1,0,0,0,1,2,0,-2.9,
37,150,38,1988-01-21,24-192,ATL,CLE,8,0,15:00,0,4,.000,0,0,,2,2,1.000,0,0,0,1,0,1,0,2,2,-0.2,
38,151,39,1988-01-22,24-193,ATL,BOS,-18,0,11:00,4,4,1.000,0,0,,0,0,,0,0,0,4,1,0,2,1,8,8.2,
39,152,40,1988-01-24,24-195,ATL,NJN,7,0,16:00,2,3,.667,0,0,,0,0,,0,1,1,3,0,0,3,2,4,1.3,
40,153,41,1988-01-26,24-197,ATL,BOS,-5,0,16:00,0,3,.000,0,0,,1,2,.500,0,4,4,2,1,0,1,1,1,0.7,
41,154,42,1988-01-29,24-200,ATL,LAL,-10,0,9:00,1,2,.500,0,0,,1,2,.500,1,1,2,0,0,0,3,2,3,-1.2,
42,155,43,1988-01-30,24-201,ATL,UTA,-6,0,22:00,6,7,.857,0,1,.000,0,0,,1,1,2,2,0,0,2,4,12,8.3,
43,156,44,1988-02-02,24-204,ATL,POR,-3,0,8:00,1,4,.250,0,1,.000,2,2,1.000,1,0,1,0,0,0,0,1,4,1.9,
44,157,45,1988-02-04,24-206,ATL,SEA,10,0,11:00,0,1,.000,0,0,,1,2,.500,0,3,3,1,0,0,1,2,1,-0.3,
45,158,46,1988-02-09,24-211,ATL,PHI,2,0,12:00,3,7,.429,0,0,,0,0,,0,1,1,3,0,0,4,2,6,-0.1,
46,159,47,1988-02-12,24-214,ATL,DET,-16,0,20:00,2,6,.333,0,0,,0,0,,0,2,2,3,2,0,4,2,4,0.5,
47,160,48,1988-02-13,24-215,ATL,WSB,2,0,19:00,1,4,.250,0,0,,0,0,,0,4,4,9,0,1,0,1,2,7.4,
48,161,49,1988-02-15,24-217,ATL,CHI,-19,0,16:00,2,4,.500,0,0,,1,1,1.000,0,2,2,6,1,0,1,2,5,7.0,
49,162,50,1988-02-16,24-218,ATL,SAC,-3,0,17:00,3,7,.429,0,0,,2,2,1.000,1,1,2,4,0,0,0,1,8,7.7,
50,163,51,1988-02-19,24-221,ATL,LAL,-7,0,22:00,2,5,.400,0,0,,2,2,1.000,0,1,1,11,2,0,1,1,6,11.9,
51,164,52,1988-02-21,24-223,ATL,SEA,16,0,16:00,2,4,.500,0,0,,4,4,1.000,0,2,2,3,1,0,4,1,8,5.3,
52,165,53,1988-02-23,24-225,ATL,IND,20,0,16:00,3,6,.500,0,0,,0,0,,0,3,3,11,0,0,4,1,6,7.2,
53,166,54,1988-02-26,24-228,ATL,IND,15,0,14:00,4,7,.571,0,0,,1,1,1.000,0,0,0,5,1,0,1,1,9,8.8,
54,167,55,1988-02-27,24-229,ATL,POR,-3,0,16:00,2,6,.333,0,0,,1,1,1.000,0,5,5,5,1,0,2,4,5,4.0,
55,168,56,1988-03-01,24-232,ATL,DET,-13,0,25:00,0,4,.000,0,0,,0,0,,1,1,2,5,0,1,4,2,0,-2.4,
56,169,57,1988-03-05,24-236,ATL,MIL,-3,0,17:00,6,10,.600,0,0,,0,1,.000,0,2,2,3,1,0,0,0,12,10.7,
57,170,58,1988-03-08,24-239,ATL,PHO,30,0,18:00,4,5,.800,0,0,,3,5,.600,0,1,1,4,1,0,1,2,11,10.6,
58,171,59,1988-03-11,24-242,ATL,NYK,7,0,16:00,4,5,.800,0,0,,2,2,1.000,0,2,2,4,0,0,1,1,10,10.1,
59,172,60,1988-03-13,24-244,ATL,BOS,-17,0,19:00,4,10,.400,0,0,,1,1,1.000,0,0,0,5,2,0,1,2,9,7.3,
60,173,61,1988-03-15,24-246,ATL,PHI,14,0,22:00,1,7,.143,0,0,,2,2,1.000,0,3,3,5,3,0,0,2,4,6.1,
61,174,62,1988-03-18,24-249,ATL,NJN,2,0,17:00,1,1,1.000,0,0,,2,2,1.000,0,2,2,3,0,0,0,1,4,6.0,
62,175,63,1988-03-19,24-250,ATL,NYK,-6,0,21:00,2,5,.400,0,0,,4,4,1.000,0,3,3,7,0,0,2,5,8,7.1,
63,176,64,1988-03-21,24-252,ATL,MIL,10,0,15:00,3,4,.750,0,0,,0,0,,0,2,2,2,1,0,1,1,6,6.0,
64,177,65,1988-03-22,24-253,ATL,MIL,-13,0,22:00,1,5,.200,0,0,,1,2,.500,0,2,2,4,0,1,4,2,3,-1.2,
65,178,66,1988-03-24,24-255,ATL,WSB,-3,0,16:00,1,1,1.000,0,0,,0,0,,0,1,1,1,2,0,0,3,2,3.5,
66,179,67,1988-03-26,24-257,ATL,CLE,7,0,17:00,1,1,1.000,0,0,,0,0,,0,0,0,4,0,0,2,1,2,2.1,
67,180,68,1988-03-29,24-260,ATL,DAL,14,0,21:00,3,7,.429,0,0,,1,2,.500,0,3,3,5,0,0,0,2,7,6.5,
68,181,69,1988-03-30,24-261,ATL,DET,1,0,16:00,3,6,.500,0,2,.000,3,3,1.000,0,3,3,5,1,0,2,2,9,8.6,
69,182,70,1988-04-01,24-263,ATL,PHI,12,0,16:00,3,3,1.000,0,0,,0,0,,0,1,1,5,0,0,2,1,6,6.5,
