,pgl_basic,game,date,age,team,opp,gameResult,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
0,1,1,1993-12-04,23-055,MIN,SEA,-17,0,4:00,1,2,.500,1,1,1.000,0,0,,0,0,0,0,1,0,1,1,3,1.6,
1,2,2,1993-12-14,23-065,MIN,CHH,-16,0,2:00,0,2,.000,0,1,.000,0,0,,1,0,1,0,0,0,0,0,0,-0.7,
2,3,3,1993-12-17,23-068,MIN,LAC,15,0,2:00,2,2,1.000,0,0,,0,0,,1,1,2,0,0,0,0,0,4,4.4,
3,4,4,1993-12-18,23-069,MIN,POR,-10,0,1:00,1,1,1.000,0,0,,0,0,,0,0,0,0,0,0,0,0,2,1.7,
4,5,5,1994-02-18,23-131,MIN,CLE,-7,0,7:00,0,1,.000,0,0,,0,0,,0,1,1,1,0,0,0,0,0,0.3,
5,6,6,1994-03-02,23-143,MIN,MIA,-8,0,1:00,0,0,,0,0,,0,0,,0,0,0,0,0,0,1,0,0,-1.0,
6,7,7,1994-03-04,23-145,MIN,PHO,-5,0,3:00,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,
7,8,8,1994-03-06,23-147,MIN,DEN,-20,0,6:00,0,0,,0,0,,0,0,,0,2,2,0,0,0,1,1,0,-0.8,
8,9,9,1994-03-09,23-150,MIN,SAC,-8,0,2:00,1,1,1.000,0,0,,0,0,,0,1,1,0,0,0,0,1,2,1.6,
9,10,10,1994-04-09,23-181,MIN,GSW,-12,0,1:00,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-0.4,
10,11,11,1994-04-11,23-183,MIN,SAS,-12,0,1:00,1,1,1.000,0,0,,2,2,1.000,0,0,0,0,0,0,0,0,4,3.7,
11,12,12,1994-04-12,23-184,MIN,HOU,-9,0,1:00,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-0.4,
12,13,13,1994-04-15,23-187,MIN,IND,-18,0,1:00,0,1,.000,0,0,,0,0,,1,0,1,0,0,0,0,0,0,0.0,
13,14,14,1994-04-19,23-191,MIN,MIA,-27,0,29:00,4,9,.444,0,1,.000,0,0,,4,7,11,6,2,0,4,3,8,9.2,
14,15,15,1994-04-20,23-192,MIN,ORL,-20,0,11:00,2,4,.500,0,1,.000,0,0,,1,1,2,5,2,0,1,3,4,6.3,
15,16,16,1994-04-22,23-194,MIN,POR,-15,0,8:00,2,4,.500,0,0,,0,0,,3,1,4,2,0,0,0,0,4,5.8,
16,17,17,1994-04-24,23-196,MIN,DAL,-14,0,12:00,3,5,.600,0,1,.000,1,1,1.000,1,1,2,2,0,0,2,2,7,4.3,
