,pgl_basic,game,date,age,team,opp,gameResult,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
0,726,1,2006-11-01,29-254,NYK,MEM,1,1,45:47,6,13,.462,1,3,.333,6,8,.750,1,1,2,8,1,0,4,6,19,12.7,-4
1,727,2,2006-11-03,29-256,NYK,ATL,-10,1,38:21,2,9,.222,0,2,.000,5,6,.833,0,3,3,5,0,0,1,2,9,5.7,+4
2,728,3,2006-11-04,29-257,NYK,IND,-14,1,26:28,1,9,.111,1,2,.500,1,2,.500,1,2,3,1,1,0,6,1,4,-5.7,-17
3,729,4,2006-11-06,29-259,NYK,SAS,-12,1,34:43,5,10,.500,2,3,.667,6,8,.750,0,2,2,3,0,0,1,3,18,12.7,-17
4,730,5,2006-11-08,29-261,NYK,DEN,2,1,35:23,2,6,.333,2,2,1.000,4,4,1.000,1,1,2,6,1,0,0,2,10,12.0,-2
5,731,6,2006-11-10,29-263,NYK,HOU,-9,1,46:41,8,11,.727,2,4,.500,4,8,.500,0,4,4,5,1,0,2,1,22,19.2,-9
6,732,7,2006-11-11,29-264,NYK,SAS,-8,1,40:08,6,12,.500,0,2,.000,0,0,,0,1,1,3,2,0,1,2,12,8.6,-10
7,733,8,2006-11-13,29-266,NYK,CLE,-6,1,36:26,0,6,.000,0,1,.000,2,2,1.000,0,3,3,7,3,0,3,4,2,2.0,-4
8,734,9,2006-11-15,29-268,NYK,WAS,20,1,31:46,6,16,.375,2,4,.500,2,2,1.000,2,2,4,4,1,1,0,5,16,11.7,+10
9,735,10,2006-11-17,29-270,NYK,MIA,24,1,24:53,4,6,.667,0,0,,0,0,,1,2,3,5,1,0,0,1,8,10.8,+18
10,736,11,2006-11-18,29-271,NYK,BOS,-4,1,44:21,3,10,.300,0,2,.000,2,4,.500,1,0,1,8,1,0,0,2,8,7.9,0
11,737,12,2006-11-20,29-273,NYK,HOU,-7,1,19:35,1,2,.500,1,2,.500,0,0,,0,0,0,3,0,1,4,2,3,0.0,-14
12,738,13,2006-11-22,29-275,NYK,MIN,-18,1,35:22,7,15,.467,0,1,.000,4,5,.800,0,1,1,3,0,0,5,2,18,6.5,-15
13,739,14,2006-11-24,29-277,NYK,BOS,24,1,19:53,1,4,.250,0,1,.000,0,0,,0,2,2,3,0,0,2,3,2,-0.9,+2
14,740,15,2006-11-25,29-278,NYK,CHI,-11,1,19:20,0,0,,0,0,,0,0,,0,1,1,4,0,0,1,2,0,1.3,-16
15,741,16,2006-11-28,29-281,NYK,CHI,-17,1,40:31,2,13,.154,0,2,.000,3,6,.500,1,2,3,4,1,1,5,3,7,-2.9,-14
16,742,17,2006-11-29,29-282,NYK,CLE,3,1,32:24,5,10,.500,1,2,.500,2,2,1.000,0,1,1,5,1,1,4,4,13,7.9,+16
17,743,18,2006-12-01,29-284,NYK,DET,-8,1,36:44,4,15,.267,1,3,.333,4,4,1.000,0,5,5,6,2,0,0,2,13,11.0,-15
18,744,19,2006-12-02,29-285,NYK,TOR,-3,1,33:39,6,13,.462,0,2,.000,3,3,1.000,0,1,1,4,0,0,2,3,15,8.2,-12
19,745,20,2006-12-04,29-287,NYK,MEM,8,1,38:39,6,10,.600,0,1,.000,4,5,.800,0,1,1,6,1,0,4,2,16,11.7,+8
20,746,21,2006-12-06,29-289,NYK,WAS,-11,1,36:44,5,15,.333,1,3,.333,5,6,.833,0,3,3,4,2,0,1,5,16,9.8,-17
21,747,22,2006-12-09,29-292,NYK,MIL,8,1,23:43,1,4,.250,0,0,,0,2,.000,0,1,1,9,0,0,1,1,2,4.0,+9
22,748,23,2006-12-11,29-294,NYK,BOS,-7,1,38:12,7,16,.438,1,5,.200,0,2,.000,1,2,3,3,2,0,2,2,15,8.4,-10
23,749,24,2006-12-13,29-296,NYK,ATL,12,1,30:23,3,5,.600,1,2,.500,6,8,.750,0,2,2,6,2,0,2,3,13,13.5,+15
24,750,25,2006-12-15,29-298,NYK,IND,-16,1,23:38,2,6,.333,0,0,,2,2,1.000,0,4,4,1,0,0,1,1,6,3.1,-20
25,751,26,2006-12-16,29-299,NYK,DEN,-23,1,41:29,13,24,.542,3,8,.375,2,4,.500,2,1,3,8,1,0,2,3,31,23.7,-18
26,752,27,2006-12-18,29-301,NYK,UTA,1,1,45:06,9,20,.450,2,6,.333,9,13,.692,1,4,5,8,1,0,4,0,29,21.5,-6
27,753,28,2006-12-20,29-303,NYK,CHA,2,1,52:52,2,12,.167,0,3,.000,6,7,.857,0,5,5,9,1,0,1,1,10,9.4,-2
28,754,29,2006-12-22,29-305,NYK,CHI,11,1,41:01,6,18,.333,2,7,.286,5,9,.556,1,3,4,8,1,0,4,3,19,10.2,+20
29,755,30,2006-12-23,29-306,NYK,PHI,-21,1,25:15,2,7,.286,1,4,.250,0,0,,0,0,0,5,0,1,2,1,5,2.7,-9
30,756,31,2006-12-27,29-310,NYK,DET,6,1,50:34,13,23,.565,3,9,.333,12,15,.800,0,5,5,8,1,0,2,6,41,32.6,0
31,757,32,2006-12-29,29-312,NYK,PHO,-22,1,37:53,5,17,.294,1,5,.200,3,4,.750,0,1,1,4,0,0,4,4,14,1.2,-10
32,758,33,2006-12-31,29-314,NYK,LAC,-10,1,43:58,3,13,.231,0,4,.000,8,10,.800,1,3,4,8,1,0,2,4,14,9.9,-3
33,759,34,2007-01-02,29-316,NYK,SAC,-12,1,43:00,6,13,.462,1,5,.200,4,6,.667,1,3,4,8,1,1,1,1,17,17.0,-14
34,760,35,2007-01-03,29-317,NYK,POR,18,1,37:42,6,12,.500,2,5,.400,3,6,.500,1,6,7,7,0,0,1,3,17,15.0,+7
35,761,36,2007-01-05,29-319,NYK,SEA,18,1,39:34,9,17,.529,5,7,.714,5,5,1.000,0,2,2,4,0,0,1,3,28,20.9,+17
36,762,37,2007-01-10,29-324,NYK,PHI,7,1,36:32,6,9,.667,3,5,.600,9,9,1.000,1,3,4,6,3,0,7,3,24,20.7,+8
