,pgl_basic,game,date,age,team,opp,gameResult,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
0,453,1,2005-11-02,28-254,ORL,IND,-12,1,39:52,6,14,.429,0,3,.000,3,5,.600,4,5,9,7,3,1,3,2,15,15.9,-9
1,454,2,2005-11-04,28-256,ORL,MEM,-9,1,40:44,9,17,.529,0,4,.000,4,6,.667,0,2,2,7,0,1,2,5,22,15.1,-6
2,455,3,2005-11-05,28-257,ORL,WAS,-8,1,40:24,5,16,.313,1,2,.500,5,7,.714,3,6,9,6,2,0,3,5,16,11.1,-12
3,456,4,2005-11-08,28-260,ORL,HOU,2,1,42:02,12,26,.462,1,6,.167,2,4,.500,0,3,3,5,1,0,2,1,27,15.8,+6
4,457,5,2005-11-09,28-261,ORL,NOK,5,1,39:26,7,19,.368,2,3,.667,8,9,.889,2,6,8,4,0,0,5,3,24,12.9,+6
5,458,6,2005-11-13,28-265,ORL,CLE,-8,1,46:49,7,16,.438,0,2,.000,8,8,1.000,2,4,6,7,2,1,5,3,22,17.6,-7
6,459,7,2005-11-15,28-267,ORL,CHA,8,1,37:12,6,10,.600,0,0,,1,3,.333,0,5,5,6,1,0,3,0,13,11.3,+17
7,460,8,2005-11-18,28-270,ORL,CLE,-18,1,36:33,6,13,.462,0,0,,9,13,.692,2,0,2,5,2,1,2,3,21,17.1,-20
8,461,9,2005-11-19,28-271,ORL,NOK,-3,1,34:52,8,11,.727,2,3,.667,3,6,.500,2,0,2,5,1,0,3,2,21,17.4,-8
9,462,10,2005-11-25,28-277,ORL,POR,15,1,32:05,5,9,.556,1,1,1.000,1,1,1.000,0,5,5,9,0,0,3,3,12,11.3,+10
10,463,11,2005-11-26,28-278,ORL,MIA,3,1,36:50,3,8,.375,0,1,.000,4,5,.800,0,6,6,4,1,0,2,3,10,7.6,+5
11,464,12,2005-11-28,28-280,ORL,BOS,4,1,37:04,6,15,.400,1,3,.333,6,9,.667,2,2,4,7,0,0,1,2,19,14.8,0
12,465,13,2005-11-29,28-281,ORL,CHI,-9,1,43:35,2,9,.222,0,1,.000,5,7,.714,2,1,3,8,1,0,6,3,9,3.8,-12
13,466,14,2005-12-07,28-289,ORL,CHI,-9,1,36:51,5,11,.455,0,1,.000,6,7,.857,1,4,5,6,3,1,6,6,16,11.3,-2
14,467,15,2005-12-10,28-292,ORL,DEN,11,1,37:06,5,14,.357,1,2,.500,4,4,1.000,2,3,5,7,2,0,3,3,15,12.2,-1
15,468,16,2005-12-14,28-296,ORL,NYK,15,1,40:42,3,16,.188,0,3,.000,4,7,.571,1,6,7,3,2,0,2,3,10,2.2,+11
16,469,17,2005-12-16,28-298,ORL,DAL,-6,1,40:56,6,13,.462,0,1,.000,4,5,.800,1,2,3,4,0,0,2,5,16,9.0,-1
17,470,18,2005-12-19,28-301,ORL,TOR,-2,1,33:54,6,14,.429,0,0,,8,10,.800,0,5,5,5,2,1,4,2,20,14.7,-1
18,471,19,2005-12-21,28-303,ORL,NJN,-11,1,41:11,7,13,.538,1,2,.500,1,2,.500,1,5,6,3,1,0,7,2,16,6.8,-8
19,472,20,2005-12-23,28-305,ORL,LAL,-16,1,41:09,8,14,.571,0,3,.000,12,17,.706,2,3,5,9,2,1,2,5,28,26.7,-8
20,473,21,2005-12-26,28-308,ORL,MIL,15,1,43:59,8,14,.571,0,0,,5,6,.833,2,4,6,6,2,0,3,3,21,18.6,+20
21,474,22,2005-12-28,28-310,ORL,NYK,10,1,34:39,6,11,.545,0,0,,5,7,.714,2,1,3,6,1,0,1,1,17,16.4,+12
22,475,23,2005-12-30,28-312,ORL,MIN,20,1,32:16,7,13,.538,0,1,.000,7,8,.875,1,4,5,2,2,1,2,2,21,17.5,+1
23,476,24,2006-01-03,28-316,ORL,DET,-9,1,36:41,3,7,.429,0,0,,3,5,.600,0,0,0,5,0,0,4,3,9,2.8,-14
