,pgl_basic,game,date,age,team,opp,gameResult,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
0,1,1,2007-11-02,20-339,POR,NOH,-20,0,2:26,1,1,1.000,1,1,1.000,0,0,,0,1,1,1,0,0,0,0,3,3.7,+9
1,2,2,2007-11-03,20-340,POR,HOU,-9,0,2:57,0,1,.000,0,0,,0,0,,0,0,0,0,1,0,0,0,0,0.3,-9
2,3,3,2007-11-14,20-351,POR,DEN,-17,0,7:11,0,2,.000,0,2,.000,6,6,1.000,0,1,1,2,0,0,2,0,6,4.3,+3
3,4,4,2007-11-17,20-354,POR,WAS,-19,0,11:36,0,3,.000,0,2,.000,0,0,,0,0,0,2,0,0,1,3,0,-2.9,-13
4,5,5,2008-01-09,21-042,POR,GSW,18,0,5:31,0,4,.000,0,2,.000,0,0,,0,0,0,1,0,0,0,0,0,-2.1,-3
5,6,6,2008-01-14,21-047,POR,NJN,26,0,2:31,0,0,,0,0,,0,0,,0,1,1,0,0,0,1,0,0,-0.7,-1
6,7,7,2008-02-08,21-072,POR,DET,-9,0,8:15,2,4,.500,0,1,.000,2,2,1.000,0,1,1,2,0,0,2,0,6,3.7,+13
7,8,8,2008-02-13,21-077,POR,DAL,-20,0,3:22,1,1,1.000,0,0,,0,0,,0,0,0,0,0,0,1,0,2,0.7,0
8,9,9,2008-02-27,21-091,DEN,SEA,42,0,6:16,1,2,.500,0,0,,2,2,1.000,0,3,3,1,0,0,0,1,4,4.2,+6
9,10,10,2008-03-02,21-095,DEN,HOU,-14,0,1:14,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,0,0,0.3,+3
10,11,11,2008-03-08,21-101,DEN,UTA,-27,0,4:28,0,1,.000,0,1,.000,0,0,,0,0,0,0,1,0,1,0,0,-0.7,0
11,12,12,2008-03-12,21-105,DEN,MEM,22,0,4:15,0,3,.000,0,1,.000,0,0,,0,1,1,1,0,0,0,1,0,-1.5,-3
12,13,13,2008-03-14,21-107,DEN,TOR,32,0,5:05,0,1,.000,0,0,,1,2,.500,0,0,0,0,0,0,0,0,1,-0.1,0
13,14,14,2008-03-16,21-109,DEN,SEA,52,0,5:31,2,2,1.000,1,1,1.000,0,0,,0,1,1,1,0,0,1,0,5,4.4,+5
14,15,15,2008-03-18,21-111,DEN,DET,-16,0,0:19,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,0
15,16,16,2008-03-21,21-114,DEN,NJN,11,0,0:42,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-2
16,17,17,2008-03-24,21-117,DEN,MEM,14,0,2:08,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-5
