,pgl_basic,game,date,age,team,opp,gameResult,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
0,82,1,2007-04-21,27-052,DET,ORL,8,1,36:38,4,7,.571,0,0,,4,6,.667,0,2,2,6,0,1,2,2,12,10.6,+8
1,83,2,2007-04-23,27-054,DET,ORL,8,1,35:59,7,13,.538,3,3,1.000,1,2,.500,3,3,6,1,0,0,1,4,18,12.4,+19
2,84,3,2007-04-26,27-057,DET,ORL,16,1,43:22,8,16,.500,3,5,.600,4,4,1.000,1,6,7,5,3,0,2,0,23,22.0,+13
3,85,4,2007-04-28,27-059,DET,ORL,4,1,38:19,4,7,.571,1,2,.500,4,4,1.000,3,3,6,3,0,1,3,0,13,12.5,0
4,86,5,2007-05-05,27-066,DET,CHI,26,1,37:36,5,13,.385,1,3,.333,2,2,1.000,2,6,8,4,1,0,1,0,13,11.9,+25
5,87,6,2007-05-07,27-068,DET,CHI,21,1,40:54,9,20,.450,3,7,.429,4,6,.667,1,6,7,2,1,0,2,3,25,15.5,+17
6,88,7,2007-05-10,27-071,DET,CHI,7,1,42:41,9,16,.563,1,2,.500,4,5,.800,2,9,11,2,0,1,0,0,23,21.2,+17
7,89,8,2007-05-13,27-074,DET,CHI,-15,1,43:29,8,16,.500,2,5,.400,0,2,.000,1,6,7,4,3,0,1,3,18,15.3,-12
8,90,9,2007-05-15,27-076,DET,CHI,-16,1,36:50,5,11,.455,1,3,.333,0,0,,1,2,3,3,2,0,2,1,11,8.3,-13
9,91,10,2007-05-17,27-078,DET,CHI,10,1,45:14,8,15,.533,1,2,.500,0,1,.000,1,8,9,3,0,1,0,2,17,14.4,+16
10,92,11,2007-05-21,27-082,DET,CLE,3,1,43:18,1,11,.091,0,4,.000,6,6,1.000,2,4,6,9,0,0,3,1,8,6.2,+7
11,93,12,2007-05-24,27-085,DET,CLE,3,1,41:06,0,8,.000,0,0,,1,2,.500,1,3,4,4,0,0,1,1,1,-2.0,+14
12,94,13,2007-05-27,27-088,DET,CLE,-6,1,43:59,6,13,.462,1,2,.500,0,0,,4,1,5,1,1,0,3,2,13,7.3,-3
13,95,14,2007-05-29,27-090,DET,CLE,-4,1,45:46,4,11,.364,0,2,.000,7,8,.875,1,6,7,4,1,0,4,3,15,9.6,-1
14,96,15,2007-05-31,27-092,DET,CLE,-2,1,49:54,4,13,.308,1,2,.500,1,2,.500,4,5,9,3,1,0,4,4,10,3.9,+4
15,97,16,2007-06-02,27-094,DET,CLE,-16,1,39:47,1,10,.100,0,2,.000,3,4,.750,0,6,6,6,2,1,1,4,5,4.1,-3
