,pgl_basic,game,date,age,team,opp,gameResult,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
0,425,1,1999-02-05,31-233,WAS,IND,-15,1,22:00,0,1,.000,0,0,,0,0,,3,5,8,1,0,1,0,2,0,3.5,
1,426,2,1999-02-06,31-234,WAS,TOR,1,1,34:00,0,2,.000,0,0,,2,2,1.000,6,5,11,0,1,0,1,4,2,4.7,
2,427,3,1999-02-08,31-236,WAS,DET,-3,1,17:00,1,1,1.000,0,0,,2,4,.500,3,4,7,0,0,0,1,3,4,4.0,
3,428,4,1999-02-10,31-238,WAS,NYK,-13,0,6:00,0,0,,0,0,,2,2,1.000,0,1,1,0,0,0,1,3,2,0.1,
4,429,5,1999-02-17,31-245,WAS,ORL,-11,1,9:00,0,0,,0,0,,0,0,,0,2,2,0,0,0,0,1,0,0.2,
5,430,6,1999-02-18,31-246,WAS,TOR,7,0,15:00,1,2,.500,0,0,,2,3,.667,0,3,3,0,3,0,0,1,4,6.1,
6,431,7,1999-02-19,31-247,WAS,CHI,2,1,7:00,0,2,.000,0,0,,0,0,,2,3,5,0,1,0,0,0,0,1.9,
7,432,8,1999-02-21,31-249,WAS,BOS,11,1,13:00,2,2,1.000,0,0,,0,0,,1,3,4,0,0,0,0,4,4,3.4,
8,433,9,1999-02-23,31-251,WAS,MIA,-16,1,13:00,0,1,.000,0,0,,2,2,1.000,0,0,0,0,0,0,0,2,2,0.5,
9,434,10,1999-02-25,31-253,WAS,SAC,-10,0,5:00,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,1,0,-0.1,
10,435,11,1999-02-27,31-255,WAS,POR,-1,1,33:00,2,4,.500,0,0,,2,2,1.000,0,5,5,1,0,1,1,3,6,4.7,
11,436,12,1999-03-01,31-257,WAS,PHI,-13,1,7:00,1,1,1.000,0,0,,0,0,,0,0,0,1,0,0,0,1,2,2.0,
12,437,13,1999-03-02,31-258,WAS,ATL,20,1,24:00,2,2,1.000,0,0,,0,0,,0,3,3,0,0,1,0,5,4,3.0,
13,438,14,1999-03-03,31-259,WAS,IND,-11,1,31:00,4,7,.571,0,0,,4,4,1.000,5,2,7,0,1,0,0,2,12,13.0,
14,439,15,1999-03-05,31-261,WAS,CHH,1,1,26:00,0,3,.000,0,0,,0,0,,4,8,12,1,0,0,2,4,0,0.2,
15,440,16,1999-03-07,31-263,WAS,PHI,8,1,16:00,0,1,.000,0,0,,0,0,,0,2,2,0,0,0,0,4,0,-1.7,
16,441,17,1999-03-08,31-264,WAS,DET,-4,1,19:00,2,6,.333,0,0,,0,0,,4,1,5,0,0,0,0,2,4,2.9,
17,442,18,1999-03-10,31-266,WAS,DET,10,1,19:00,2,2,1.000,0,0,,0,0,,0,2,2,1,0,0,2,3,4,1.5,
18,443,19,1999-03-11,31-267,WAS,NYK,-12,1,10:00,0,0,,0,0,,2,2,1.000,1,2,3,0,2,0,0,1,2,4.9,
19,444,20,1999-03-12,31-268,WAS,CHH,-9,1,16:00,1,3,.333,0,0,,2,2,1.000,1,5,6,0,0,0,0,1,4,4.1,
