,pgl_basic,game,date,age,team,opp,gameResult,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
0,80,1,1986-10-31,23-206,POR,SEA,-17,1,43:00,5,8,.625,0,1,.000,0,0,,0,4,4,8,2,0,2,3,10,12.0,
1,81,2,1986-11-01,23-207,POR,UTA,-9,1,38:00,2,6,.333,1,1,1.000,1,1,1.000,1,6,7,10,2,0,9,2,6,4.3,
2,82,3,1986-11-04,23-210,POR,PHO,-6,1,36:00,9,14,.643,1,2,.500,5,5,1.000,1,4,5,11,6,0,3,0,24,30.4,
3,83,4,1986-11-05,23-211,POR,GSW,-10,1,24:00,4,9,.444,0,2,.000,4,6,.667,1,2,3,4,1,0,4,5,12,5.6,
4,84,5,1986-11-07,23-213,POR,DAL,7,1,33:00,6,11,.545,0,2,.000,4,4,1.000,0,3,3,6,1,0,4,5,16,10.8,
5,85,6,1986-11-09,23-215,POR,PHI,-6,1,42:00,6,13,.462,2,5,.400,7,7,1.000,1,3,4,8,0,0,2,3,21,18.3,
6,86,7,1986-11-11,23-217,POR,GSW,18,1,40:00,6,10,.600,0,0,,3,4,.750,1,7,8,9,2,0,1,2,15,19.3,
7,87,8,1986-11-14,23-220,POR,LAC,10,1,20:00,2,4,.500,0,0,,2,2,1.000,1,0,1,6,1,0,4,5,6,3.9,
8,88,9,1986-11-16,23-222,POR,UTA,21,1,35:00,5,10,.500,1,1,1.000,0,0,,1,3,4,11,3,0,5,1,11,12.9,
9,89,10,1986-11-18,23-224,POR,HOU,4,1,36:00,7,13,.538,0,1,.000,8,10,.800,2,5,7,5,1,0,4,3,22,17.1,
10,90,11,1986-11-20,23-226,POR,DEN,-14,1,37:00,3,12,.250,0,2,.000,6,6,1.000,1,4,5,10,2,0,6,2,12,8.9,
11,91,12,1986-11-21,23-227,POR,SAS,13,1,31:00,5,5,1.000,0,0,,5,8,.625,1,1,2,4,0,0,5,4,15,9.5,
12,92,13,1986-11-23,23-229,POR,IND,13,1,32:00,2,8,.250,0,3,.000,7,8,.875,1,3,4,8,1,0,3,2,11,10.2,
13,93,14,1986-11-25,23-231,POR,WSB,-12,1,31:00,4,14,.286,0,3,.000,2,3,.667,2,3,5,6,1,1,1,1,10,8.2,
14,94,15,1986-11-26,23-232,POR,CLE,-4,1,28:00,2,8,.250,0,1,.000,4,4,1.000,0,2,2,7,1,0,3,2,8,5.9,
15,95,16,1986-11-28,23-234,POR,PHI,-4,1,31:00,10,17,.588,1,2,.500,0,0,,1,1,2,7,5,1,0,3,21,23.5,
16,96,17,1986-11-30,23-236,POR,IND,17,1,33:00,2,8,.250,0,1,.000,8,8,1.000,0,4,4,6,0,0,1,1,12,11.2,
17,97,18,1986-12-02,23-238,POR,LAC,35,1,22:00,3,6,.500,0,1,.000,5,5,1.000,1,1,2,8,3,0,2,2,11,14.8,
18,98,19,1986-12-04,23-240,POR,SAC,4,1,29:00,3,10,.300,0,0,,3,6,.500,2,2,4,7,2,0,1,1,9,9.5,
19,99,20,1986-12-07,23-243,POR,NYK,3,1,35:00,4,7,.571,0,0,,2,2,1.000,0,2,2,8,1,0,5,5,10,6.9,
20,100,21,1986-12-09,23-245,POR,SAS,16,1,35:00,5,8,.625,1,1,1.000,0,0,,0,4,4,10,2,1,3,2,11,14.5,
21,101,22,1986-12-12,23-248,POR,LAC,1,1,34:00,4,7,.571,0,0,,2,2,1.000,1,2,3,12,4,0,3,2,10,16.6,
22,102,23,1986-12-14,23-250,POR,DAL,34,1,32:00,6,11,.545,0,1,.000,6,6,1.000,0,2,2,8,3,0,5,2,18,16.1,
23,103,24,1986-12-16,23-252,POR,SEA,8,1,37:00,5,11,.455,0,0,,10,12,.833,2,3,5,5,1,0,1,5,20,17.3,
24,104,25,1986-12-18,23-254,POR,LAL,-16,1,28:00,3,12,.250,0,2,.000,0,0,,0,2,2,5,0,0,1,2,6,1.1,
25,105,26,1986-12-19,23-255,POR,HOU,3,1,33:00,3,7,.429,0,0,,0,1,.000,0,2,2,7,1,1,5,2,6,3.3,
26,106,27,1986-12-21,23-257,POR,WSB,27,1,32:00,4,9,.444,0,0,,1,1,1.000,0,4,4,9,1,0,3,2,9,9.0,
27,107,28,1986-12-23,23-259,POR,GSW,-1,1,36:00,5,13,.385,0,2,.000,4,4,1.000,3,2,5,9,3,1,6,4,14,12.0,
