,pgl_basic,game,date,age,team,opp,gameResult,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
0,1,3,2016-10-30,19-248,MIL,DET,-15,0,1:35,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,0,0,0.3,0
1,2,5,2016-11-03,19-252,MIL,IND,18,0,1:14,2,2,1.000,2,2,1.000,0,0,,0,0,0,0,0,0,0,0,6,5.4,+4
2,3,6,2016-11-05,19-254,MIL,SAC,26,0,8:47,1,2,.500,0,1,.000,1,2,.500,2,4,6,0,0,0,0,2,3,3.4,-4
3,4,11,2016-11-17,19-266,MIL,MIA,-23,0,1:24,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-0.7,-2
4,5,16,2016-11-29,19-278,MIL,CLE,17,0,2:57,1,2,.500,0,0,,2,2,1.000,0,1,1,0,0,0,0,1,4,2.9,-5
5,6,17,2016-12-01,19-280,MIL,BRK,18,0,2:47,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,1,0,0,0,0.0,-2
6,7,22,2016-12-10,19-289,MIL,WAS,-5,0,0:02,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-2
7,8,23,2016-12-12,19-291,MIL,TOR,-22,0,6:25,1,2,.500,0,0,,1,2,.500,1,2,3,0,0,0,1,1,3,1.5,-5
8,9,25,2016-12-16,19-295,MIL,CHI,26,0,3:50,0,0,,0,0,,1,2,.500,0,2,2,0,0,0,0,0,1,1.2,-3
9,10,27,2016-12-21,19-300,MIL,CLE,-11,0,8:26,1,1,1.000,0,0,,1,2,.500,0,3,3,0,0,2,0,0,3,4.6,+10
10,11,28,2016-12-23,19-302,MIL,WAS,27,0,7:50,2,2,1.000,1,1,1.000,0,0,,0,2,2,0,0,0,1,2,5,3.2,0
11,12,30,2016-12-28,19-307,MIL,DET,25,0,2:43,1,3,.333,0,2,.000,0,0,,0,0,0,0,0,0,0,1,2,-0.1,-1
12,13,31,2016-12-30,19-309,MIL,MIN,-17,0,5:42,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-1.1,+1
13,14,32,2016-12-31,19-310,MIL,CHI,20,0,1:50,1,1,1.000,1,1,1.000,0,0,,0,0,0,0,0,0,0,0,3,2.7,+3
14,15,37,2017-01-10,19-320,MIL,SAS,2,0,12:54,2,2,1.000,1,1,1.000,0,0,,0,0,0,1,0,0,0,2,5,4.3,-1
15,16,38,2017-01-13,19-323,MIL,MIA,8,0,3:32,1,1,1.000,0,0,,0,0,,0,0,0,0,0,1,0,0,2,2.4,-3
16,17,39,2017-01-15,19-325,MIL,ATL,-13,0,0:32,0,1,.000,0,0,,0,0,,1,0,1,0,0,0,0,0,0,0.0,0
17,18,41,2017-01-18,19-328,MIL,HOU,-19,0,2:42,1,2,.500,0,1,.000,1,1,1.000,0,2,2,0,0,0,0,0,3,2.6,+2
18,19,42,2017-01-20,19-330,MIL,ORL,-16,0,4:34,0,0,,0,0,,0,0,,1,0,1,0,1,0,0,0,0,1.7,-2
19,20,43,2017-01-21,19-331,MIL,MIA,-12,1,18:06,1,3,.333,1,2,.500,3,4,.750,1,0,1,0,1,0,0,2,6,4.8,+7
20,21,45,2017-01-25,19-335,MIL,PHI,-5,0,1:15,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-0.4,-1
21,22,46,2017-01-27,19-337,MIL,TOR,-16,0,7:52,3,5,.600,0,0,,2,2,1.000,2,0,2,0,0,1,1,3,8,5.6,+7
22,23,47,2017-01-28,19-338,MIL,BOS,-4,1,10:26,2,5,.400,0,0,,0,0,,0,2,2,0,1,1,1,2,4,1.8,-3
23,24,48,2017-02-01,19-342,MIL,UTA,-16,1,24:03,4,8,.500,3,4,.750,1,4,.250,3,2,5,1,1,3,0,4,12,11.7,-6
24,25,49,2017-02-03,19-344,MIL,DEN,-4,0,4:22,2,2,1.000,2,2,1.000,0,0,,0,0,0,0,0,1,1,3,6,3.9,-2
25,26,50,2017-02-04,19-345,MIL,PHO,25,0,3:08,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-0.7,-1
26,27,52,2017-02-10,19-351,MIL,LAL,-8,1,17:07,3,6,.500,1,4,.250,0,0,,1,5,6,1,0,0,0,5,7,4.9,-7
27,28,53,2017-02-11,19-352,MIL,IND,16,1,21:41,4,8,.500,3,5,.600,1,2,.500,1,2,3,1,2,0,0,2,12,10.8,-5
28,29,54,2017-02-13,19-354,MIL,DET,13,1,16:45,3,10,.300,0,4,.000,0,0,,2,3,5,0,0,0,3,1,6,-0.9,0
29,30,55,2017-02-15,19-356,MIL,BRK,4,1,13:49,1,2,.500,1,1,1.000,1,2,.500,0,4,4,1,0,0,0,2,4,3.7,+1
30,31,56,2017-02-24,19-365,MIL,UTA,-14,1,13:35,1,2,.500,1,1,1.000,0,0,,0,2,2,0,0,0,0,4,3,1.0,+6
31,32,57,2017-02-26,20-001,MIL,PHO,4,1,14:22,0,5,.000,0,2,.000,2,2,1.000,1,1,2,2,0,1,0,2,2,0.8,-4
32,33,58,2017-02-27,20-002,MIL,CLE,-7,1,8:30,2,4,.500,2,3,.667,0,0,,0,0,0,0,0,1,1,2,6,2.9,-6
33,34,59,2017-03-01,20-004,MIL,DEN,-12,1,6:54,1,2,.500,1,1,1.000,0,0,,0,1,1,0,0,0,0,1,3,1.9,-15
34,35,60,2017-03-03,20-006,MIL,LAC,11,1,15:53,2,8,.250,0,4,.000,0,0,,0,1,1,1,0,1,0,2,4,0.1,-5
35,36,61,2017-03-04,20-007,MIL,TOR,7,1,9:24,0,2,.000,0,1,.000,0,0,,1,1,2,2,0,0,0,0,0,1.0,-8
36,37,62,2017-03-06,20-009,MIL,PHI,14,1,14:45,2,7,.286,1,4,.250,2,2,1.000,1,2,3,0,0,1,0,4,7,3.3,+17
37,38,63,2017-03-08,20-011,MIL,NYK,11,1,11:21,2,7,.286,0,2,.000,0,0,,1,2,3,0,0,0,0,1,4,0.8,+5
38,39,64,2017-03-10,20-013,MIL,IND,14,1,4:48,1,2,.500,0,1,.000,1,1,1.000,0,0,0,0,0,0,0,0,3,2.0,-9
39,40,65,2017-03-11,20-014,MIL,MIN,7,1,5:07,0,1,.000,0,0,,0,0,,1,1,2,0,0,1,0,0,0,1.0,+2
40,41,66,2017-03-13,20-016,MIL,MEM,-20,1,11:08,1,2,.500,1,1,1.000,0,0,,0,1,1,1,0,1,0,3,3,2.5,-8
41,42,67,2017-03-15,20-018,MIL,LAC,1,1,7:27,1,3,.333,1,3,.333,0,0,,0,0,0,1,0,0,0,1,3,1.6,-2
42,43,68,2017-03-17,20-020,MIL,LAL,4,1,9:40,0,3,.000,0,2,.000,0,0,,1,0,1,2,1,0,0,0,0,1.0,0
43,44,69,2017-03-18,20-021,MIL,GSW,-25,1,12:59,3,5,.600,0,2,.000,3,4,.750,3,2,5,1,1,1,0,1,9,11.0,-1
44,45,70,2017-03-21,20-024,MIL,POR,3,1,2:47,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-0.4,-8
45,46,71,2017-03-22,20-025,MIL,SAC,18,1,11:30,2,3,.667,0,1,.000,0,0,,0,3,3,0,0,0,0,1,4,3.2,-10
46,47,72,2017-03-24,20-027,MIL,ATL,3,1,9:50,1,2,.500,0,0,,0,0,,0,1,1,0,0,1,1,3,2,-0.2,-5
47,48,73,2017-03-26,20-029,MIL,CHI,-15,1,8:57,1,3,.333,0,1,.000,1,1,1.000,1,0,1,0,0,0,0,2,3,1.2,-1
